model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,hotter_and_colder_sentiment,mim_gold_ner,scala_is,nqii,rrn,arc_is,winogrande_is,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,speed_version
intfloat/multilingual-e5-base,2.27,999.0,278,250,512,14965.0,True,False,42.08,75.46,15.21,43.65,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.28,2.27,N/A,200,8191,908.12,True,False,50.02,31.11,35.85,49.25,66.48,72.8,28.63,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3
meta-llama/Meta-Llama-3-8B (few-shot),2.38,3.8,8030,128,8192,1046.19,True,False,43.85,50.45,10.82,59.26,65.22,19.93,4.52,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.2
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.41,3.6,8030,128,8192,1040.29,True,False,38.09,60.2,9.14,58.93,67.5,17.93,5.59,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.2,14.0.2
meta-llama/Llama-3.1-8B (few-shot),2.43,3.77,8030,128,131072,2363.74,True,False,43.06,52.97,8.13,60.26,65.19,21.56,4.44,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1
cardiffnlp/twitter-xlm-roberta-base,2.52,999.0,278,250,512,34475.2,True,False,35.62,72.69,28.72,31.01,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
clips/mfaq,2.53,999.0,278,250,128,5591.18,True,False,43.25,77.3,3.51,43.26,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/roberta-large-1160k,2.53,999.0,355,50,512,14014.08,True,False,38.53,74.3,2.06,48.11,,,,13.3.0,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,12.10.0
microsoft/xlm-align-base,2.54,999.0,278,250,512,14744.17,True,False,38.76,78.01,5.92,43.32,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google-bert/bert-base-multilingual-uncased,2.55,999.0,167,106,512,13992.5,True,False,36.04,60.88,13.5,42.51,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.59,3.51,8030,128,131072,1042.12,True,False,39.91,46.48,11.72,53.39,67.67,25.83,6.4,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.2
Geotrend/bert-base-da-cased,2.63,999.0,104,23,512,15432.35,True,False,34.81,73.81,6.23,42.39,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/bert-base-25lang-cased,2.67,999.0,151,85,512,13908.28,True,False,34.09,74.65,2.89,41.76,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ZurichNLP/unsup-simcse-xlm-roberta-base,2.68,999.0,278,250,512,34520.24,True,False,46.33,75.27,3.47,32.31,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
Twitter/twhin-bert-base,2.75,999.0,279,250,512,11513.72,True,False,40.22,70.38,11.09,30.52,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
mistralai/Mistral-7B-v0.1 (few-shot),2.77,4.2,7242,32,32768,2657.24,True,False,33.2,50.69,3.97,51.14,56.76,10.25,1.99,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.1.0,9.1.2
mhenrichsen/hestenettetLM (few-shot),2.77,4.2,7242,32,32768,5159.7,True,False,33.88,50.99,3.69,51.45,56.73,10.78,3.94,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.3.2,12.3.2
microsoft/infoxlm-base,2.79,999.0,278,250,512,34735.22,True,False,33.14,77.09,1.71,37.41,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
mistralai/Mistral-7B-v0.3 (few-shot),2.85,4.09,7248,33,32768,4120.34,True,False,34.59,46.73,1.9,50.14,55.71,10.25,5.24,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.10.4,12.10.4
Nexusflow/Starling-LM-7B-beta (few-shot),2.86,4.14,7242,32,8192,5875.95,False,False,27.93,42.23,6.38,53.87,61.92,8.45,1.14,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.5.2,12.5.2
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.87,3.81,8020,131,32768,929.75,True,False,24.43,47.1,7.19,54.38,66.62,21.98,0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.1
Twitter/twhin-bert-large,2.89,999.0,562,250,512,9706.97,True,False,32.07,71.48,2.2,33.02,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
AI-Nordics/bert-large-swedish-cased,2.93,999.0,335,31,512,7199.47,True,False,34.76,61.64,3.26,35.42,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-roberta-base-scandinavian,2.93,999.0,125,50,512,14050.9,True,False,35.21,69.04,3.34,30.71,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-sbert-base,2.93,999.0,178,120,512,17756.84,True,False,36.03,69.89,2.2,30.59,,,,13.3.0,12.10.5,12.10.5,12.10.5,0.0.0,0.0.0,0.0.0,12.10.5
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),2.94,4.27,7111,64,2048,1472.78,True,False,44.79,19.41,1.93,52.41,61.9,4.05,-2.29,14.0.2,14.0.2,14.0.2,14.0.2,14.0.2,14.0.3,14.0.3,14.0.3
KBLab/megatron-bert-base-swedish-cased-600k,2.94,999.0,135,64,512,15725.82,True,False,36.11,63.43,2.56,33.28,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/megatron-bert-large-swedish-cased-165k,2.95,999.0,370,64,512,7137.91,True,False,33.92,63.35,4.94,34.05,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/stsb-xlm-r-multilingual,3.0,999.0,278,250,512,15039.9,True,False,37.79,66.23,0.04,28.66,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,3.0,999.0,278,250,512,15099.94,True,False,37.54,64.43,0.83,28.89,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/megatron-bert-base-swedish-cased-125k,3.0,999.0,135,64,512,15762.86,True,False,34.19,62.52,3.07,31.0,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
LumiOpen/Viking-7B (few-shot),3.03,4.42,7550,131,4096,4968.72,True,False,33.41,33.21,1.37,48.38,56.52,0.97,-0.36,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.7.0,12.7.0
KennethEnevoldsen/dfm-sentence-encoder-medium,3.03,999.0,124,50,512,14997.83,True,False,36.18,64.88,-0.6,29.86,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
CohereForAI/aya-23-8B (few-shot),3.04,4.39,8028,256,8192,5607.73,False,False,19.77,47.16,3.84,48.25,59.16,3.7,-3.24,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
KBLab/megatron-bert-large-swedish-cased-110k,3.04,999.0,370,64,512,7074.64,True,False,26.38,63.11,3.47,36.28,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-25lang-cased,3.05,999.0,109,85,512,26098.8,True,False,29.56,65.76,2.08,30.96,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/bert-base-swedish-cased-new,3.08,999.0,135,64,512,15932.9,True,False,36.4,64.61,1.15,26.53,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-en-no-cased,3.09,999.0,69,33,512,26597.05,True,False,29.48,63.84,2.15,28.73,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
senseable/WestLake-7B-v2 (few-shot),3.09,3.93,7242,32,32768,5992.97,False,False,7.92,56.71,3.44,54.79,65.39,9.11,3.3,13.3.0,12.6.1,12.6.1,12.6.1,12.6.1,12.10.8,12.6.1,12.6.1
sentence-transformers/paraphrase-xlm-r-multilingual-v1,3.09,999.0,278,250,512,20154.46,True,False,33.26,65.15,1.15,27.88,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/quora-distilbert-multilingual,3.1,999.0,135,120,512,26458.45,True,False,33.1,63.36,1.02,27.44,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
CohereForAI/aya-expanse-8b (few-shot),3.11,3.98,8028,256,8192,5581.05,False,False,19.83,28.98,4.93,54.41,63.45,10.97,4.23,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
DeepPavlov/rubert-base-cased,3.11,999.0,178,120,512,15785.19,True,False,29.51,61.95,2.4,29.39,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,3.16,999.0,118,250,512,29200.68,True,False,31.32,62.44,1.91,27.48,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
flax-community/nordic-roberta-wiki,3.16,999.0,125,50,512,16226.52,True,False,29.11,63.31,2.47,25.32,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.16,999.0,135,120,512,33753.4,True,False,33.1,59.15,0.8,28.02,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
HPLT/gpt-7b-nordic-prerelease (few-shot),3.16,4.65,7550,131,4096,5404.41,True,False,32.47,29.67,0.25,44.31,52.52,0.94,-2.72,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.3.2,12.3.2
DDSC/roberta-base-scandinavian,3.18,999.0,125,50,512,14490.87,True,False,34.36,51.53,0.89,27.71,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KB/bert-base-swedish-cased,3.2,999.0,125,50,512,16181.26,True,False,28.9,60.09,1.76,28.89,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-3B (few-shot),3.2,4.04,3213,128,131073,3713.14,True,False,14.86,42.04,0.0,49.31,61.8,13.79,0.25,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Mabeck/Heidrun-Mistral-7B-chat (few-shot),3.2,999.0,7242,32,32768,5821.93,False,False,16.41,44.84,0.44,47.44,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,10.0.1
vesteinn/DanskBERT,3.21,999.0,124,50,512,15748.62,True,False,27.24,65.29,-0.03,26.84,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
flax-community/swe-roberta-wiki-oscar,3.22,999.0,125,50,512,15436.87,True,False,26.59,62.23,1.45,26.85,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/bert-base-swedish-cased,3.22,999.0,125,50,512,16164.04,True,False,29.1,55.25,2.19,25.93,,,,13.3.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
MaLA-LM/emma-500-llama2-7b (few-shot),3.23,4.11,6738,32,4096,6275.17,True,False,19.61,31.81,3.63,46.83,58.72,12.62,3.43,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
patrickvonplaten/norwegian-roberta-base,3.24,999.0,125,50,512,15698.18,True,False,26.49,60.79,1.29,26.52,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mideind/IceBERT-mC4-is,3.24,999.0,124,50,512,12307.57,True,False,24.55,79.19,20.95,0.0,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
FacebookAI/roberta-base,3.24,999.0,125,50,512,13353.56,True,False,22.99,60.18,1.07,32.13,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-8b-instruct (few-shot),3.26,4.14,8171,49,4096,5090.05,True,False,9.95,42.67,1.11,49.58,63.81,5.12,0.89,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
DDSC/roberta-base-danish,3.26,999.0,125,50,512,15003.66,True,False,24.47,59.63,1.76,27.22,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
pdelobelle/robbert-v2-dutch-base,3.28,999.0,117,40,512,15480.92,True,False,28.28,55.54,1.06,26.08,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
occiglot/occiglot-7b-eu5-instruct (few-shot),3.28,4.06,7242,32,32768,2087.8,False,False,14.7,40.71,0.71,45.91,65.25,5.35,0.35,13.3.0,12.5.2,12.3.1,12.4.0,12.4.0,12.10.8,12.3.1,12.3.1
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),3.3,4.2,7242,32,32768,633.64,False,False,17.64,34.8,5.46,45.06,61.79,5.49,0.24,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.1.0,12.9.0
"claude-3-5-haiku-20241022 (zero-shot, val)",3.3,4.01,N/A,N/A,200000,276.86,True,False,31.19,34.99,-10.68,46.35,66.12,9.0,0.0,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.1
deepset/gbert-base,3.31,999.0,111,31,512,37267.99,True,False,21.07,56.89,-0.13,32.15,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
dbmdz/bert-base-historic-multilingual-cased,3.32,999.0,111,32,512,20046.97,True,False,24.79,56.62,-1.21,29.08,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
ibm-granite/granite-8b-code-base-4k (few-shot),3.33,4.17,8055,49,4096,2312.61,True,False,9.18,50.89,0.5,41.32,59.94,5.52,1.73,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),3.33,4.29,6738,32,4096,5384.08,False,False,22.29,34.62,-0.24,43.52,61.81,3.06,-1.9,13.3.0,12.5.2,12.3.2,12.3.2,12.3.2,12.10.8,12.3.2,12.3.2
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),3.33,4.37,8030,128,131072,2840.83,True,False,21.98,22.23,4.02,45.64,51.47,10.62,1.78,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,13.2.0,13.2.0,13.2.0
dbmdz/bert-medium-historic-multilingual-cased,3.35,999.0,42,32,512,24291.12,True,False,22.48,58.9,0.27,27.22,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distiluse-base-multilingual-cased-v1,3.35,999.0,135,120,512,34041.87,True,False,35.18,45.47,1.14,21.45,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
EuropeanParliament/EUBERT,3.37,999.0,94,66,512,20070.41,True,False,36.28,29.71,2.71,27.51,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-2-7b-hf (few-shot),3.38,4.27,6738,32,4096,930.05,True,False,13.24,32.71,0.66,41.4,60.73,3.65,-0.0,13.3.0,9.2.0,9.2.0,12.5.1,11.0.0,12.10.8,12.1.0,12.9.0
occiglot/occiglot-7b-eu5 (few-shot),3.38,4.12,7242,32,32768,2219.46,True,False,15.49,40.08,1.59,39.67,62.55,5.98,-0.51,13.3.0,12.5.2,12.1.0,12.1.0,12.1.0,12.10.8,12.2.0,12.2.0
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),3.39,3.94,7242,32,32768,5053.68,True,False,16.08,36.47,2.54,38.73,63.68,5.12,8.3,13.3.0,12.5.3,12.5.3,12.5.3,12.5.3,12.10.8,12.5.3,12.5.3
meta-llama/Llama-2-7b-chat-hf (few-shot),3.39,4.14,6738,32,4096,2643.05,False,False,13.59,41.1,-1.07,39.51,62.3,3.16,1.84,13.3.0,9.3.1,9.3.1,12.4.0,12.4.0,12.10.8,12.1.0,9.3.1
sentence-transformers/distiluse-base-multilingual-cased-v2,3.4,999.0,135,120,512,33246.61,True,False,34.19,48.62,2.64,12.16,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
01-ai/Yi-1.5-6B (few-shot),3.4,4.06,6061,64,4097,2867.41,True,False,10.58,38.15,0.98,44.2,61.23,7.59,3.44,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),3.41,3.94,7242,32,32768,633.64,False,False,12.93,36.04,-0.36,42.57,62.8,5.44,6.35,13.3.0,9.3.1,9.3.1,12.4.0,12.4.0,12.10.8,12.1.0,12.9.0
utter-project/EuroLLM-9B-Instruct (few-shot),3.42,4.01,9152,128,4096,5762.51,False,False,9.76,24.92,0.15,54.08,64.67,11.1,0.89,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
microsoft/Phi-3-mini-4k-instruct (few-shot),3.42,4.19,3821,32,4096,5224.17,True,False,14.42,33.05,0.71,39.88,60.08,2.67,2.74,13.3.0,12.10.5,12.10.5,12.10.5,12.10.5,12.10.8,12.10.5,12.10.5
google/gemma-2-2b-it (few-shot),3.42,4.21,2614,256,8193,5373.87,True,False,15.24,14.79,1.1,51.72,62.67,10.76,-5.2,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
3ebdola/Dialectal-Arabic-XLM-R-Base,3.43,999.0,278,250,512,12782.54,True,False,20.94,46.95,1.4,28.8,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/distiluse-base-multilingual-cased,3.44,999.0,135,120,512,19205.51,True,False,33.35,47.62,2.64,12.2,,,,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-3B-Instruct (few-shot),3.46,4.04,3213,128,131073,10423.76,False,False,10.07,27.57,-1.39,50.74,62.0,13.33,0.74,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ltg/norbert3-base,3.47,999.0,124,50,512,11405.28,True,False,34.62,68.22,2.41,0.0,,,,13.3.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
TurkuNLP/bert-base-finnish-cased-v1,3.49,999.0,125,50,512,16700.86,True,False,29.13,34.58,0.55,24.32,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/Phi-3-mini-128k-instruct (few-shot),3.5,4.24,3821,32,130819,7311.73,True,False,17.8,27.22,1.31,41.15,62.0,1.85,1.06,13.3.0,12.9.1,12.9.1,12.9.1,12.10.0,12.10.8,12.10.0,12.10.0
NorwAI/NorwAI-Mistral-7B (few-shot),3.53,999.0,7537,68,3969,3034.67,True,False,20.73,21.4,0.99,36.9,54.12,,-0.68,13.3.0,12.10.4,12.10.4,12.10.4,12.10.4,0.0.0,12.10.4,12.10.5
ibm-granite/granite-3.0-8b-base (few-shot),3.53,4.04,8171,49,4096,5116.13,True,False,2.6,37.82,-0.12,47.09,62.35,6.54,1.83,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-2-2b (few-shot),3.55,4.16,2614,256,8193,5235.32,True,False,21.0,10.67,-0.21,43.48,59.97,10.08,1.16,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
norallm/normistral-7b-warm-instruct (few-shot),3.56,4.24,7248,33,4096,6193.5,True,False,11.75,36.59,0.86,37.44,61.99,1.48,-0.98,13.3.0,12.7.0,12.7.0,12.7.0,12.7.0,12.10.8,12.7.0,12.6.1
