model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,sentipolc16,multinerd_it,scala_it,squad_it,ilpost_sum,mmlu_it,hellaswag_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B (few-shot)</a>,📝,1.89@@1.89,1.92@@1.92,1.94@@1.94,1.82@@1.82,34980831232.0,256000.0,8192.0,✗,✗,94.84 ± 0.53 / 97.41 ± 0.27@@94.83755599254138,64.39 ± 1.57 / 57.23 ± 1.97@@64.38665986553048,16.74 ± 3.62 / 42.42 ± 3.72@@16.73835608605627,74.52 ± 0.79 / 47.29 ± 0.76@@74.52133382125524,67.91 ± 0.32 / 23.43 ± 0.65@@67.9101747594541,38.80 ± 1.19 / 53.82 ± 0.99@@38.7950833119319,58.45 ± 2.90 / 67.76 ± 2.45@@58.44797884774351,53.04 ± 1.82 / 61.24 ± 2.27@@53.03683395653314,72.51 ± 2.31 / 55.50 ± 2.28@@72.51249389056433,19.79 ± 1.51 / 51.80 ± 2.13@@19.791912900775415,73.13 ± 0.67 / 56.39 ± 1.28@@73.13075189448084,67.17 ± 0.44 / 23.03 ± 1.00@@67.16909097202006,37.25 ± 1.93 / 52.71 ± 1.52@@37.25031951888812,60.59 ± 2.34 / 69.69 ± 1.97@@60.585602333262436,44.70 ± 2.80 / 61.62 ± 2.53@@44.701591733792895,61.68 ± 2.38 / 55.30 ± 1.32@@61.68482575352792,24.55 ± 1.70 / 61.38 ± 1.42@@24.554030751192016,67.90 ± 1.40 / 40.96 ± 2.87@@67.89954331942579,63.21 ± 0.18 / 17.88 ± 0.28@@63.2148172770394,37.60 ± 0.88 / 53.03 ± 0.76@@37.595172676329625,61.90 ± 2.41 / 70.77 ± 2.09@@61.90056053797268,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,1.89@@1.89,1.94@@1.94,1.93@@1.93,1.80@@1.80,9241705984.0,256000.0,8192.0,✓,✗,94.46 ± 0.47 / 97.22 ± 0.24@@94.460853913898,32.12 ± 1.36 / 27.47 ± 1.76@@32.12155845608082,39.48 ± 1.70 / 64.27 ± 1.18@@39.48051491379949,71.07 ± 1.00 / 40.11 ± 0.46@@71.07083194154575,66.53 ± 0.08 / 18.25 ± 0.21@@66.52531754982192,54.23 ± 0.62 / 65.54 ± 0.47@@54.22619094512614,61.45 ± 0.94 / 70.93 ± 0.69@@61.44684426316868,63.90 ± 1.91 / 73.39 ± 1.83@@63.8997900342203,42.05 ± 1.39 / 30.06 ± 1.74@@42.047463186327064,25.39 ± 1.29 / 53.45 ± 0.75@@25.385452013356037,70.49 ± 0.72 / 47.50 ± 1.53@@70.48685882870993,66.30 ± 0.12 / 19.74 ± 0.33@@66.30156813771464,51.98 ± 1.37 / 63.91 ± 1.03@@51.980804984696825,63.28 ± 0.75 / 72.42 ± 0.56@@63.276658228874204,49.85 ± 1.11 / 66.55 ± 0.76@@49.85266470269901,37.01 ± 0.98 / 32.34 ± 0.87@@37.010687060521384,33.78 ± 1.38 / 59.90 ± 1.51@@33.77939703984616,63.58 ± 0.63 / 36.46 ± 1.07@@63.58340385361023,63.07 ± 0.09 / 13.64 ± 0.31@@63.0722249779501,55.11 ± 0.88 / 66.25 ± 0.67@@55.107408552001004,62.76 ± 1.18 / 71.97 ± 0.86@@62.764842559290315,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,1.90@@1.90,1.98@@1.98,1.96@@1.96,1.78@@1.78,27227128320.0,256000.0,8192.0,✓,✗,94.89 ± 0.68 / 97.41 ± 0.36@@94.88893549901748,23.62 ± 1.70 / 25.99 ± 2.15@@23.616625757330787,41.73 ± 2.72 / 69.44 ± 1.44@@41.72621729486073,75.88 ± 2.54 / 48.21 ± 1.80@@75.87586583706887,67.77 ± 0.84 / 24.16 ± 1.18@@67.76855986623559,58.52 ± 0.99 / 68.55 ± 0.76@@58.516428255768695,50.22 ± 3.32 / 60.58 ± 2.88@@50.21694240880071,54.09 ± 3.47 / 67.77 ± 2.92@@54.08861469684325,46.48 ± 2.43 / 41.45 ± 2.22@@46.48302767590848,23.00 ± 3.73 / 52.87 ± 4.69@@23.00133924819054,74.80 ± 4.50 / 59.89 ± 3.88@@74.7981400451246,68.20 ± 0.50 / 26.28 ± 0.72@@68.19638634347939,57.03 ± 0.54 / 67.62 ± 0.40@@57.03465532746084,48.71 ± 4.30 / 59.72 ± 4.03@@48.70893004171707,44.75 ± 3.28 / 61.21 ± 2.99@@44.74891984547914,48.05 ± 2.11 / 45.21 ± 2.03@@48.04943030876423,31.07 ± 2.28 / 64.44 ± 1.46@@31.0652546329857,69.34 ± 1.43 / 44.99 ± 2.75@@69.33581207772684,62.34 ± 0.52 / 19.09 ± 0.84@@62.34209502217709,60.98 ± 0.80 / 70.59 ± 0.63@@60.975443230235385,50.82 ± 3.32 / 61.16 ± 2.96@@50.81592463345338,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,1.92@@1.92,1.79@@1.79,1.94@@1.94,2.03@@2.03,12187325040.0,262144.0,,✓,✗,92.17 ± 1.28 / 95.97 ± 0.69@@92.16885418237807,57.96 ± 2.04 / 55.59 ± 2.18@@57.95817353580662,39.85 ± 2.98 / 68.03 ± 2.12@@39.84670428785203,73.09 ± 3.12 / 45.61 ± 2.03@@73.08750886406625,67.16 ± 1.30 / 23.21 ± 1.78@@67.15752890799195,57.97 ± 0.92 / 68.28 ± 0.67@@57.97157275864,43.20 ± 4.97 / 55.77 ± 4.39@@43.20117367538042,50.65 ± 2.20 / 65.82 ± 2.09@@50.64702797255294,64.74 ± 1.71 / 53.33 ± 1.51@@64.7355994294348,22.25 ± 1.91 / 52.61 ± 4.07@@22.246528233659944,71.09 ± 5.40 / 55.83 ± 4.58@@71.09259996333927,67.77 ± 0.43 / 25.03 ± 0.88@@67.7735373924952,56.88 ± 1.33 / 67.51 ± 1.05@@56.88287489731294,44.75 ± 4.70 / 56.82 ± 4.20@@44.74738218750926,34.36 ± 2.67 / 55.15 ± 1.95@@34.36168710850874,52.86 ± 2.41 / 48.64 ± 1.85@@52.85703223589826,20.53 ± 6.45 / 52.67 ± 7.31@@20.53184501522649,67.45 ± 1.05 / 43.14 ± 1.99@@67.44878090454054,62.84 ± 0.37 / 19.32 ± 0.65@@62.84270295102032,58.53 ± 0.44 / 68.81 ± 0.34@@58.53358662432282,41.92 ± 4.36 / 54.30 ± 3.89@@41.923416007769426,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1 (few-shot)</a>,🧠,1.96@@1.96,1.86@@1.86,2.04@@2.04,1.97@@1.97,46702792704.0,32000.0,32768.0,✓,✗,94.09 ± 0.76 / 97.01 ± 0.40@@94.08519070961617,57.95 ± 1.63 / 55.40 ± 1.71@@57.948000055796015,42.47 ± 2.67 / 70.94 ± 1.30@@42.47029625434361,74.48 ± 2.40 / 48.83 ± 1.66@@74.48200797594673,67.51 ± 0.69 / 23.54 ± 0.96@@67.51087263110094,48.62 ± 0.93 / 61.32 ± 0.71@@48.62064768400972,30.71 ± 4.23 / 46.65 ± 3.62@@30.713338185427414,49.33 ± 1.78 / 61.33 ± 1.99@@49.32712849094408,70.30 ± 2.36 / 58.19 ± 2.00@@70.30074391544073,18.51 ± 4.68 / 55.49 ± 4.88@@18.505155674428934,72.85 ± 2.15 / 56.01 ± 2.32@@72.8506741405303,68.41 ± 0.44 / 26.27 ± 0.85@@68.41064100663061,50.16 ± 1.21 / 62.54 ± 0.86@@50.15930492961134,28.24 ± 3.51 / 44.77 ± 2.89@@28.24145862329312,43.58 ± 2.54 / 61.67 ± 1.88@@43.57534619106245,59.04 ± 1.64 / 54.09 ± 1.45@@59.043502177376325,22.40 ± 4.08 / 58.44 ± 2.96@@22.398876477048184,66.30 ± 3.41 / 41.38 ± 4.46@@66.29512446243817,62.30 ± 1.06 / 18.38 ± 1.02@@62.302964523696566,48.48 ± 0.79 / 61.18 ± 0.56@@48.475069880965464,34.06 ± 1.85 / 49.15 ± 1.59@@34.06065042744959,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,1.99@@1.99,1.91@@1.91,2.04@@2.04,2.02@@2.02,68976653312.0,32000.0,4096.0,✓,✗,93.52 ± 0.58 / 96.71 ± 0.31@@93.52223760679671,58.89 ± 1.59 / 56.87 ± 1.77@@58.89087902760842,31.41 ± 5.04 / 61.79 ± 3.24@@31.412443105641998,75.37 ± 2.26 / 47.23 ± 2.10@@75.37033702680112,67.22 ± 0.58 / 23.25 ± 0.80@@67.22283700772095,47.75 ± 0.99 / 60.65 ± 0.74@@47.74827589382752,42.09 ± 3.61 / 55.00 ± 2.87@@42.08514882399819,56.87 ± 1.59 / 70.67 ± 1.10@@56.86751629884383,73.77 ± 1.34 / 63.44 ± 2.17@@73.76705131919016,12.77 ± 6.40 / 54.55 ± 3.55@@12.772361730992927,72.31 ± 3.74 / 54.32 ± 3.75@@72.3073297599739,67.99 ± 0.36 / 25.51 ± 0.72@@67.99178823173861,46.53 ± 1.13 / 59.65 ± 0.86@@46.529547069714496,36.34 ± 3.01 / 49.77 ± 2.69@@36.33613759146637,38.17 ± 5.92 / 57.91 ± 3.97@@38.1686087379816,66.38 ± 1.74 / 62.00 ± 1.50@@66.38189937136978,16.99 ± 5.24 / 45.54 ± 5.31@@16.991655520600098,68.79 ± 1.82 / 42.37 ± 3.18@@68.79489830161887,62.58 ± 0.47 / 19.32 ± 0.70@@62.58498840754327,47.21 ± 0.86 / 60.29 ± 0.64@@47.20996244257374,36.54 ± 2.49 / 49.39 ± 2.48@@36.54174338091315,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,📝,2.00@@2.00,2.01@@2.01,2.04@@2.04,1.95@@1.95,8028033024.0,256000.0,8192.0,✗,✗,95.12 ± 0.49 / 97.56 ± 0.25@@95.11634339614105,49.10 ± 3.13 / 34.00 ± 2.16@@49.10348231396558,32.60 ± 1.47 / 65.66 ± 0.99@@32.59617478175841,69.30 ± 1.02 / 40.25 ± 0.50@@69.29501756558915,66.86 ± 0.72 / 19.68 ± 0.64@@66.86412185168592,38.99 ± 0.95 / 54.20 ± 0.74@@38.98920835481746,47.00 ± 1.30 / 59.79 ± 1.06@@46.995700018067495,60.12 ± 1.09 / 71.84 ± 1.37@@60.12414805661255,65.00 ± 1.40 / 40.91 ± 1.72@@64.99690200914911,20.16 ± 1.92 / 59.64 ± 0.91@@20.160114325018185,69.65 ± 0.43 / 49.60 ± 1.29@@69.6484961429837,65.18 ± 0.14 / 16.52 ± 0.35@@65.18212061215308,41.04 ± 1.04 / 55.74 ± 0.74@@41.043090901263845,49.14 ± 1.41 / 61.60 ± 1.11@@49.1401457021717,49.16 ± 2.09 / 65.02 ± 1.69@@49.15872998781623,59.90 ± 1.25 / 47.48 ± 1.04@@59.89543340320632,17.95 ± 2.44 / 58.06 ± 1.46@@17.945914264149174,65.25 ± 0.85 / 37.39 ± 1.76@@65.2511003366694,63.00 ± 0.09 / 12.79 ± 0.37@@62.999868552869884,39.97 ± 0.65 / 54.89 ± 0.50@@39.97217404295322,45.39 ± 1.62 / 57.53 ± 1.27@@45.38933527866658,15.3.1.dev0@@150301,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-2-9b'>google/gemma-2-9b (few-shot)</a>,🧠,2.00@@2.00,2.02@@2.02,2.01@@2.01,1.98@@1.98,9241705984.0,256000.0,8192.0,✓,✗,93.67 ± 0.71 / 96.78 ± 0.37@@93.67323049988477,38.32 ± 5.24 / 35.61 ± 4.56@@38.32169273546694,32.92 ± 1.46 / 60.96 ± 2.05@@32.91929228761261,73.09 ± 1.78 / 44.65 ± 1.30@@73.09423147890467,67.27 ± 0.86 / 23.46 ± 1.15@@67.2735687540262,52.94 ± 0.82 / 64.51 ± 0.65@@52.9442167604986,47.24 ± 4.52 / 58.99 ± 3.72@@47.23966123249956,58.07 ± 2.40 / 71.28 ± 2.05@@58.06838983522835,41.79 ± 3.75 / 38.91 ± 2.86@@41.79355055482521,22.65 ± 2.80 / 56.18 ± 3.19@@22.646610392983618,70.76 ± 2.72 / 52.08 ± 2.48@@70.75664897929013,68.05 ± 0.35 / 26.04 ± 0.62@@68.05342984385788,51.50 ± 0.96 / 63.45 ± 0.76@@51.503899838933506,46.19 ± 4.30 / 57.97 ± 4.13@@46.193201376855455,43.12 ± 2.98 / 59.06 ± 4.01@@43.11536798149183,44.17 ± 2.44 / 40.54 ± 1.85@@44.17122162115096,28.81 ± 3.99 / 63.16 ± 2.32@@28.805022593869538,65.37 ± 1.54 / 37.94 ± 2.79@@65.36680999295449,62.61 ± 0.39 / 19.19 ± 0.67@@62.61150609134347,53.13 ± 0.79 / 64.67 ± 0.64@@53.13064785028024,42.42 ± 3.13 / 54.67 ± 2.73@@42.42381278439912,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.02@@2.02,2.19@@2.19,1.90@@1.90,1.97@@1.97,,,200000.0,✓,✗,53.45 ± 2.44 / 76.07 ± 1.28@@53.45477678268298,65.75 ± 2.00 / 54.78 ± 2.17@@65.75374226916762,18.01 ± 4.70 / 44.72 ± 2.66@@18.008900031386986,61.90 ± 0.77 / 23.91 ± 1.34@@61.8970767929211,66.68 ± 0.11 / 15.83 ± 0.20@@66.6815359168686,48.80 ± 2.77 / 60.08 ± 2.19@@48.799608144599496,49.18 ± 1.67 / 60.94 ± 1.55@@49.175295642093424,54.69 ± 2.74 / 67.75 ± 2.10@@54.694001009233816,67.22 ± 1.75 / 44.64 ± 1.30@@67.22054949247232,29.96 ± 1.77 / 50.22 ± 1.71@@29.964822661631924,68.70 ± 1.18 / 38.73 ± 1.63@@68.7047519965327,64.55 ± 0.18 / 14.34 ± 0.24@@64.54664370976388,54.96 ± 2.25 / 65.62 ± 1.75@@54.96386437603318,50.73 ± 1.97 / 61.88 ± 1.44@@50.73463044628065,36.97 ± 2.37 / 47.15 ± 1.39@@36.96530061363526,60.03 ± 1.64 / 41.47 ± 1.81@@60.03282312792724,17.97 ± 4.79 / 49.09 ± 2.58@@17.967588058956295,58.16 ± 1.09 / 24.63 ± 0.91@@58.16386754645107,62.39 ± 0.16 / 11.40 ± 0.24@@62.38902145647444,60.74 ± 1.36 / 70.04 ± 1.01@@60.73865149977075,55.71 ± 1.63 / 65.98 ± 1.20@@55.71439553656461,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.4.0@@140400,14.4.0@@140400,15.3.1@@150301,15.3.1.dev0@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01 (few-shot)</a>,📝,2.04@@2.04,2.05@@2.05,2.09@@2.09,1.98@@1.98,34980831232.0,256000.0,8192.0,✗,✗,92.32 ± 0.58 / 96.08 ± 0.30@@92.32238149255801,55.95 ± 1.62 / 47.87 ± 2.08@@55.94866827969215,29.35 ± 1.80 / 63.65 ± 1.04@@29.353250336926408,63.35 ± 1.05 / 31.55 ± 2.11@@63.34687680142247,66.69 ± 0.15 / 18.71 ± 0.43@@66.69296750245849,43.74 ± 1.07 / 57.44 ± 0.82@@43.74133451134311,44.78 ± 1.29 / 58.20 ± 0.98@@44.784630759529094,54.27 ± 1.85 / 66.29 ± 1.77@@54.26732300663788,69.33 ± 1.57 / 51.34 ± 2.47@@69.33467993297137,18.93 ± 1.62 / 58.48 ± 1.03@@18.9344032480898,64.67 ± 0.96 / 41.31 ± 2.29@@64.67380054473462,66.16 ± 0.19 / 19.22 ± 0.53@@66.1647708901728,43.14 ± 1.15 / 57.18 ± 0.89@@43.143231355313446,46.84 ± 1.77 / 59.98 ± 1.39@@46.839395605317584,45.06 ± 1.44 / 60.89 ± 1.62@@45.05758158323515,65.38 ± 0.67 / 56.19 ± 1.56@@65.37743697652644,21.77 ± 1.77 / 59.37 ± 0.96@@21.774143676443785,57.50 ± 1.81 / 26.71 ± 2.95@@57.498798528685924,63.11 ± 0.09 / 13.95 ± 0.33@@63.1077568269393,44.25 ± 0.91 / 57.91 ± 0.67@@44.24507266973913,41.25 ± 1.16 / 55.23 ± 0.83@@41.24893074698976,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot)</a>,📝,2.04@@2.04,1.99@@1.99,2.09@@2.09,2.03@@2.03,8030326784.0,128264.0,131072.0,✓,✗,93.41 ± 0.55 / 96.67 ± 0.28@@93.41074146786474,48.96 ± 1.83 / 47.23 ± 1.94@@48.96027125164727,43.80 ± 2.23 / 71.09 ± 1.27@@43.80495962314992,69.92 ± 2.32 / 41.07 ± 1.44@@69.92383030704566,66.20 ± 0.09 / 15.73 ± 0.12@@66.2014915337204,39.41 ± 0.99 / 54.27 ± 0.75@@39.41133764891906,42.09 ± 1.07 / 56.24 ± 0.80@@42.08797524720546,41.65 ± 0.93 / 46.02 ± 0.47@@41.64733525384239,63.44 ± 2.61 / 55.16 ± 1.57@@63.43747081985768,32.85 ± 2.23 / 64.55 ± 1.89@@32.84783389360937,69.33 ± 1.13 / 49.75 ± 1.54@@69.32570515645145,65.04 ± 0.14 / 15.77 ± 0.36@@65.04148759137024,37.38 ± 1.05 / 52.78 ± 0.79@@37.381187002612116,43.15 ± 1.02 / 57.36 ± 0.78@@43.14673232252185,45.55 ± 2.25 / 63.34 ± 1.53@@45.54577037103457,60.58 ± 1.31 / 56.93 ± 1.21@@60.57542892481611,16.36 ± 3.48 / 55.55 ± 2.01@@16.362424620986477,63.89 ± 0.70 / 38.19 ± 1.69@@63.88816938902979,62.91 ± 0.09 / 11.90 ± 0.28@@62.914539410121506,38.86 ± 0.65 / 53.75 ± 0.46@@38.863550287977084,46.48 ± 1.54 / 58.98 ± 1.25@@46.48076616770429,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.4.2@@150402,15.5.0.dev0@@150500,15.4.2@@150402,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B (few-shot)</a>,📝,2.04@@2.04,2.00@@2.00,2.10@@2.10,2.03@@2.03,8030326784.0,128264.0,131072.0,✓,✗,93.29 ± 0.53 / 96.61 ± 0.27@@93.28618526159497,47.25 ± 1.86 / 45.54 ± 2.04@@47.25091502058797,43.58 ± 2.09 / 70.91 ± 1.16@@43.579676333093154,68.66 ± 2.61 / 40.71 ± 1.61@@68.65616964643839,66.24 ± 0.10 / 15.88 ± 0.19@@66.2442984993686,39.71 ± 0.71 / 54.61 ± 0.54@@39.705282053241234,42.30 ± 1.04 / 56.37 ± 0.77@@42.30091876599052,41.19 ± 0.77 / 45.83 ± 0.45@@41.191325459035774,61.89 ± 2.61 / 52.84 ± 1.50@@61.89021484591852,32.25 ± 2.08 / 63.42 ± 1.87@@32.25357561483923,68.40 ± 1.66 / 49.69 ± 1.73@@68.3970251605448,65.11 ± 0.14 / 16.00 ± 0.37@@65.10548734935583,37.86 ± 1.09 / 53.25 ± 0.81@@37.86495254158033,43.36 ± 1.08 / 57.51 ± 0.80@@43.35962373501805,44.51 ± 2.45 / 62.49 ± 1.62@@44.51266140951154,60.39 ± 1.34 / 55.85 ± 1.33@@60.393104670970246,17.68 ± 3.75 / 56.25 ± 1.96@@17.676443544669272,63.29 ± 0.95 / 39.04 ± 1.30@@63.288425647297075,62.93 ± 0.11 / 12.09 ± 0.35@@62.928042142011684,39.25 ± 0.72 / 54.12 ± 0.54@@39.25041422117437,46.52 ± 1.42 / 58.90 ± 1.20@@46.51805265473311,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,🧠,2.05@@2.05,2.01@@2.01,2.05@@2.05,2.10@@2.10,7241732096.0,32000.0,4096.0,✗,✗,91.64 ± 1.36 / 95.69 ± 0.74@@91.63982487860564,54.69 ± 1.97 / 51.14 ± 1.56@@54.69243126080079,31.87 ± 2.90 / 63.41 ± 1.74@@31.871066803768883,68.13 ± 2.48 / 36.69 ± 1.36@@68.13484010524601,67.00 ± 0.21 / 21.14 ± 0.75@@66.99962939717807,35.88 ± 0.50 / 51.71 ± 0.41@@35.87751285024876,47.81 ± 0.91 / 60.27 ± 0.85@@47.80889541779264,54.85 ± 2.14 / 69.26 ± 1.90@@54.85103196173549,69.60 ± 1.98 / 52.85 ± 3.07@@69.59620759388866,17.86 ± 2.38 / 53.52 ± 2.48@@17.857528732860967,69.38 ± 0.92 / 45.92 ± 1.01@@69.37924008473409,67.47 ± 0.24 / 23.38 ± 0.74@@67.47015342407394,35.54 ± 1.03 / 51.46 ± 0.74@@35.53924210909693,43.15 ± 2.02 / 57.00 ± 1.62@@43.152126236132275,45.49 ± 2.12 / 62.89 ± 1.53@@45.48797045350724,64.53 ± 1.35 / 58.72 ± 1.73@@64.52539641970287,8.09 ± 2.14 / 41.09 ± 2.22@@8.089711289184578,58.92 ± 2.38 / 27.18 ± 3.93@@58.92006718992955,63.34 ± 0.23 / 18.73 ± 0.40@@63.34486375009873,36.81 ± 0.60 / 52.24 ± 0.43@@36.80878640014745,49.19 ± 1.78 / 61.62 ± 1.34@@49.18739212070275,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
