model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,1.50@@1.50,70553706496.0,128256.0,131072.0,✓,✗,69.96 ± 0.89 / 72.99 ± 0.72@@69.95513443275901,83.16 ± 0.92 / 78.18 ± 0.71@@83.1559479423403,50.83 ± 1.22 / 74.22 ± 0.70@@50.825387581009394,81.99 ± 0.50 / 60.82 ± 1.25@@81.98639738405443,69.21 ± 0.07 / 23.55 ± 0.30@@69.2052746596164,77.51 ± 0.75 / 83.07 ± 0.56@@77.50682493593881,83.85 ± 0.63 / 87.76 ± 0.49@@83.8502180653322,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B (few-shot)</a>,🧠,1.50@@1.50,34388917248.0,64000.0,4096.0,✓,✗,69.38 ± 0.67 / 70.87 ± 1.59@@69.37690805971812,72.60 ± 1.57 / 69.16 ± 1.39@@72.60157220356544,54.11 ± 3.18 / 76.57 ± 1.61@@54.111464369648964,88.19 ± 1.09 / 77.54 ± 2.12@@88.19224433047997,71.34 ± 0.12 / 31.01 ± 0.23@@71.34372245520353,66.72 ± 0.99 / 75.04 ± 0.75@@66.72291991887548,94.53 ± 0.20 / 95.89 ± 0.15@@94.53086840434682,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503 (few-shot)</a>,🧠,1.50@@1.50,24011361280.0,131072.0,,✓,✗,67.10 ± 1.52 / 72.91 ± 0.91@@67.10429559843554,77.46 ± 1.84 / 74.54 ± 1.38@@77.45992824016783,51.54 ± 1.67 / 74.41 ± 1.20@@51.538739278916466,85.64 ± 1.09 / 69.08 ± 2.57@@85.63755032912991,70.38 ± 0.48 / 25.45 ± 0.75@@70.38109618108138,73.55 ± 0.70 / 80.19 ± 0.52@@73.55084817079025,90.82 ± 0.47 / 93.11 ± 0.35@@90.82136288408377,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.52@@1.52,,,1047576.0,✓,✗,71.00 ± 1.66 / 73.87 ± 1.55@@70.99614788317845,78.93 ± 1.97 / 61.05 ± 2.34@@78.92835599159322,50.14 ± 4.47 / 74.12 ± 2.36@@50.144011198387716,77.89 ± 0.72 / 49.26 ± 1.20@@77.89272132196578,68.45 ± 0.16 / 19.94 ± 0.27@@68.44720166642219,81.42 ± 2.12 / 86.02 ± 1.56@@81.41836897323117,85.48 ± 1.40 / 88.87 ± 1.11@@85.4761041612422,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (few-shot)</a>,📝,1.53@@1.53,14765947904.0,151665.0,131072.0,✓,✗,69.81 ± 0.75 / 71.35 ± 0.63@@69.8109406510168,78.15 ± 0.83 / 72.51 ± 1.03@@78.14873953189372,50.95 ± 1.48 / 73.00 ± 1.08@@50.95033330973779,83.85 ± 0.52 / 66.55 ± 1.15@@83.84971934598205,68.43 ± 0.07 / 21.80 ± 0.30@@68.43240882386453,78.69 ± 0.83 / 84.04 ± 0.62@@78.6876489892915,86.69 ± 0.49 / 90.00 ± 0.37@@86.687106856702,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,131072.0,✓,✗,71.07 ± 0.91 / 72.62 ± 0.74@@71.07058985143804,82.35 ± 0.76 / 76.42 ± 0.70@@82.3475270520106,51.27 ± 1.18 / 74.25 ± 0.77@@51.274737999523346,76.00 ± 0.67 / 50.23 ± 1.33@@76.00035129133116,68.77 ± 0.05 / 22.03 ± 0.24@@68.76853446679888,76.73 ± 0.84 / 82.57 ± 0.63@@76.73118163334412,86.49 ± 0.98 / 89.79 ± 0.76@@86.48636294015482,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.54@@1.54,,200019.0,128000.0,✓,✗,62.74 ± 2.04 / 71.28 ± 1.46@@62.74260000318543,83.48 ± 1.52 / 75.51 ± 2.26@@83.4824692069373,46.56 ± 3.35 / 71.13 ± 1.97@@46.55809858778694,84.78 ± 0.68 / 65.41 ± 1.96@@84.77552030987339,67.64 ± 0.97 / 20.90 ± 0.92@@67.64218314900063,78.55 ± 1.82 / 83.91 ± 1.34@@78.54612797926934,91.34 ± 1.66 / 93.48 ± 1.27@@91.33997464358985,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.54@@1.54,,,200000.0,✓,✗,67.01 ± 2.34 / 71.49 ± 1.89@@67.00665282829705,82.11 ± 1.42 / 79.77 ± 1.03@@82.111741302176,51.09 ± 5.20 / 74.48 ± 2.70@@51.08732211737552,77.79 ± 1.01 / 52.41 ± 1.56@@77.78642640190854,67.73 ± 0.14 / 18.28 ± 0.26@@67.73152067093179,82.02 ± 1.66 / 86.52 ± 1.21@@82.0195351775682,84.89 ± 1.67 / 88.59 ± 1.27@@84.89148531994644,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (few-shot, val)</a>",🤔,1.54@@1.54,,256128.0,1048576.0,✓,✗,56.28 ± 18.82 / 68.20 ± 11.95@@56.27614116322862,86.28 ± 3.01 / 87.33 ± 1.66@@86.27533908009586,61.54 ± 5.40 / 80.19 ± 2.74@@61.541078673233955,67.12 ± 21.69 / 53.23 ± 17.36@@67.11922780630888,69.02 ± 0.22 / 23.83 ± 0.34@@69.02249824954197,86.32 ± 2.18 / 89.69 ± 1.61@@86.32322362260095,83.74 ± 1.96 / 87.58 ± 1.54@@83.74308226774873,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,1.55@@1.55,32763876352.0,152064.0,32768.0,✓,✗,67.74 ± 0.64 / 72.65 ± 0.55@@67.73848996682908,77.13 ± 0.98 / 70.65 ± 0.85@@77.12734006234807,51.76 ± 2.31 / 72.15 ± 2.15@@51.7557122220906,82.09 ± 0.72 / 60.56 ± 1.75@@82.09043675332087,68.45 ± 0.09 / 20.32 ± 0.24@@68.45226898003602,76.59 ± 0.65 / 82.43 ± 0.50@@76.59351570202125,88.06 ± 0.37 / 90.99 ± 0.28@@88.06310229264145,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
