model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,1.86@@1.86,68976653312.0,32000.0,4096.0,✓,✗,63.55 ± 2.15 / 70.25 ± 1.14@@63.55383492418213,70.60 ± 1.95 / 66.87 ± 1.35@@70.59826009764596,48.44 ± 2.34 / 73.25 ± 1.78@@48.4395317605885,86.97 ± 1.84 / 75.29 ± 3.00@@86.97302763039228,71.08 ± 0.58 / 26.67 ± 0.79@@71.08079057987197,54.20 ± 1.02 / 65.43 ± 0.77@@54.19743781318027,49.04 ± 4.32 / 58.98 ± 4.19@@49.04024770022121,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B (few-shot)</a>,🤔,1.86@@1.86,4022468096.0,151936.0,40960.0,✓,✗,66.43 ± 0.76 / 68.56 ± 0.98@@66.43006059174847,78.71 ± 0.73 / 62.09 ± 1.76@@78.71485836002019,43.88 ± 0.82 / 69.05 ± 0.58@@43.88175922116484,70.24 ± 14.75 / 58.45 ± 12.77@@70.24204398391342,67.61 ± 0.08 / 19.01 ± 0.21@@67.60967557725962,68.89 ± 2.16 / 76.61 ± 1.68@@68.88712477550266,59.89 ± 1.28 / 69.67 ± 0.96@@59.887185299854885,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,1.87@@1.87,,100256.0,8191.0,✓,✗,65.24 ± 2.14 / 72.51 ± 1.77@@65.2437364410416,42.40 ± 2.22 / 34.09 ± 2.02@@42.403310509810794,44.59 ± 4.02 / 71.93 ± 2.06@@44.59226569571616,82.84 ± 0.53 / 62.94 ± 1.37@@82.83669006020702,68.33 ± 0.17 / 20.27 ± 0.29@@68.32525832112879,77.11 ± 1.94 / 82.85 ± 1.47@@77.10832833343757,84.45 ± 1.54 / 88.09 ± 1.24@@84.44852243167871,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct (few-shot)</a>,📝,1.87@@1.87,108641793536.0,200000.0,,✓,✗,69.16 ± 1.11 / 72.86 ± 1.09@@69.1606365314267,78.60 ± 0.89 / 72.48 ± 1.14@@78.60191022678565,48.43 ± 1.93 / 72.79 ± 0.92@@48.43292340298774,39.18 ± 1.09 / 0.00 ± 0.00@@39.18184858324588,68.34 ± 0.07 / 21.74 ± 0.26@@68.33707375830272,73.31 ± 0.62 / 79.97 ± 0.47@@73.30573981748843,81.86 ± 0.72 / 86.36 ± 0.55@@81.86168047783629,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
"<a href='https://platform.openai.com/docs/models/gpt-3.5-turbo'>gpt-3.5-turbo-0613 (few-shot, val)</a>",📝,1.88@@1.88,,100256.0,4095.0,✓,✗,66.41 ± 2.66 / 68.72 ± 1.87@@66.41485894691992,71.48 ± 2.47 / 69.71 ± 1.59@@71.47515894826128,41.43 ± 2.57 / 70.34 ± 1.35@@41.42727991154052,85.57 ± 0.84 / 67.90 ± 1.61@@85.5731628539237,69.57 ± 0.18 / 24.41 ± 0.39@@69.57452699076384,43.69 ± 3.59 / 57.38 ± 3.06@@43.69010544021585,75.60 ± 3.04 / 81.48 ± 2.31@@75.60355861089178,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,1.88@@1.88,8019808256.0,131072.0,32768.0,✓,✗,61.67 ± 0.85 / 69.03 ± 0.69@@61.6673399686789,72.40 ± 0.80 / 65.83 ± 1.64@@72.39889334175967,35.86 ± 7.94 / 65.20 ± 6.98@@35.85612857783499,83.97 ± 0.74 / 68.42 ± 1.21@@83.97163509149598,69.38 ± 0.48 / 24.96 ± 0.47@@69.38193242516718,53.42 ± 0.91 / 64.98 ± 0.74@@53.42219612930463,78.36 ± 2.31 / 83.62 ± 1.78@@78.36271534342966,15.0.0@@150000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot)</a>,📝,1.88@@1.88,8030326784.0,128264.0,131072.0,✓,✗,69.42 ± 0.77 / 71.81 ± 0.55@@69.41651252764188,69.74 ± 1.50 / 65.24 ± 1.30@@69.74344766844337,46.07 ± 1.76 / 72.20 ± 1.01@@46.06536906270044,83.44 ± 0.95 / 69.28 ± 1.42@@83.444886198564,69.52 ± 0.20 / 22.10 ± 0.54@@69.52181480970467,51.30 ± 1.08 / 63.28 ± 0.79@@51.30040861437244,56.01 ± 1.59 / 66.60 ± 1.24@@56.01382832193591,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
skole-gpt-mixtral (few-shot)</a>,🧠,1.88@@1.88,,32000.0,32768.0,✓,✗,68.55 ± 1.35 / 69.63 ± 0.98@@68.54642519803427,67.43 ± 0.90 / 60.40 ± 1.08@@67.42801409615188,39.75 ± 2.28 / 69.19 ± 1.17@@39.750906427937934,82.86 ± 1.53 / 65.93 ± 2.77@@82.8631472056808,70.90 ± 0.34 / 25.88 ± 0.75@@70.89573696968728,59.14 ± 1.02 / 69.28 ± 0.76@@59.13679679111199,57.88 ± 2.80 / 67.75 ± 2.34@@57.877282072830404,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (few-shot, val)</a>",📝,1.88@@1.88,,,1047576.0,✓,✗,67.52 ± 2.76 / 73.49 ± 1.88@@67.51993183638197,70.62 ± 1.63 / 61.99 ± 2.93@@70.6196637151356,45.67 ± 4.40 / 71.37 ± 2.67@@45.67160213752325,80.12 ± 0.84 / 57.55 ± 1.61@@80.12199375898079,68.20 ± 0.20 / 20.55 ± 0.32@@68.20379195036367,59.97 ± 2.95 / 69.65 ± 2.22@@59.96826008005639,61.09 ± 1.59 / 70.55 ± 1.23@@61.0925818981937,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct (few-shot)</a>,📝,1.89@@1.89,32234279936.0,100352.0,4096.0,✗,✗,69.75 ± 0.63 / 73.18 ± 0.61@@69.75467469684065,73.55 ± 0.75 / 52.23 ± 0.87@@73.55382543917821,59.24 ± 2.12 / 79.12 ± 1.27@@59.23610794858071,36.70 ± 1.08 / 0.00 ± 0.00@@36.70077184624061,71.19 ± 0.11 / 28.67 ± 0.36@@71.18988490401534,63.74 ± 0.91 / 72.66 ± 0.66@@63.738778602266365,74.52 ± 0.80 / 80.62 ± 0.64@@74.52170621340517,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B (few-shot)</a>,📝,1.90@@1.90,8030326784.0,128264.0,131072.0,✓,✗,69.25 ± 0.70 / 71.43 ± 0.77@@69.24682400314637,69.02 ± 1.33 / 63.87 ± 1.14@@69.02236644264232,45.77 ± 2.05 / 72.01 ± 1.13@@45.77464907193349,82.00 ± 1.64 / 68.62 ± 2.36@@82.00235512706169,69.76 ± 0.21 / 22.80 ± 0.66@@69.76050810713787,51.83 ± 1.22 / 63.69 ± 0.89@@51.83177187273418,55.53 ± 1.56 / 66.25 ± 1.20@@55.52951636092411,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot)</a>,📝,1.90@@1.90,46702792704.0,32000.0,32768.0,✓,✗,69.48 ± 0.68 / 71.36 ± 1.02@@69.47865293830434,70.02 ± 1.35 / 60.95 ± 1.57@@70.01527777156718,44.59 ± 0.99 / 70.37 ± 0.77@@44.59186194892949,77.76 ± 1.18 / 55.70 ± 2.73@@77.75850005351222,68.79 ± 0.10 / 21.92 ± 0.16@@68.79216837493004,55.61 ± 0.89 / 66.57 ± 0.68@@55.612812401152325,57.52 ± 1.56 / 67.66 ± 1.21@@57.519430461558784,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/microsoft/phi-4'>microsoft/phi-4 (few-shot)</a>,📝,1.91@@1.91,14659507200.0,100352.0,16384.0,✓,✗,67.04 ± 1.21 / 72.72 ± 0.79@@67.03675920332137,75.51 ± 0.82 / 68.10 ± 1.24@@75.50792794712272,49.17 ± 1.76 / 71.89 ± 1.69@@49.16947215984459,42.94 ± 0.80 / 0.00 ± 0.00@@42.944188465756106,67.93 ± 0.04 / 19.80 ± 0.09@@67.92990846879547,72.83 ± 0.81 / 79.61 ± 0.60@@72.83465973476882,79.29 ± 0.86 / 84.38 ± 0.65@@79.28667808774304,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B (few-shot)</a>,📝,1.91@@1.91,8030326784.0,128264.0,131072.0,✓,✗,68.87 ± 0.73 / 72.24 ± 0.72@@68.87434992840879,69.88 ± 1.36 / 63.67 ± 1.05@@69.8765257765357,46.34 ± 1.52 / 72.53 ± 0.81@@46.341985906916356,81.40 ± 1.28 / 63.48 ± 2.22@@81.40135993066296,69.65 ± 0.17 / 22.69 ± 0.54@@69.65291271917522,50.23 ± 0.67 / 62.28 ± 0.57@@50.233997454970606,54.71 ± 1.92 / 65.47 ± 1.47@@54.7108601526604,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,1.91@@1.91,9241705984.0,256000.0,8192.0,✓,✗,69.27 ± 0.65 / 70.64 ± 0.67@@69.26726845087356,52.20 ± 1.52 / 46.05 ± 1.22@@52.20460784401273,47.58 ± 1.24 / 70.85 ± 1.11@@47.57811288227135,80.99 ± 0.64 / 60.39 ± 1.10@@80.9918072857844,68.01 ± 0.10 / 21.20 ± 0.25@@68.01480546331732,62.09 ± 0.82 / 71.48 ± 0.61@@62.085277959587884,71.21 ± 1.45 / 78.25 ± 1.11@@71.20866749456287,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base (few-shot)</a>,🧠,1.91@@1.91,8414105600.0,131072.0,8192.0,✓,✗,69.03 ± 0.69 / 65.72 ± 2.41@@69.03090322355105,67.52 ± 3.88 / 61.41 ± 2.66@@67.51886859278969,40.51 ± 1.93 / 69.82 ± 0.89@@40.511466644742114,84.07 ± 0.78 / 69.89 ± 1.42@@84.06904172184613,67.86 ± 0.55 / 19.31 ± 0.44@@67.85705306872842,55.93 ± 0.71 / 66.85 ± 0.53@@55.9283516411584,64.11 ± 1.73 / 72.26 ± 1.43@@64.10948347976917,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.3.0@@140300,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat (few-shot)</a>,📝,1.92@@1.92,14167290880.0,152064.0,32768.0,✗,✗,64.59 ± 1.08 / 71.67 ± 0.67@@64.5930638663033,71.64 ± 1.18 / 63.78 ± 0.87@@71.63708668156197,37.06 ± 2.20 / 68.25 ± 1.01@@37.05695541909074,81.53 ± 1.09 / 62.75 ± 1.88@@81.53293329964683,68.40 ± 0.04 / 21.57 ± 0.17@@68.40362795075634,54.40 ± 1.23 / 65.87 ± 0.95@@54.39667940928808,72.85 ± 0.85 / 79.61 ± 0.64@@72.84697453330224,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot)</a>,📝,1.92@@1.92,8030326784.0,128264.0,131072.0,✓,✗,68.53 ± 1.08 / 73.19 ± 0.61@@68.53030574875362,71.20 ± 1.90 / 66.52 ± 1.42@@71.20350115126067,40.61 ± 1.95 / 67.32 ± 2.25@@40.60869229546025,85.15 ± 0.99 / 72.09 ± 1.56@@85.1534699317511,69.63 ± 0.50 / 25.90 ± 0.68@@69.63453553486033,51.00 ± 1.15 / 63.00 ± 0.89@@51.00491460645349,53.35 ± 1.81 / 63.89 ± 1.48@@53.352879423053714,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,1.92@@1.92,8030261248.0,128256.0,131072.0,✓,✗,68.88 ± 0.89 / 71.42 ± 0.64@@68.87823358477266,74.09 ± 1.10 / 68.79 ± 1.03@@74.08984754901086,39.37 ± 2.34 / 69.03 ± 0.95@@39.369331628783435,76.56 ± 0.63 / 48.65 ± 1.53@@76.56299705389365,69.03 ± 0.09 / 22.51 ± 0.40@@69.03416446089977,53.75 ± 0.77 / 65.30 ± 0.57@@53.746391350232216,62.85 ± 1.49 / 72.06 ± 1.11@@62.85057887124468,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Base'>tiiuae/Falcon3-10B-Base (few-shot)</a>,🧠,1.93@@1.93,10305653760.0,131072.0,32768.0,✓,✗,63.47 ± 2.46 / 69.84 ± 1.38@@63.47004696336159,69.86 ± 1.37 / 64.91 ± 1.20@@69.86146302608284,39.39 ± 2.31 / 69.46 ± 1.15@@39.39323852524244,85.99 ± 1.14 / 75.34 ± 1.62@@85.98675030140015,68.47 ± 0.56 / 24.43 ± 0.74@@68.4704200302076,61.50 ± 0.85 / 71.05 ± 0.66@@61.496035317995165,55.84 ± 2.66 / 65.43 ± 2.40@@55.8370018704207,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
"<a href='https://huggingface.co/VAGOsolutions/SauerkrautLM-7b-HerO'>VAGOsolutions/SauerkrautLM-7b-HerO (few-shot, val)</a>",📝,1.96@@1.96,7241748480.0,32002.0,32768.0,✗,✓,68.63 ± 2.65 / 73.31 ± 1.74@@68.62881636763144,69.26 ± 2.17 / 57.48 ± 2.92@@69.25790140338057,29.87 ± 3.02 / 63.64 ± 1.60@@29.86534092221529,80.40 ± 1.26 / 60.92 ± 2.44@@80.39527919120438,70.20 ± 0.33 / 26.15 ± 0.51@@70.19536483567208,49.51 ± 2.34 / 61.84 ± 1.70@@49.51397436171266,71.47 ± 2.32 / 78.36 ± 1.73@@71.47423645536468,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,1.96@@1.96,12187325040.0,262144.0,,✓,✗,64.13 ± 2.12 / 70.12 ± 1.23@@64.13117797236968,58.41 ± 3.41 / 53.34 ± 2.75@@58.41217648071717,42.53 ± 1.52 / 70.91 ± 0.71@@42.53349442487633,84.30 ± 2.32 / 73.04 ± 3.61@@84.29802905286077,70.07 ± 0.62 / 23.93 ± 0.89@@70.06573106817086,63.19 ± 1.01 / 72.29 ± 0.74@@63.186281099680826,48.66 ± 6.54 / 59.66 ± 6.19@@48.657685827406105,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B (few-shot)</a>,🧠,1.96@@1.96,13716198400.0,100352.0,4096.0,✓,✗,67.88 ± 0.61 / 59.31 ± 0.33@@67.88044557107975,55.96 ± 2.73 / 49.26 ± 2.22@@55.963083030597716,50.06 ± 1.55 / 74.21 ± 0.88@@50.06063243140855,90.85 ± 0.42 / 82.04 ± 0.74@@90.85433860385827,70.78 ± 0.09 / 29.37 ± 0.20@@70.78265077667311,51.14 ± 1.22 / 63.28 ± 0.89@@51.13965440794491,44.04 ± 2.06 / 56.13 ± 1.63@@44.037494796156274,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,📝,1.97@@1.97,8028033024.0,256000.0,8192.0,✗,✗,68.72 ± 0.61 / 66.83 ± 0.49@@68.72022868735465,67.33 ± 1.57 / 53.00 ± 0.88@@67.33123315091686,31.18 ± 1.63 / 65.23 ± 0.69@@31.175844147041197,84.26 ± 1.04 / 68.33 ± 2.04@@84.2562408752948,72.23 ± 0.14 / 30.67 ± 0.16@@72.22531166829867,49.41 ± 1.09 / 62.03 ± 0.82@@49.40977672041459,58.93 ± 1.50 / 68.81 ± 1.21@@58.930181512126964,15.3.1.dev0@@150301,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,1.97@@1.97,8030261248.0,128256.0,8192.0,✓,✗,67.64 ± 1.12 / 71.04 ± 1.17@@67.63884051085853,75.02 ± 1.31 / 69.47 ± 1.18@@75.01652075799873,32.29 ± 3.05 / 64.85 ± 2.07@@32.29175891042334,79.10 ± 1.10 / 54.84 ± 2.22@@79.0968392552429,69.28 ± 0.17 / 25.48 ± 0.61@@69.27583553202567,53.77 ± 1.03 / 64.91 ± 0.80@@53.769241770226,57.64 ± 1.55 / 67.29 ± 1.30@@57.6397692066515,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01 (few-shot)</a>,📝,1.98@@1.98,34980831232.0,256000.0,8192.0,✗,✗,67.26 ± 0.99 / 68.90 ± 1.29@@67.26462802439312,71.96 ± 0.83 / 63.08 ± 1.18@@71.96193916075761,40.81 ± 1.97 / 70.25 ± 1.02@@40.80572534416026,73.04 ± 1.31 / 49.79 ± 2.48@@73.04213304315121,68.97 ± 0.15 / 22.78 ± 0.28@@68.96774697786896,50.59 ± 1.17 / 62.68 ± 0.84@@50.58936641275024,58.04 ± 1.68 / 68.27 ± 1.28@@58.03979772627063,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,1.99@@1.99,27227128320.0,256000.0,8192.0,✓,✗,67.70 ± 1.84 / 66.16 ± 2.40@@67.69716407407375,36.36 ± 2.54 / 37.75 ± 2.55@@36.363139414222985,48.60 ± 2.51 / 73.47 ± 1.63@@48.602979043854745,88.11 ± 1.34 / 77.57 ± 2.09@@88.11000820641641,70.74 ± 0.42 / 24.98 ± 0.93@@70.73800744343316,65.44 ± 0.95 / 73.97 ± 0.72@@65.43997635930182,57.82 ± 4.33 / 66.61 ± 3.73@@57.82376544341902,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/CohereForAI/c4ai-command-r7b-12-2024'>CohereForAI/c4ai-command-r7b-12-2024 (few-shot)</a>,📝,2.00@@2.00,8028033024.0,256000.0,4096.0,✗,✗,67.11 ± 0.78 / 68.73 ± 1.18@@67.10568971350537,70.40 ± 0.75 / 62.74 ± 1.22@@70.40447478806384,34.74 ± 2.40 / 67.15 ± 1.18@@34.73673879223077,85.14 ± 0.70 / 71.39 ± 1.08@@85.13514112971055,69.14 ± 0.21 / 23.17 ± 0.49@@69.13861133434693,50.19 ± 0.74 / 62.29 ± 0.65@@50.185527610789094,53.48 ± 1.53 / 64.73 ± 1.28@@53.47596526911741,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"<a href='https://huggingface.co/cstr/Spaetzle-v8-7b'>cstr/Spaetzle-v8-7b (few-shot, val)</a>",📝,2.01@@2.01,7241732096.0,32000.0,32768.0,✗,✓,65.39 ± 2.32 / 73.11 ± 1.62@@65.38955987023132,69.40 ± 1.47 / 54.63 ± 3.27@@69.3970877633642,26.69 ± 3.88 / 62.82 ± 2.19@@26.687291827840966,75.27 ± 0.99 / 49.74 ± 2.61@@75.2663241626061,71.02 ± 0.71 / 25.90 ± 1.04@@71.02241193177179,52.23 ± 1.23 / 63.71 ± 0.98@@52.22517218521563,74.61 ± 2.55 / 80.66 ± 1.88@@74.6141101767696,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
"<a href='https://huggingface.co/mlabonne/NeuralBeagle14-7B'>mlabonne/NeuralBeagle14-7B (few-shot, val)</a>",📝,2.01@@2.01,7241732096.0,32000.0,8192.0,✗,✓,63.85 ± 2.16 / 72.40 ± 1.71@@63.85243762746968,69.16 ± 2.80 / 57.28 ± 2.82@@69.16176660838774,28.40 ± 3.60 / 62.70 ± 1.51@@28.39561892652317,76.37 ± 1.27 / 52.69 ± 2.21@@76.36731730870429,70.55 ± 0.73 / 26.32 ± 0.97@@70.54859500611201,51.74 ± 1.82 / 63.44 ± 1.40@@51.74250729747965,71.96 ± 2.38 / 78.87 ± 1.66@@71.96455278118968,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302,12.5.2@@120502,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1 (few-shot)</a>,🧠,2.01@@2.01,46702792704.0,32000.0,32768.0,✓,✗,68.87 ± 0.60 / 66.34 ± 0.90@@68.86991939117732,65.31 ± 3.21 / 60.19 ± 2.58@@65.31404844172243,43.07 ± 1.73 / 70.80 ± 1.06@@43.06758575376701,85.74 ± 1.41 / 74.20 ± 2.03@@85.7407645856411,68.68 ± 1.07 / 22.56 ± 1.09@@68.68345245777164,56.64 ± 0.82 / 67.35 ± 0.65@@56.635966628683974,33.42 ± 5.53 / 47.54 ± 4.76@@33.42132882422326,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B (few-shot)</a>,🧠,2.01@@2.01,6061035520.0,64000.0,4097.0,✓,✗,68.74 ± 0.81 / 58.25 ± 0.31@@68.73508223242585,55.51 ± 1.48 / 50.61 ± 1.37@@55.50918319643324,40.81 ± 3.66 / 69.94 ± 1.98@@40.80904416115628,84.50 ± 1.61 / 72.33 ± 2.68@@84.49734619492064,67.71 ± 0.08 / 23.57 ± 0.14@@67.70571720087901,48.36 ± 0.95 / 61.21 ± 0.76@@48.356943423737484,68.50 ± 0.63 / 76.04 ± 0.47@@68.50487538373974,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,🧠,2.01@@2.01,7241732096.0,32000.0,4096.0,✗,✗,67.77 ± 0.77 / 72.59 ± 0.53@@67.76691485238572,70.23 ± 1.21 / 61.10 ± 1.38@@70.22536913148272,29.86 ± 1.97 / 62.96 ± 1.12@@29.86251384538228,76.69 ± 1.68 / 50.99 ± 3.38@@76.68612436897537,70.65 ± 0.74 / 25.15 ± 0.77@@70.64961735974066,47.40 ± 1.32 / 60.42 ± 0.99@@47.399655560423746,68.10 ± 1.44 / 75.89 ± 1.15@@68.1013342801602,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct (few-shot)</a>,📝,2.01@@2.01,8170848256.0,49155.0,4096.0,✓,✗,67.78 ± 0.70 / 68.78 ± 1.34@@67.77672882124185,64.46 ± 1.85 / 56.46 ± 1.14@@64.45568107156987,39.42 ± 2.46 / 69.39 ± 1.17@@39.415736492035705,84.11 ± 0.93 / 71.23 ± 1.59@@84.10718198877734,69.30 ± 0.10 / 23.68 ± 0.29@@69.29505122068804,49.99 ± 0.60 / 62.20 ± 0.47@@49.990723120683725,52.45 ± 1.74 / 61.79 ± 1.58@@52.45397540787775,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
