generative_type,model,rank,danish,dutch,english,faroese,german,icelandic,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,dutch_social,conll_nl,scala_nl,squad_nl,sst5,conll_en,scala_en,squad,fosent,fone,scala_fo,foqa,sb10k,germeval,scala_de,germanquad,hotter_and_colder_sentiment,mim_gold_ner,scala_is,nqii,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,swerec,suc3,scala_sv,scandiqa_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,sst5_version,conll_en_version,scala_en_version,squad_version,fosent_version,fone_version,scala_fo_version,foqa_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version
📝,"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",1.55@@1.55,1.29@@1.29,2.08@@2.08,1.51@@1.51,1.79@@1.79,1.62@@1.62,1.37@@1.37,1.47@@1.47,1.30@@1.30,,100256.0,128000,✓,✗,61.62 ± 2.17 / 73.99 ± 1.48@@61.61567662565071,66.80 ± 3.01 / 45.69 ± 2.85@@66.80345088084063,66.84 ± 3.27 / 82.79 ± 1.86@@66.83561631898827,68.83 ± 1.50 / 56.85 ± 2.62@@68.8277752755694,14.22 ± 3.26 / 33.41 ± 3.24@@14.222378248409864,66.44 ± 2.18 / 56.97 ± 2.87@@66.44461964916889,72.30 ± 2.26 / 85.96 ± 1.13@@72.2960026664485,80.14 ± 0.78 / 56.68 ± 1.78@@80.1411650665076,67.55 ± 2.34 / 74.04 ± 1.80@@67.55005450982536,81.79 ± 1.39 / 65.51 ± 4.16@@81.79183112469968,51.21 ± 4.96 / 75.11 ± 2.42@@51.208873742675465,84.48 ± 0.76 / 66.60 ± 1.45@@84.48316376481247,38.22 ± 8.49 / 52.33 ± 6.78@@38.218954052061186,86.51 ± 2.01 / 85.01 ± 2.45@@86.5130142346496,35.09 ± 5.70 / 65.72 ± 3.27@@35.09160444294318,81.93 ± 2.20 / 58.65 ± 3.25@@81.93192507731982,60.47 ± 2.94 / 72.79 ± 1.90@@60.467737255664524,68.94 ± 2.50 / 44.89 ± 2.85@@68.94076215879583,51.26 ± 4.94 / 74.76 ± 2.45@@51.2645155867854,58.77 ± 1.50 / 30.04 ± 1.30@@58.7698796895814,49.59 ± 2.76 / 62.50 ± 2.08@@49.593506392851815,86.37 ± 1.19 / 82.25 ± 2.73@@86.36652565064014,43.03 ± 5.07 / 71.18 ± 2.64@@43.03178569737223,66.04 ± 1.95 / 37.26 ± 2.60@@66.04042701437845,62.55 ± 2.82 / 72.41 ± 2.42@@62.54978546382319,77.48 ± 2.32 / 55.87 ± 2.83@@77.48333790567503,78.70 ± 2.78 / 57.58 ± 4.23@@78.69695727674406,74.45 ± 4.27 / 86.22 ± 2.49@@74.45442159680051,56.31 ± 5.81 / 74.04 ± 4.03@@56.308869546145424,73.39 ± 1.83 / 44.67 ± 3.23@@73.39006572276543,77.59 ± 1.38 / 78.78 ± 1.69@@77.59451964195583,74.45 ± 3.09 / 49.97 ± 4.23@@74.44684938971369,71.35 ± 3.10 / 83.98 ± 2.23@@71.34765117363143,66.76 ± 1.10 / 56.56 ± 1.39@@66.76310846777446,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.3.2@@120302,12.10.2@@121002,14.2.0.dev0@@140200,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,13.3.0@@130300,12.5.1@@120501,12.5.1@@120501,13.0.0@@130000,12.10.2@@121002,12.6.1@@120601,12.10.2@@121002,12.6.1@@120601,13.2.0@@130200,12.5.1@@120501,12.10.2@@121002,12.5.1@@120501,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000
📝,"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",1.61@@1.61,1.49@@1.49,2.30@@2.30,1.60@@1.60,1.63@@1.63,1.77@@1.77,1.40@@1.40,1.45@@1.45,1.27@@1.27,,200019.0,128000,✓,✗,49.42 ± 3.29 / 61.74 ± 2.59@@49.42372610071974,71.15 ± 2.89 / 52.24 ± 3.76@@71.14680772858678,64.59 ± 2.97 / 79.93 ± 1.88@@64.58662260096766,67.87 ± 1.75 / 57.35 ± 2.51@@67.87199794952302,10.80 ± 2.24 / 32.52 ± 2.18@@10.795570972044944,76.75 ± 3.44 / 61.13 ± 4.40@@76.75134240298256,56.26 ± 4.51 / 73.83 ± 3.26@@56.2615181794265,79.40 ± 0.90 / 51.78 ± 1.84@@79.39956904699248,62.74 ± 2.04 / 71.28 ± 1.46@@62.74260000318543,83.48 ± 1.52 / 75.51 ± 2.26@@83.4824692069373,46.56 ± 3.35 / 71.13 ± 1.97@@46.55809858778694,84.78 ± 0.68 / 65.41 ± 1.96@@84.77552030987339,27.30 ± 11.60 / 55.31 ± 9.21@@27.2971432533293,81.86 ± 2.08 / 67.98 ± 3.64@@81.85604491991457,51.20 ± 3.09 / 73.87 ± 1.71@@51.20462020109765,78.76 ± 1.86 / 56.45 ± 2.88@@78.76006528232134,54.82 ± 2.19 / 68.42 ± 1.67@@54.82448611019911,69.99 ± 1.63 / 45.58 ± 2.42@@69.98869223074664,43.66 ± 5.67 / 64.64 ± 4.65@@43.662816547392225,60.77 ± 1.11 / 30.06 ± 1.04@@60.767892046811255,49.86 ± 5.14 / 64.51 ± 3.68@@49.86373454028123,81.19 ± 2.45 / 54.02 ± 5.60@@81.19051651601443,51.10 ± 5.09 / 73.25 ± 3.42@@51.09616553534624,55.46 ± 1.12 / 29.64 ± 2.12@@55.46285685891303,66.66 ± 1.91 / 77.70 ± 1.29@@66.65884715864749,79.07 ± 3.01 / 64.17 ± 3.51@@79.0749940006508,81.56 ± 2.45 / 64.06 ± 4.11@@81.55539720192658,64.53 ± 6.09 / 79.17 ± 4.89@@64.52725494276652,54.70 ± 4.36 / 74.94 ± 3.26@@54.69845251324422,74.52 ± 1.79 / 43.51 ± 3.40@@74.5166114590354,77.16 ± 2.65 / 79.22 ± 2.36@@77.15716651688709,76.66 ± 2.11 / 60.34 ± 4.71@@76.65628919038222,68.99 ± 4.33 / 83.37 ± 2.61@@68.98664221678186,67.71 ± 0.96 / 57.96 ± 1.35@@67.70637587047779,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,14.2.0.dev0@@140200,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,13.3.0@@130300,12.10.0@@121000,15.1.0.dev0@@150100,13.0.0@@130000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,13.2.0@@130200,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000
📝,"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",1.70@@1.70,1.50@@1.50,2.09@@2.09,1.60@@1.60,1.95@@1.95,1.85@@1.85,1.55@@1.55,1.51@@1.51,1.54@@1.54,,200019.0,8191,✓,✗,56.91 ± 2.34 / 71.25 ± 1.60@@56.91403167576825,59.96 ± 1.64 / 41.55 ± 2.90@@59.956447152855716,67.13 ± 4.29 / 83.05 ± 2.24@@67.13339863678074,65.87 ± 1.53 / 54.44 ± 1.48@@65.86953441489553,20.33 ± 2.51 / 40.68 ± 1.79@@20.327132829788937,68.71 ± 3.85 / 53.19 ± 4.36@@68.71190632705508,49.52 ± 5.39 / 72.59 ± 3.64@@49.522426880755354,79.84 ± 0.80 / 50.77 ± 1.66@@79.83928929503402,66.75 ± 2.50 / 73.93 ± 1.51@@66.75380011817357,77.38 ± 1.61 / 66.97 ± 2.42@@77.37874870084714,52.43 ± 3.69 / 74.46 ± 2.17@@52.42545924547228,84.07 ± 0.95 / 63.27 ± 1.61@@84.067196985125,39.45 ± 8.53 / 62.38 ± 6.69@@39.4541074686478,73.80 ± 2.44 / 63.06 ± 3.84@@73.79853210925201,38.53 ± 5.19 / 68.53 ± 2.85@@38.53471046357349,79.05 ± 2.09 / 59.35 ± 3.62@@79.04671230181111,55.16 ± 3.05 / 69.81 ± 1.96@@55.16261613398308,65.51 ± 1.91 / 48.61 ± 3.73@@65.5067918613168,44.60 ± 3.19 / 67.35 ± 2.53@@44.59600720867293,58.35 ± 1.88 / 30.02 ± 2.22@@58.34850761390847,56.18 ± 4.37 / 69.53 ± 2.97@@56.184939108528,64.69 ± 1.77 / 37.89 ± 3.23@@64.69138262912891,45.52 ± 4.15 / 71.51 ± 2.48@@45.51993082631073,56.85 ± 1.60 / 29.43 ± 1.60@@56.85273331433714,67.45 ± 4.03 / 77.50 ± 2.90@@67.45354338429006,72.74 ± 1.75 / 57.58 ± 4.14@@72.74053009268455,69.17 ± 2.61 / 56.34 ± 3.95@@69.172021370748,74.27 ± 2.57 / 86.86 ± 1.43@@74.26882065130759,54.83 ± 3.96 / 76.91 ± 1.98@@54.82939284320224,72.28 ± 2.04 / 40.12 ± 3.09@@72.28340958558194,77.69 ± 2.28 / 78.73 ± 2.17@@77.68592235200666,62.45 ± 2.79 / 46.68 ± 4.08@@62.45059782627551,68.93 ± 3.67 / 84.15 ± 2.01@@68.92650292184513,61.39 ± 1.54 / 50.68 ± 1.67@@61.38746283228488,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100
🧠,<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,1.75@@1.75,1.50@@1.50,1.99@@1.99,1.41@@1.41,2.29@@2.29,1.60@@1.60,1.93@@1.93,2.02@@2.02,1.26@@1.26,70553706496.0,128256.0,8192,✓,✗,58.13 ± 1.33 / 71.61 ± 1.04@@58.131617427553216,63.21 ± 1.85 / 49.31 ± 2.84@@63.20953489572727,56.12 ± 2.42 / 76.82 ± 2.07@@56.123007082781804,69.67 ± 0.59 / 63.62 ± 1.18@@69.67019995617225,16.09 ± 1.71 / 41.46 ± 1.77@@16.087648274642326,72.38 ± 1.48 / 65.20 ± 2.45@@72.380974827051,59.68 ± 2.32 / 79.27 ± 1.42@@59.6750314079287,82.60 ± 1.56 / 68.60 ± 1.25@@82.60482986196078,69.13 ± 0.76 / 68.29 ± 0.97@@69.12996954809951,82.88 ± 1.45 / 80.30 ± 1.26@@82.87692434282577,54.25 ± 2.67 / 76.03 ± 1.77@@54.2512783086188,88.09 ± 1.11 / 77.58 ± 1.77@@88.08623931407149,57.99 ± 3.77 / 71.14 ± 3.12@@57.991581432814186,80.62 ± 1.38 / 77.07 ± 2.93@@80.6238818967518,13.59 ± 1.39 / 44.26 ± 2.93@@13.59206210730322,79.40 ± 1.20 / 61.89 ± 1.34@@79.39591203579899,60.32 ± 2.25 / 72.88 ± 1.80@@60.31527154138102,70.86 ± 1.31 / 61.11 ± 1.66@@70.86395479777215,44.69 ± 3.77 / 71.60 ± 2.01@@44.69452745165646,69.34 ± 3.15 / 40.49 ± 2.26@@69.34009811419052,46.73 ± 1.83 / 59.90 ± 2.41@@46.727553563442534,73.19 ± 1.47 / 59.24 ± 5.96@@73.1920004689547,20.95 ± 2.06 / 55.90 ± 3.93@@20.947819800309436,64.09 ± 1.73 / 37.94 ± 1.50@@64.08571626956692,39.77 ± 0.44 / 40.05 ± 0.38@@39.773733720969325,79.76 ± 1.61 / 69.73 ± 3.22@@79.76262913022751,78.23 ± 1.12 / 69.33 ± 3.61@@78.22593363186228,54.98 ± 1.98 / 75.21 ± 1.36@@54.97700424864477,45.17 ± 1.81 / 71.03 ± 1.66@@45.16896233283162,78.09 ± 3.73 / 55.34 ± 6.10@@78.08941097723824,81.52 ± 0.71 / 79.89 ± 1.55@@81.52007884604083,75.15 ± 2.00 / 59.47 ± 4.87@@75.14683816033596,64.20 ± 1.38 / 81.88 ± 0.69@@64.20256814238014,68.74 ± 1.30 / 62.31 ± 2.66@@68.74063602307541,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
📝,<a href='https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot)</a>,1.77@@1.77,1.32@@1.32,2.27@@2.27,1.45@@1.45,2.36@@2.36,1.63@@1.63,1.95@@1.95,1.96@@1.96,1.27@@1.27,405868625920.0,128256.0,131072,✓,✗,61.26 ± 1.20 / 73.27 ± 0.95@@61.26104363202908,71.94 ± 1.37 / 61.59 ± 1.44@@71.93793131497016,64.94 ± 1.80 / 81.65 ± 1.13@@64.9391351861204,66.00 ± 1.23 / 56.00 ± 2.32@@65.99732304500758,11.23 ± 1.27 / 20.82 ± 0.81@@11.23364142833609,69.12 ± 2.03 / 64.39 ± 2.33@@69.12053591896635,68.74 ± 0.69 / 83.97 ± 0.59@@68.7413463222585,77.66 ± 0.76 / 58.31 ± 1.33@@77.6644206284331,70.60 ± 1.14 / 73.47 ± 1.06@@70.59800753301509,82.86 ± 0.87 / 81.12 ± 1.04@@82.8618773570778,53.80 ± 1.81 / 76.34 ± 1.02@@53.80352521068256,82.32 ± 0.61 / 62.69 ± 1.45@@82.31511730491586,53.25 ± 1.76 / 50.18 ± 1.09@@53.25435974149326,81.95 ± 1.35 / 81.71 ± 1.81@@81.94550113408405,14.29 ± 2.45 / 40.76 ± 1.85@@14.292950818015582,79.84 ± 0.96 / 60.41 ± 1.26@@79.83653150032353,60.79 ± 2.05 / 71.73 ± 2.13@@60.794760719563676,72.87 ± 1.32 / 69.43 ± 1.71@@72.86589359944499,50.25 ± 1.78 / 74.33 ± 0.79@@50.25058296892384,57.73 ± 1.57 / 28.34 ± 1.37@@57.73285136059347,53.84 ± 1.13 / 67.24 ± 1.23@@53.840807739280706,66.40 ± 3.96 / 65.04 ± 4.36@@66.39532390769143,26.22 ± 2.28 / 57.33 ± 2.21@@26.220781142386173,54.41 ± 1.48 / 26.49 ± 1.58@@54.412922461177914,40.55 ± 0.50 / 40.35 ± 0.39@@40.55146163126498,82.44 ± 1.19 / 81.86 ± 1.20@@82.441170394747,82.17 ± 0.89 / 82.07 ± 1.38@@82.17073675205769,63.91 ± 1.57 / 79.76 ± 1.13@@63.90959041621066,45.93 ± 1.97 / 67.09 ± 1.85@@45.9274339498503,73.27 ± 1.24 / 45.33 ± 1.59@@73.26582616095848,80.70 ± 0.46 / 79.67 ± 0.67@@80.69588988165437,76.27 ± 1.55 / 73.77 ± 1.72@@76.26688277527919,68.85 ± 1.48 / 83.10 ± 0.95@@68.8534836572833,66.31 ± 1.05 / 56.41 ± 2.22@@66.30596002545573,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
📝,<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,1.77@@1.77,1.52@@1.52,2.30@@2.30,1.61@@1.61,1.85@@1.85,1.88@@1.88,1.90@@1.90,1.60@@1.60,1.50@@1.50,27432406640.0,262144.0,128000,✓,✗,57.40 ± 1.48 / 71.71 ± 1.09@@57.40479481080871,61.91 ± 1.26 / 50.60 ± 2.37@@61.91137846512318,62.41 ± 1.38 / 81.00 ± 0.81@@62.41480228864287,64.35 ± 0.84 / 54.15 ± 1.32@@64.3490406362606,13.89 ± 1.17 / 34.07 ± 0.67@@13.885046085598058,60.76 ± 1.75 / 50.15 ± 2.28@@60.76383233143788,63.17 ± 1.48 / 81.21 ± 0.88@@63.16588928131625,75.07 ± 0.83 / 56.61 ± 0.86@@75.06683154241499,69.23 ± 1.09 / 72.93 ± 0.97@@69.2291410322058,74.63 ± 1.27 / 71.37 ± 1.01@@74.6330799186735,50.34 ± 2.03 / 74.01 ± 1.36@@50.343593256108065,81.90 ± 0.92 / 62.68 ± 1.71@@81.90083572455342,64.20 ± 2.21 / 74.78 ± 1.68@@64.19941868604286,73.69 ± 1.51 / 67.47 ± 2.47@@73.68974391819154,28.81 ± 2.31 / 63.06 ± 1.18@@28.807801004464906,72.73 ± 1.35 / 48.25 ± 2.16@@72.73007843566407,54.53 ± 2.11 / 69.00 ± 1.58@@54.53443474466668,66.25 ± 1.41 / 54.31 ± 1.51@@66.25202310905127,48.04 ± 1.65 / 72.60 ± 0.79@@48.0387202897491,53.49 ± 0.86 / 24.65 ± 1.27@@53.489802668503366,53.50 ± 1.27 / 67.18 ± 1.35@@53.50139456851459,61.34 ± 1.90 / 48.44 ± 3.19@@61.338895877431455,37.71 ± 1.69 / 68.45 ± 0.97@@37.70538582257051,49.17 ± 1.11 / 20.30 ± 2.18@@49.17217139231846,64.99 ± 0.96 / 76.72 ± 0.53@@64.99027175724127,70.30 ± 1.73 / 60.24 ± 2.64@@70.30451783250558,69.83 ± 1.85 / 60.63 ± 2.06@@69.83318810587292,69.26 ± 1.34 / 84.47 ± 0.81@@69.26288432995655,58.07 ± 1.84 / 78.95 ± 0.95@@58.07331029991729,67.79 ± 0.89 / 37.28 ± 1.31@@67.7939599622243,78.73 ± 0.99 / 78.65 ± 0.97@@78.73026696645769,62.38 ± 2.44 / 52.25 ± 2.81@@62.38345264378607,67.64 ± 1.18 / 83.75 ± 0.62@@67.64314741191244,64.34 ± 0.56 / 53.75 ± 0.91@@64.34402805416167,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.4.0.dev0@@150400,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.4.0.dev0@@150400,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
📝,"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",1.81@@1.81,1.31@@1.31,2.27@@2.27,1.57@@1.57,2.65@@2.65,1.86@@1.86,1.74@@1.74,1.69@@1.69,1.40@@1.40,,,200000,✓,✗,63.61 ± 1.57 / 76.00 ± 1.07@@63.606694144803555,65.88 ± 2.11 / 55.11 ± 1.59@@65.88430253250571,71.03 ± 2.52 / 85.46 ± 1.24@@71.02748663723585,59.56 ± 1.25 / 46.24 ± 1.37@@59.557804071387736,12.64 ± 2.16 / 33.98 ± 1.59@@12.635552317248349,62.41 ± 2.92 / 52.27 ± 2.69@@62.406866260961294,74.06 ± 2.21 / 86.59 ± 1.26@@74.05820722234736,71.43 ± 0.34 / 37.34 ± 0.83@@71.432032960727,67.01 ± 2.34 / 71.49 ± 1.89@@67.00665282829705,82.11 ± 1.42 / 79.77 ± 1.03@@82.111741302176,51.09 ± 5.20 / 74.48 ± 2.70@@51.08732211737552,77.79 ± 1.01 / 52.41 ± 1.56@@77.78642640190854,8.17 ± 5.22 / 27.16 ± 4.39@@8.167448933851158,72.52 ± 0.65 / 60.99 ± 0.78@@72.5162463199293,32.38 ± 4.28 / 56.38 ± 2.60@@32.38463068116057,69.24 ± 1.30 / 45.34 ± 1.90@@69.23553507607052,61.59 ± 4.13 / 73.65 ± 2.62@@61.58658055321175,61.83 ± 1.50 / 46.40 ± 1.54@@61.83423106162673,46.40 ± 3.16 / 69.51 ± 1.58@@46.39784450587477,48.70 ± 1.26 / 23.77 ± 1.57@@48.70257815871887,51.24 ± 1.69 / 65.49 ± 1.06@@51.240288454641316,61.70 ± 2.37 / 41.44 ± 1.76@@61.700009401554546,52.43 ± 2.29 / 73.78 ± 1.09@@52.43486678104466,47.06 ± 1.02 / 22.92 ± 1.06@@47.0625738137382,50.92 ± 2.29 / 63.00 ± 1.71@@50.923110962728856,74.23 ± 1.86 / 70.66 ± 2.97@@74.23458485154674,70.50 ± 2.19 / 65.71 ± 2.34@@70.50152898187869,76.10 ± 3.28 / 88.02 ± 1.64@@76.10336836974055,72.03 ± 2.05 / 85.28 ± 1.07@@72.02975225746646,67.69 ± 0.75 / 40.57 ± 1.42@@67.68992020281635,77.70 ± 2.39 / 77.22 ± 2.00@@77.70031549261454,70.22 ± 2.34 / 58.75 ± 1.43@@70.21587675818077,74.34 ± 2.79 / 87.04 ± 1.39@@74.33691610591404,60.05 ± 0.93 / 49.32 ± 1.33@@60.05228919384334,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
📝,"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",1.85@@1.85,1.59@@1.59,2.31@@2.31,1.67@@1.67,2.38@@2.38,1.93@@1.93,1.53@@1.53,1.99@@1.99,1.42@@1.42,,200019.0,8191,✓,✗,53.07 ± 1.45 / 68.64 ± 1.04@@53.072441743589884,64.80 ± 1.56 / 45.57 ± 1.47@@64.79769253130317,64.18 ± 3.36 / 81.90 ± 1.68@@64.1777759757754,63.09 ± 1.29 / 49.02 ± 1.18@@63.08891304537468,12.36 ± 2.16 / 19.95 ± 1.34@@12.357556426961528,69.12 ± 2.60 / 41.51 ± 2.79@@69.11504837770093,58.88 ± 2.34 / 79.01 ± 1.24@@58.88153013625701,76.88 ± 0.76 / 45.35 ± 1.23@@76.87694942192243,63.46 ± 1.00 / 69.35 ± 1.28@@63.45718851243698,81.23 ± 1.31 / 72.72 ± 1.69@@81.22618244708747,46.45 ± 4.58 / 72.89 ± 2.30@@46.45475359459428,81.53 ± 0.66 / 57.64 ± 1.26@@81.52521414461937,27.30 ± 4.69 / 30.12 ± 3.11@@27.301719487359506,68.00 ± 1.08 / 37.75 ± 1.09@@68.00464651750026,28.09 ± 3.31 / 54.91 ± 2.24@@28.092396981741068,77.38 ± 1.63 / 58.59 ± 1.88@@77.3785510195543,50.12 ± 2.00 / 65.79 ± 1.25@@50.11558801595113,67.18 ± 1.47 / 35.10 ± 1.57@@67.18415261993218,44.98 ± 4.97 / 71.63 ± 2.39@@44.97916532644493,55.19 ± 1.49 / 27.01 ± 1.67@@55.18821067954887,53.43 ± 2.20 / 66.07 ± 1.59@@53.42962710360165,72.85 ± 2.10 / 33.36 ± 1.59@@72.85138353976114,49.26 ± 4.89 / 73.99 ± 2.32@@49.25625803571417,48.73 ± 0.97 / 27.36 ± 0.94@@48.730872605054536,36.27 ± 1.67 / 35.73 ± 0.92@@36.27418415804607,77.72 ± 1.59 / 57.89 ± 2.50@@77.71944880756472,71.70 ± 2.52 / 50.78 ± 2.60@@71.70436585173273,71.70 ± 2.39 / 85.59 ± 1.30@@71.69890606124767,58.79 ± 1.33 / 76.83 ± 0.92@@58.78724887700185,72.82 ± 0.88 / 40.95 ± 1.31@@72.81905970663874,74.85 ± 2.89 / 74.58 ± 2.54@@74.85129158055011,75.06 ± 2.26 / 44.92 ± 1.50@@75.06377528453866,65.23 ± 2.16 / 80.52 ± 1.22@@65.22993669891697,63.85 ± 1.17 / 53.02 ± 1.40@@63.852505460146084,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
