model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.52@@1.52,,,1047576.0,✓,✗,94.02 ± 1.04 / 96.98 ± 0.53@@94.02148893611235,65.53 ± 2.23 / 37.72 ± 2.39@@65.52659130997702,66.63 ± 1.69 / 83.07 ± 0.85@@66.62633093879113,72.30 ± 1.02 / 39.05 ± 1.45@@72.29510891530596,65.65 ± 0.09 / 14.67 ± 0.17@@65.64864219399169,73.88 ± 1.39 / 80.47 ± 1.06@@73.88070416197323,78.25 ± 2.39 / 83.63 ± 1.82@@78.25048796480982,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.52@@1.52,72706203648.0,152064.0,32768.0,✓,✗,90.68 ± 0.71 / 95.26 ± 0.38@@90.67859857384528,67.16 ± 1.61 / 44.06 ± 2.06@@67.16166208827575,66.06 ± 1.20 / 82.87 ± 0.67@@66.0597843122773,77.17 ± 0.40 / 54.93 ± 1.27@@77.16743489343273,64.83 ± 0.23 / 15.04 ± 0.29@@64.8268975582323,73.09 ± 0.79 / 79.74 ± 0.60@@73.09284256197787,79.00 ± 0.83 / 84.13 ± 0.64@@78.99882121361784,15.7.0.dev0@@150700,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.55@@1.55,,256128.0,1048576.0,✓,✗,91.98 ± 1.13 / 95.84 ± 0.59@@91.9807904618188,71.05 ± 3.31 / 56.71 ± 4.95@@71.04616270584067,62.99 ± 3.53 / 80.09 ± 2.07@@62.99241100082402,75.22 ± 1.03 / 52.05 ± 1.13@@75.2218160736847,65.71 ± 0.30 / 16.28 ± 0.62@@65.70821395609528,64.00 ± 3.31 / 73.05 ± 2.50@@64.00373721605722,73.03 ± 2.12 / 79.53 ± 1.62@@73.03358839811558,15.7.0.dev0@@150700,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.55@@1.55,,200019.0,8191.0,✓,✗,89.12 ± 0.78 / 94.54 ± 0.39@@89.11859826743397,69.12 ± 2.60 / 41.51 ± 2.79@@69.11504837770093,58.88 ± 2.34 / 79.01 ± 1.24@@58.88153013625701,76.88 ± 0.76 / 45.35 ± 1.23@@76.87694942192243,64.37 ± 0.09 / 13.15 ± 0.11@@64.36608954099938,72.21 ± 2.17 / 79.18 ± 1.61@@72.20730750002494,79.68 ± 1.85 / 84.49 ± 1.43@@79.67516326730481,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.56@@1.56,,,200000.0,✓,✗,91.73 ± 1.33 / 95.84 ± 0.68@@91.73427839326672,62.41 ± 2.92 / 52.27 ± 2.69@@62.406866260961294,74.06 ± 2.21 / 86.59 ± 1.26@@74.05820722234736,71.43 ± 0.34 / 37.34 ± 0.83@@71.432032960727,64.25 ± 0.09 / 13.47 ± 0.15@@64.25430834991857,75.74 ± 1.64 / 81.84 ± 1.20@@75.74312939544716,71.15 ± 2.62 / 78.40 ± 1.96@@71.14967864352164,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.56@@1.56,32763876352.0,152064.0,40960.0,✓,✗,90.82 ± 0.65 / 95.32 ± 0.34@@90.8180944395316,75.09 ± 1.61 / 59.30 ± 2.77@@75.08936962818711,56.93 ± 1.36 / 76.36 ± 0.96@@56.9272904700735,75.25 ± 0.45 / 59.55 ± 0.66@@75.25370422168152,64.38 ± 0.10 / 12.20 ± 0.29@@64.38037021944183,78.30 ± 0.39 / 83.70 ± 0.30@@78.29605436026851,67.48 ± 1.52 / 74.92 ± 1.19@@67.4797172739314,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.56@@1.56,70553706496.0,128256.0,8192.0,✓,✗,90.67 ± 1.02 / 95.21 ± 0.57@@90.67001280718969,72.38 ± 1.48 / 65.20 ± 2.45@@72.380974827051,59.68 ± 2.32 / 79.27 ± 1.42@@59.6750314079287,82.60 ± 1.56 / 68.60 ± 1.25@@82.60482986196078,69.46 ± 1.32 / 24.58 ± 2.08@@69.4625804235693,62.02 ± 1.42 / 71.38 ± 1.07@@62.024878448908595,59.69 ± 3.59 / 68.74 ± 3.12@@59.69047275221031,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.58@@1.58,,,200000.0,✓,✗,91.89 ± 1.24 / 95.92 ± 0.62@@91.88762457184862,64.83 ± 3.01 / 49.39 ± 2.54@@64.83401476572193,60.31 ± 2.27 / 76.09 ± 1.62@@60.31111933309686,74.57 ± 0.50 / 50.22 ± 1.26@@74.57437111410063,64.76 ± 0.08 / 13.24 ± 0.20@@64.7566068614833,82.72 ± 1.86 / 86.88 ± 1.44@@82.72312097771399,66.80 ± 2.16 / 74.96 ± 1.56@@66.80434825748911,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.59@@1.59,70553706496.0,128256.0,131072.0,✓,✗,89.63 ± 1.55 / 94.61 ± 0.85@@89.63092524585645,73.99 ± 1.83 / 67.02 ± 1.91@@73.9857064872995,59.80 ± 2.83 / 79.28 ± 2.28@@59.79728343058175,82.52 ± 1.32 / 68.19 ± 1.20@@82.5171147156206,69.41 ± 1.16 / 24.12 ± 1.88@@69.40739240868425,63.37 ± 0.70 / 72.39 ± 0.53@@63.367637755155435,55.29 ± 2.72 / 64.56 ± 2.28@@55.291925901773375,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.61@@1.61,27432406640.0,262144.0,,✓,✗,90.17 ± 1.37 / 94.88 ± 0.76@@90.16677453209333,66.98 ± 2.19 / 57.49 ± 2.26@@66.98353718662884,59.63 ± 1.83 / 79.41 ± 1.19@@59.62858302387695,81.67 ± 0.85 / 64.37 ± 1.47@@81.67128885984035,69.15 ± 1.55 / 25.29 ± 2.88@@69.14671070800978,64.44 ± 1.07 / 73.30 ± 0.81@@64.43966327578883,60.60 ± 2.07 / 69.30 ± 1.75@@60.59772931571711,15.7.0.dev0@@150700,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (few-shot, val)</a>",📝,1.61@@1.61,,,1047576.0,✓,✗,93.06 ± 1.02 / 96.51 ± 0.53@@93.06338898285618,73.46 ± 2.48 / 62.66 ± 5.20@@73.4615220159761,54.37 ± 2.14 / 72.89 ± 2.04@@54.3673683950521,79.53 ± 0.70 / 52.80 ± 1.14@@79.53436200957195,65.98 ± 0.18 / 15.71 ± 0.43@@65.98461737390608,66.97 ± 2.01 / 75.12 ± 1.54@@66.96690310926144,67.97 ± 3.03 / 75.12 ± 2.41@@67.97217872956296,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-mini-beta@high (zero-shot, val)</a>",🤔,1.63@@1.63,,,131072.0,✓,✗,91.65 ± 1.14 / 95.80 ± 0.59@@91.6498988935127,57.40 ± 2.81 / 41.01 ± 2.48@@57.39899048480629,62.89 ± 2.71 / 80.45 ± 1.51@@62.89431609812972,76.33 ± 0.97 / 52.55 ± 1.27@@76.32880071963811,64.58 ± 0.13 / 12.44 ± 0.20@@64.57684393273667,81.63 ± 1.35 / 86.21 ± 1.01@@81.63396036840365,64.27 ± 2.00 / 73.12 ± 1.39@@64.2713159653159,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.66@@1.66,,256128.0,1048576.0,✓,✗,93.67 ± 1.27 / 96.82 ± 0.65@@93.67233443118803,53.34 ± 3.45 / 41.10 ± 2.70@@53.33506019626214,68.47 ± 1.99 / 84.18 ± 0.99@@68.47051071468783,75.64 ± 1.29 / 52.74 ± 1.69@@75.63584064860757,64.49 ± 0.10 / 12.12 ± 0.16@@64.48500288883224,81.01 ± 2.08 / 85.39 ± 1.65@@81.00575117091707,61.12 ± 2.35 / 69.96 ± 1.80@@61.117085642955914,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.66@@1.66,,,131072.0,✓,✗,87.11 ± 1.77 / 93.51 ± 0.90@@87.10871694058687,54.62 ± 4.00 / 35.17 ± 2.38@@54.61956000398239,65.36 ± 2.39 / 82.53 ± 1.20@@65.35918360375761,73.86 ± 0.86 / 44.05 ± 0.93@@73.86316838578657,64.38 ± 0.10 / 12.98 ± 0.18@@64.37751746852882,77.96 ± 1.90 / 83.52 ± 1.38@@77.95686649665485,72.25 ± 2.19 / 78.44 ± 1.70@@72.2453681176289,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.66@@1.66,27432406640.0,262144.0,,✓,✗,92.47 ± 0.65 / 96.21 ± 0.34@@92.46899852409888,60.76 ± 1.75 / 50.14 ± 2.27@@60.75823764462523,63.17 ± 1.48 / 81.21 ± 0.88@@63.16588928131625,75.07 ± 0.83 / 56.61 ± 0.86@@75.06683154241499,65.54 ± 0.13 / 16.50 ± 0.20@@65.543477198662,64.07 ± 0.83 / 73.00 ± 0.62@@64.06604943775729,71.00 ± 0.89 / 78.05 ± 0.65@@71.00283586944312,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,1.68@@1.68,,100256.0,8191.0,✓,✗,89.36 ± 1.44 / 94.66 ± 0.73@@89.36080967570129,55.72 ± 3.68 / 40.53 ± 2.95@@55.71679312668374,67.28 ± 2.42 / 83.06 ± 1.36@@67.27954490914777,75.76 ± 0.77 / 50.45 ± 1.45@@75.75509906918946,64.09 ± 0.08 / 12.91 ± 0.15@@64.09217876149341,68.71 ± 1.85 / 76.64 ± 1.35@@68.70618638306422,71.70 ± 2.75 / 78.16 ± 2.13@@71.69743588710531,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",📝,1.68@@1.68,,200019.0,8191.0,✓,✗,93.61 ± 1.41 / 96.78 ± 0.72@@93.60567240236725,68.71 ± 3.85 / 53.19 ± 4.36@@68.71190632705508,49.52 ± 5.39 / 72.59 ± 3.64@@49.522426880755354,79.84 ± 0.80 / 50.77 ± 1.66@@79.83928929503402,66.13 ± 0.23 / 15.64 ± 0.32@@66.13125258125365,62.12 ± 2.67 / 71.76 ± 1.95@@62.118686234088095,65.74 ± 3.66 / 73.59 ± 2.89@@65.7350845564687,15.7.0.dev0@@150700,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,1.68@@1.68,32296476672.0,256000.0,8192.0,✗,✗,91.33 ± 0.61 / 95.58 ± 0.34@@91.3263147430944,57.91 ± 1.15 / 41.58 ± 1.48@@57.90579846327418,51.26 ± 1.60 / 74.77 ± 1.30@@51.25534451977458,76.14 ± 0.59 / 56.89 ± 0.58@@76.1354219002352,75.47 ± 0.15 / 33.77 ± 0.38@@75.47336701696622,57.95 ± 1.06 / 68.40 ± 0.80@@57.95173371607672,66.95 ± 1.67 / 74.65 ± 1.36@@66.9468826631469,15.7.0.dev0@@150700,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.70@@1.70,70553706496.0,128256.0,8192.0,✓,✗,90.12 ± 1.00 / 94.90 ± 0.55@@90.11683264766506,66.69 ± 1.81 / 50.93 ± 2.99@@66.69471601129315,58.64 ± 1.06 / 79.12 ± 0.61@@58.63662354047159,75.17 ± 0.62 / 51.32 ± 1.12@@75.16991355321163,65.59 ± 0.38 / 17.32 ± 0.44@@65.59111328184372,62.52 ± 1.04 / 71.84 ± 0.78@@62.52110885078665,64.47 ± 1.41 / 72.97 ± 1.10@@64.47057841578359,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.73@@1.73,,256128.0,2097152.0,✓,✗,91.88 ± 1.38 / 95.86 ± 0.74@@91.88334125240789,55.91 ± 3.31 / 46.13 ± 2.24@@55.90628988840024,52.58 ± 2.38 / 75.56 ± 1.18@@52.57537144728893,74.45 ± 0.70 / 51.81 ± 1.37@@74.45159225158984,65.35 ± 0.14 / 14.81 ± 0.24@@65.35202134633437,74.64 ± 1.63 / 81.02 ± 1.22@@74.6356697995067,68.57 ± 2.33 / 75.90 ± 1.83@@68.56547602184557,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.74@@1.74,,256128.0,1048576.0,✓,✗,91.32 ± 1.42 / 95.64 ± 0.72@@91.32103957692912,54.92 ± 2.56 / 37.37 ± 2.30@@54.9170906998892,57.23 ± 3.01 / 78.47 ± 1.57@@57.22981890140233,73.11 ± 0.93 / 46.15 ± 1.49@@73.109171648215,65.36 ± 0.09 / 14.70 ± 0.19@@65.35643743816763,68.83 ± 2.67 / 76.72 ± 1.98@@68.82741482748138,67.86 ± 2.72 / 75.98 ± 2.03@@67.8550748519462,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.74@@1.74,,256128.0,1048576.0,✓,✗,91.96 ± 0.98 / 95.96 ± 0.49@@91.96148804931967,61.19 ± 3.05 / 50.79 ± 2.37@@61.187206976361885,41.39 ± 3.52 / 67.50 ± 1.90@@41.39188059134643,76.57 ± 0.91 / 52.42 ± 1.30@@76.56540293918378,65.39 ± 0.11 / 14.95 ± 0.21@@65.38976004580036,75.69 ± 1.39 / 81.72 ± 1.06@@75.69494563134279,66.55 ± 1.77 / 74.53 ± 1.37@@66.54679101237681,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.75@@1.75,23572403200.0,131072.0,32768.0,✓,✗,90.71 ± 0.72 / 95.27 ± 0.39@@90.70885412674113,67.37 ± 1.19 / 45.53 ± 2.83@@67.37311240063546,37.67 ± 2.45 / 58.39 ± 2.65@@37.67338409705664,78.89 ± 0.45 / 60.96 ± 0.56@@78.89200074820626,65.64 ± 0.15 / 15.68 ± 0.26@@65.64133031191886,58.39 ± 0.92 / 68.65 ± 0.69@@58.39020214061102,79.04 ± 1.17 / 84.26 ± 0.88@@79.04424575323252,15.7.0.dev0@@150700,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
