model,rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_mcc,angry_tweets_macro_f1,dansk_micro_f1_no_misc,dansk_micro_f1,scala_da_mcc,scala_da_macro_f1,scandiqa_da_f1,scandiqa_da_em,swerec_mcc,swerec_macro_f1,suc3_micro_f1_no_misc,suc3_micro_f1,scala_sv_mcc,scala_sv_macro_f1,scandiqa_sv_f1,scandiqa_sv_em,norec_mcc,norec_macro_f1,norne_nb_micro_f1_no_misc,norne_nb_micro_f1,norne_nn_micro_f1_no_misc,norne_nn_micro_f1,scala_nb_mcc,scala_nb_macro_f1,scala_nn_mcc,scala_nn_macro_f1,norquad_f1,norquad_em,hotter_and_colder_sentiment_mcc,hotter_and_colder_sentiment_macro_f1,mim_gold_ner_micro_f1_no_misc,mim_gold_ner_micro_f1,scala_is_mcc,scala_is_macro_f1,nqii_f1,nqii_em,fosent_mcc,fosent_macro_f1,fone_micro_f1_no_misc,fone_micro_f1,scala_fo_mcc,scala_fo_macro_f1,foqa_f1,foqa_em,dutch_social_mcc,dutch_social_macro_f1,conll_nl_micro_f1_no_misc,conll_nl_micro_f1,scala_nl_mcc,scala_nl_macro_f1,squad_nl_f1,squad_nl_em,sb10k_mcc,sb10k_macro_f1,germeval_micro_f1_no_misc,germeval_micro_f1,scala_de_mcc,scala_de_macro_f1,germanquad_f1,germanquad_em,sst5_mcc,sst5_macro_f1,conll_en_micro_f1_no_misc,conll_en_micro_f1,scala_en_mcc,scala_en_macro_f1,squad_f1,squad_em,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,sst5_version,conll_en_version,scala_en_version,squad_version
ZurichNLP/unsup-simcse-xlm-roberta-base,2.4,278.0,250.0,512,34520.24,True,False,45.07,63.33,65.1,61.96,26.83,60.41,35.05,29.92,71.12,60.88,75.49,74.57,36.69,65.77,38.9,33.55,49.62,62.56,86.56,87.3,80.57,83.03,38.45,67.14,11.38,51.68,47.61,31.5,46.33,62.8,75.27,76.85,3.47,47.14,32.31,7.67,21.2,43.97,84.14,84.82,1.33,48.85,22.95,14.2,22.67,44.07,78.45,83.5,54.92,76.14,40.85,31.82,58.23,72.0,74.5,74.21,34.74,64.18,26.81,11.19,51.46,51.2,85.88,86.21,35.83,65.86,55.52,43.26,12.6.1,12.6.1,12.6.1,0.0.0,12.6.1,12.6.1,12.6.1,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,12.6.1,12.6.1,12.6.1,12.6.1
meta-llama/Meta-Llama-3-8B (few-shot),2.46,8030.0,128.0,8192,1334.83,True,False,51.16,67.0,49.46,32.11,23.01,49.99,56.13,49.75,80.91,78.09,59.92,40.98,26.39,52.38,54.3,47.69,32.94,37.52,61.48,47.65,61.58,50.1,21.2,52.29,19.65,56.66,74.98,53.35,34.68,53.39,50.45,37.62,8.69,44.84,59.26,31.94,19.4,32.14,61.11,58.55,2.02,39.88,71.74,50.34,10.45,33.45,62.26,42.41,30.3,62.28,73.73,62.99,56.4,70.17,56.0,43.49,22.01,56.97,64.61,35.39,64.3,69.26,66.31,58.68,28.18,58.97,82.95,70.38,14.1.2,14.0.3,14.1.2,14.0.3,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.1.2,14.0.1,14.1.2,14.0.1,14.1.2,12.6.1,12.6.1,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.46,8020.0,131.0,32768,1302.27,True,False,49.18,65.27,55.49,34.11,7.4,35.19,64.99,57.72,73.32,75.58,54.76,31.21,16.17,42.93,65.27,57.94,31.41,33.56,67.24,45.38,66.08,47.58,28.72,58.62,20.55,54.24,68.91,40.6,24.43,39.27,47.1,22.63,7.19,44.62,54.38,28.73,29.49,47.06,65.55,51.57,2.05,35.92,65.78,47.72,11.91,34.21,66.51,52.4,34.46,65.61,72.56,59.23,50.39,66.39,60.5,40.72,30.86,53.78,58.26,30.53,63.46,69.49,72.4,65.83,35.86,65.2,83.97,68.42,14.0.3,14.0.3,14.0.3,14.0.3,14.0.4,14.0.4,14.0.4,14.0.4,14.1.2,14.1.2,14.1.2,14.1.2,14.1.2,14.1.2,14.0.0,14.0.0,14.0.0,14.0.0,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,13.0.0,13.0.0,13.0.0,14.1.2,14.1.2,14.1.2,14.1.2,13.0.0,13.0.0,13.0.0,13.0.0
CohereForAI/aya-expanse-8b (few-shot),2.48,8028.0,256.0,8192,1017.6,False,False,52.0,66.25,51.32,25.54,18.48,52.18,62.08,52.43,78.43,74.54,57.38,29.69,14.52,45.18,63.0,53.14,38.61,51.46,66.55,39.28,63.63,37.25,15.8,51.42,12.3,51.96,71.49,43.26,19.83,41.64,28.98,21.75,4.93,49.69,54.41,24.72,28.57,50.22,64.72,47.25,5.12,51.09,56.89,38.83,13.7,34.9,62.07,37.68,35.14,66.66,68.82,49.15,55.39,69.86,61.29,39.58,33.31,64.35,57.68,22.29,68.67,66.23,67.33,53.0,31.18,65.23,84.26,68.33,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,13.0.0,13.0.0,13.0.0,14.0.4,13.0.0,13.0.0,13.0.0,14.0.4,14.0.4,14.0.4,14.0.4
cardiffnlp/twitter-xlm-roberta-base,2.49,278.0,250.0,512,34475.2,True,False,45.3,63.22,70.1,64.54,51.74,74.31,27.76,22.01,70.69,67.03,72.49,67.03,56.6,76.7,37.63,31.89,48.34,60.68,87.7,85.32,81.41,77.41,55.3,75.77,37.46,67.68,35.93,24.49,35.62,55.4,72.69,73.57,28.72,60.29,31.01,8.46,5.16,23.12,83.96,84.63,1.05,41.31,0.0,0.0,18.78,37.09,77.15,81.92,56.72,77.53,20.91,14.61,63.01,75.21,74.89,73.54,36.6,64.93,5.05,0.65,55.4,52.86,87.09,87.25,39.78,67.21,13.47,6.2,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,12.6.1,12.6.1,12.6.1,12.6.1
senseable/WestLake-7B-v2 (few-shot),2.54,7242.0,32.0,32768,5992.97,False,False,49.81,66.32,52.61,33.64,19.64,54.22,57.94,48.03,67.74,71.89,58.9,42.48,16.52,46.3,59.91,49.41,50.6,66.76,64.37,52.81,62.77,51.8,18.09,52.56,12.25,50.79,69.54,38.34,7.92,32.79,56.71,46.71,3.44,50.18,54.79,21.55,20.01,38.23,67.42,60.87,7.02,49.32,7.03,0.65,13.66,39.45,64.25,46.52,28.59,61.24,68.04,49.64,54.44,69.32,64.38,50.26,26.03,61.88,62.48,25.68,67.78,72.29,70.62,58.92,30.99,62.2,76.72,49.56,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
ibm-granite/granite-3.0-8b-instruct (few-shot),2.57,8171.0,49.0,4096,1118.16,True,False,49.31,66.02,44.92,32.65,10.14,44.99,63.24,57.34,76.78,78.27,44.94,35.67,16.96,55.03,63.13,56.83,51.36,66.19,53.79,46.58,56.13,47.13,6.83,38.36,8.09,41.05,73.03,48.01,9.95,30.2,42.67,35.4,1.11,34.61,49.58,22.25,28.33,49.72,59.96,58.61,2.24,41.32,57.16,39.52,13.37,36.94,53.62,40.51,23.47,60.17,72.98,61.2,55.48,69.91,54.68,46.36,26.89,62.51,62.3,31.27,68.03,69.65,66.17,57.76,39.76,69.54,84.07,71.21,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.4,14.0.4,14.0.4,14.0.4
mistralai/Mistral-7B-v0.1 (few-shot),2.58,7242.0,32.0,4096,1445.59,True,False,43.16,54.53,45.42,32.66,8.79,38.38,64.55,59.43,80.0,79.8,53.34,40.48,4.61,34.51,64.65,58.99,47.25,64.53,52.0,43.55,55.12,45.34,8.66,38.87,6.8,39.72,70.86,46.86,24.38,44.65,50.69,41.9,1.46,38.73,51.14,27.11,25.57,44.34,62.63,57.85,2.84,42.62,60.4,44.06,7.94,31.02,58.15,40.78,25.41,61.11,73.16,62.56,54.27,68.13,55.37,44.65,23.12,57.81,59.77,31.89,68.17,70.74,63.4,56.92,30.92,63.79,84.54,73.45,0.0.0,0.0.0,0.0.0,12.5.1,0.0.0,0.0.0,0.0.0,12.5.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.1,14.1.2,14.0.3,14.1.2,14.0.3,14.1.2,9.1.2,9.1.2,13.0.0,9.1.2,9.1.2,9.1.2,12.5.1,9.1.2,9.1.2,9.1.2,12.5.1,9.1.2,9.1.2,9.1.2,12.5.1
mistralai/Mistral-7B-v0.3 (few-shot),2.62,7248.0,33.0,32768,1364.05,True,False,45.92,61.91,43.6,32.17,15.43,46.2,64.43,59.13,79.08,78.81,49.18,39.25,11.06,38.96,64.79,58.98,44.61,62.22,50.56,44.38,52.65,46.48,12.1,43.27,9.3,46.11,68.61,45.15,26.28,46.42,46.73,38.01,1.5,36.24,50.14,25.17,26.73,45.03,61.32,59.28,1.3,45.1,62.38,44.98,7.02,26.4,56.52,41.84,23.41,59.14,72.49,61.9,52.58,67.52,55.41,48.39,24.1,59.47,60.03,31.52,67.29,70.81,61.02,55.65,30.1,62.99,84.31,73.59,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,14.1.2,14.0.3,14.1.2,14.0.3,14.1.2,12.10.4,12.10.4,13.0.0,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.4,12.10.4,12.10.5
utter-project/EuroLLM-9B-Instruct (few-shot),2.62,9152.0,128.0,4096,1483.46,False,False,53.97,68.4,34.0,25.49,32.21,56.97,63.73,57.1,76.02,77.86,40.59,28.19,33.98,57.44,63.97,56.98,52.62,68.1,40.91,33.22,42.91,35.61,9.7,36.58,11.98,39.37,72.71,47.36,9.76,26.68,24.92,23.09,0.15,33.01,54.08,28.18,35.84,48.22,54.79,46.3,0.0,33.26,62.06,41.94,11.95,33.4,43.06,30.5,40.85,68.94,74.62,63.42,56.53,69.48,40.85,34.64,24.74,56.6,67.94,38.2,62.54,68.78,44.81,39.51,28.1,62.46,84.31,71.71,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,14.0.4,14.0.4,14.0.4,14.0.4,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
ibm-granite/granite-3.0-8b-base (few-shot),2.65,8171.0,49.0,4096,973.33,True,False,47.16,64.63,44.58,33.5,19.2,53.44,63.32,58.41,75.92,75.77,44.8,34.91,24.84,59.88,62.01,56.71,53.27,66.73,49.94,46.49,52.17,46.44,17.22,50.42,12.01,47.98,69.52,45.04,-0.29,15.66,37.82,32.97,-0.12,33.78,47.09,21.59,24.35,30.32,61.47,58.6,1.44,34.71,58.9,41.54,8.46,21.3,52.26,42.18,42.42,68.81,63.8,53.11,57.84,71.2,50.47,41.29,22.58,53.17,55.0,27.93,66.89,69.52,55.76,52.69,36.6,67.85,80.25,67.55,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),2.66,7242.0,32.0,32768,2370.41,False,False,48.09,65.4,44.89,29.13,19.06,58.77,60.81,51.56,62.9,70.61,47.92,33.0,19.95,56.49,61.42,52.51,38.79,53.72,53.42,42.63,54.34,41.06,17.06,56.51,11.0,53.26,64.27,35.74,17.64,40.55,34.8,24.03,5.46,51.42,45.06,12.66,32.07,51.69,61.28,54.02,1.68,50.06,59.78,39.0,12.37,37.37,55.56,39.56,21.5,59.1,66.54,50.77,47.69,64.93,55.1,41.89,24.14,60.83,57.64,23.93,59.91,68.92,62.11,52.36,30.66,64.32,77.85,58.27,9.2.0,9.2.0,9.3.1,12.4.0,9.2.0,9.2.0,9.3.1,12.4.0,9.2.0,9.2.0,9.2.0,9.3.1,9.3.1,12.4.0,14.0.3,14.0.3,14.0.3,14.0.3,13.3.0,9.2.0,9.3.1,13.0.0,9.2.0,9.3.1,9.3.1,12.4.0,12.9.0,12.9.0,12.9.0,12.9.0,9.2.0,9.3.1,9.3.1,12.4.0
CohereForAI/aya-23-8B (few-shot),2.66,8028.0,256.0,8192,1121.33,False,False,47.16,63.47,47.08,32.34,8.41,37.31,63.96,58.83,76.21,67.87,60.04,43.93,7.54,35.42,63.65,58.6,35.73,50.42,60.94,53.33,59.61,50.84,6.18,35.4,4.0,36.17,71.95,46.52,0.33,15.64,47.16,38.6,3.84,40.06,48.25,21.75,17.34,37.16,62.22,58.79,0.01,37.74,54.7,38.7,7.9,24.82,60.81,46.59,31.12,64.29,74.6,63.0,47.79,64.03,58.69,45.79,30.04,62.58,66.01,36.36,68.27,60.37,56.16,51.12,23.82,60.83,85.11,74.23,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,14.0.4,14.1.2,14.0.4
microsoft/xlm-align-base,2.7,278.0,250.0,512,14744.17,True,False,47.83,65.49,70.36,65.91,11.87,48.82,35.11,29.87,73.67,68.61,78.6,73.04,15.41,53.29,37.13,32.41,54.46,68.25,90.07,87.56,85.65,82.4,12.16,50.55,8.99,48.57,64.35,49.24,38.76,56.09,78.01,79.2,5.92,46.95,43.32,10.47,2.54,19.42,85.97,86.52,0.02,44.65,1.0,0.72,11.8,33.49,78.85,83.35,14.56,53.64,51.94,42.08,58.58,72.09,79.38,79.33,15.34,52.99,32.33,16.58,11.09,33.19,88.62,88.44,8.46,51.98,62.02,49.64,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1
Twitter/twhin-bert-base,2.76,279.0,250.0,512,11513.72,True,False,42.17,61.25,60.01,56.13,29.43,62.08,34.82,29.79,66.62,61.9,70.17,64.19,46.72,72.15,35.79,31.38,37.02,47.88,84.11,81.35,77.22,73.67,35.42,66.3,6.87,50.7,36.16,25.98,40.22,58.56,70.38,72.0,11.09,51.6,30.52,7.67,3.05,27.7,84.0,84.83,1.94,46.27,0.02,0.02,9.53,32.06,74.03,80.59,39.12,68.36,12.9,7.71,55.03,69.65,70.35,69.09,43.87,69.71,10.15,2.81,41.09,48.17,87.77,87.83,32.26,61.2,44.98,35.15,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
ibm-granite/granite-8b-code-base-4k (few-shot),2.76,8055.0,49.0,4096,2312.61,True,False,39.07,56.85,48.44,36.99,9.72,46.85,56.54,51.18,74.45,72.26,59.77,45.71,3.97,34.79,56.07,50.18,42.0,59.9,68.4,62.53,65.15,60.39,5.2,36.33,3.32,37.81,60.94,37.51,9.52,29.57,50.89,35.75,0.5,33.77,41.32,17.43,21.19,32.96,66.82,65.84,-0.36,37.57,51.89,36.47,13.81,36.99,63.29,52.18,8.16,44.29,66.29,56.64,49.75,65.93,59.07,51.0,14.71,53.75,56.14,29.45,62.35,67.34,72.76,67.49,21.57,59.22,81.37,69.8,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),2.77,7242.0,32.0,32768,5053.68,True,False,47.82,63.19,42.43,29.3,16.51,52.73,62.2,56.95,80.14,80.19,44.14,29.77,34.23,65.29,62.52,57.07,49.05,63.94,48.97,39.15,51.52,40.17,14.37,47.8,9.96,48.97,68.49,44.07,1.84,23.26,36.47,30.33,2.54,50.66,38.73,18.66,8.97,27.85,58.96,52.2,0.0,33.26,54.89,39.2,8.43,24.23,54.56,37.86,10.99,50.46,66.78,55.91,54.79,68.79,50.66,39.89,20.17,58.67,54.38,27.86,68.41,70.85,59.1,51.31,25.43,60.79,82.99,71.89,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,14.1.2,12.5.3,12.5.3,12.5.3,14.1.2,12.5.3,12.5.3,13.0.0,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
meta-llama/Llama-3.2-3B-Instruct (few-shot),2.77,3213.0,128.0,131073,10423.76,False,False,42.77,54.7,41.12,32.5,11.52,49.37,60.18,51.14,76.98,71.38,43.74,34.37,16.01,51.83,57.83,48.38,44.13,60.09,49.66,39.31,51.98,42.48,0.67,33.81,1.11,33.03,56.91,28.62,10.07,28.32,27.57,22.52,-1.39,34.4,50.74,22.98,32.79,41.82,58.24,47.44,1.77,45.44,64.71,45.13,12.87,37.23,43.66,40.23,17.94,55.88,64.44,47.77,50.52,62.39,55.52,46.18,9.87,42.2,47.02,20.2,66.0,70.47,68.44,56.8,32.04,65.62,75.26,49.54,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.79,278.0,250.0,512,20154.46,True,False,46.39,63.97,61.17,58.41,38.61,67.08,25.77,19.9,71.33,65.44,70.22,63.97,39.6,66.6,24.75,18.65,49.93,62.37,81.26,77.69,74.05,69.84,38.26,66.01,25.17,61.27,0.0,0.0,33.26,52.59,65.15,67.5,1.15,49.6,27.88,9.56,12.97,31.99,80.92,81.63,1.19,43.13,0.0,0.0,21.37,40.62,70.59,78.25,45.86,71.32,10.4,5.2,57.94,71.92,69.45,68.02,21.81,58.13,3.03,0.33,54.92,52.65,84.05,84.48,45.85,71.78,10.53,4.13,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,12.6.1,12.6.1,12.6.1,12.6.1
sentence-transformers/stsb-xlm-r-multilingual,2.8,278.0,250.0,512,15039.9,True,False,42.26,61.41,58.52,55.04,34.8,64.51,25.68,19.6,72.77,68.13,68.94,62.54,40.21,67.11,25.99,20.09,52.16,66.79,80.08,75.93,74.59,70.26,36.3,65.52,14.21,52.78,0.0,0.0,37.79,56.1,66.23,67.76,0.04,45.96,28.66,10.04,18.07,39.76,82.97,83.62,2.93,46.51,0.0,0.0,20.56,39.67,66.85,72.84,35.56,66.0,10.13,5.04,52.85,68.48,67.47,66.34,29.59,60.98,4.35,0.73,57.35,54.82,82.39,83.07,47.29,71.85,10.53,4.29,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.8.0,12.8.0,12.8.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1
"claude-3-5-haiku-20241022 (zero-shot, val)",2.82,,,200000,276.86,True,False,56.46,71.07,59.48,42.21,20.57,49.85,57.7,38.23,59.89,62.05,57.06,38.72,9.3,35.59,58.05,39.97,3.97,32.77,69.39,47.1,62.76,42.75,31.65,54.96,5.86,38.81,66.51,36.65,31.19,43.32,34.99,17.39,-10.68,33.95,46.35,23.65,-3.58,14.94,51.06,30.27,4.1,37.28,72.97,45.29,12.71,30.22,61.15,43.6,35.26,59.55,68.96,41.27,43.73,61.91,55.59,31.16,23.74,45.75,50.29,21.36,31.19,44.96,74.35,63.12,21.76,59.95,74.84,45.7,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),2.82,7242.0,32.0,32768,633.64,False,False,44.49,60.64,37.93,23.54,14.09,42.43,58.78,51.38,73.33,76.19,45.01,27.59,11.59,40.89,59.29,52.12,43.65,60.88,50.08,34.52,51.27,33.37,14.09,44.91,8.28,47.22,63.67,37.23,12.93,30.4,36.04,24.74,-0.36,33.94,42.57,18.06,15.85,36.28,55.42,46.41,1.11,36.79,50.8,33.54,7.91,27.82,52.72,33.51,18.14,55.42,67.15,52.75,47.26,63.48,47.19,33.02,22.32,56.73,54.61,24.36,61.44,69.47,57.58,47.94,34.92,66.67,81.9,65.38,9.3.1,9.3.1,9.3.1,12.4.0,9.3.1,9.3.1,9.3.1,12.4.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,13.3.0,9.3.1,9.3.1,12.4.0,13.3.0,9.3.1,9.3.1,13.0.0,9.3.1,9.3.1,9.3.1,12.4.0,12.9.0,12.9.0,12.9.0,12.9.0,9.3.1,9.3.1,9.3.1,12.4.0
occiglot/occiglot-7b-eu5-instruct (few-shot),2.82,7242.0,32.0,32768,2087.8,False,False,42.31,59.29,40.19,29.73,1.14,33.83,63.95,57.89,71.73,74.97,47.67,36.91,7.9,41.24,64.48,57.78,44.46,62.0,45.5,40.02,45.96,41.28,0.0,33.41,0.0,33.86,74.97,52.19,14.7,36.09,40.71,34.57,0.71,36.9,45.91,20.66,8.21,27.79,60.37,59.38,0.0,33.26,60.55,43.69,7.78,24.33,53.78,41.29,16.23,55.09,73.88,63.09,43.16,57.79,52.63,42.99,27.09,60.29,63.29,34.01,62.1,68.81,56.9,51.16,20.17,54.76,86.48,75.29,12.2.0,12.5.2,12.3.1,12.4.0,12.2.0,12.5.2,12.3.1,12.4.0,12.2.0,12.5.2,12.5.2,12.3.1,12.3.1,12.4.0,13.3.0,12.5.2,12.3.1,12.4.0,13.3.0,12.5.2,12.3.1,13.0.0,12.2.0,12.5.2,12.3.1,12.4.0,12.2.0,12.5.2,12.3.1,12.4.0,12.2.0,12.5.2,12.3.1,12.4.0
Twitter/twhin-bert-large,2.84,561.0,250.0,512,9706.97,True,False,39.36,58.64,66.39,62.24,7.06,49.71,38.42,33.88,63.35,60.33,74.26,68.2,16.07,52.48,41.72,36.77,34.17,43.74,86.26,83.48,80.1,76.17,12.11,50.33,4.28,45.75,16.38,11.74,32.07,50.25,71.48,73.71,2.2,43.42,33.02,8.19,-0.64,22.47,84.73,85.19,1.37,39.78,5.74,4.15,6.55,28.68,77.35,82.5,18.25,54.0,36.84,28.37,53.52,68.49,74.36,73.61,22.26,58.51,22.54,11.68,45.98,49.81,89.5,89.39,30.58,61.93,59.47,48.44,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,12.6.1,12.6.1,12.6.1,12.6.1
