model,rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_mcc,angry_tweets_macro_f1,dansk_micro_f1_no_misc,dansk_micro_f1,scala_da_mcc,scala_da_macro_f1,scandiqa_da_f1,scandiqa_da_em,swerec_mcc,swerec_macro_f1,suc3_micro_f1_no_misc,suc3_micro_f1,scala_sv_mcc,scala_sv_macro_f1,scandiqa_sv_f1,scandiqa_sv_em,norec_mcc,norec_macro_f1,norne_nb_micro_f1_no_misc,norne_nb_micro_f1,norne_nn_micro_f1_no_misc,norne_nn_micro_f1,scala_nb_mcc,scala_nb_macro_f1,scala_nn_mcc,scala_nn_macro_f1,norquad_f1,norquad_em,hotter_and_colder_sentiment_mcc,hotter_and_colder_sentiment_macro_f1,mim_gold_ner_micro_f1_no_misc,mim_gold_ner_micro_f1,scala_is_mcc,scala_is_macro_f1,nqii_f1,nqii_em,fosent_mcc,fosent_macro_f1,fone_micro_f1_no_misc,fone_micro_f1,scala_fo_mcc,scala_fo_macro_f1,foqa_f1,foqa_em,dutch_social_mcc,dutch_social_macro_f1,conll_nl_micro_f1_no_misc,conll_nl_micro_f1,scala_nl_mcc,scala_nl_macro_f1,squad_nl_f1,squad_nl_em,sb10k_mcc,sb10k_macro_f1,germeval_micro_f1_no_misc,germeval_micro_f1,scala_de_mcc,scala_de_macro_f1,germanquad_f1,germanquad_em,sst5_mcc,sst5_macro_f1,conll_en_micro_f1_no_misc,conll_en_micro_f1,scala_en_mcc,scala_en_macro_f1,squad_f1,squad_em,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,sst5_version,conll_en_version,scala_en_version,squad_version
intfloat/multilingual-e5-large-instruct,1.87,560.0,250.0,514,5947.27,True,False,55.45,69.74,69.86,65.3,31.14,63.23,52.75,45.51,79.48,77.47,79.5,77.37,53.01,75.97,53.19,45.68,63.35,74.2,89.27,90.42,83.78,86.17,55.71,77.0,12.32,53.74,58.52,38.74,50.1,64.91,78.32,79.7,8.11,50.71,53.59,13.93,23.63,44.37,88.64,89.11,2.05,47.88,37.6,24.09,27.19,45.37,83.68,87.38,51.8,75.02,58.7,46.07,65.72,76.73,79.77,78.93,49.82,73.61,55.35,28.42,66.42,64.56,91.43,91.15,53.05,75.49,74.85,61.34,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
FacebookAI/xlm-roberta-large,1.98,560.0,250.0,512,17896.69,True,False,48.33,63.94,72.74,67.15,57.3,76.82,49.29,43.57,76.63,74.25,80.33,75.03,49.72,69.94,52.21,46.64,50.25,63.55,91.66,89.34,86.19,82.86,55.51,74.0,43.89,68.88,72.69,57.57,48.41,64.09,82.83,83.16,22.78,57.07,55.29,15.72,5.14,22.03,87.85,88.21,1.17,40.94,39.88,27.72,8.82,30.82,83.49,86.12,64.8,80.93,61.66,50.72,63.02,75.25,80.64,80.03,54.83,76.02,55.68,29.09,41.97,50.33,89.81,89.25,35.55,63.79,79.18,68.88,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.06,,200.0,8191,908.12,True,False,49.73,65.95,57.52,35.79,57.56,77.16,64.34,51.79,73.55,71.66,52.47,29.74,52.27,71.55,61.75,48.95,39.82,37.7,60.43,37.82,55.59,32.2,54.84,74.79,33.8,62.11,70.12,36.55,50.02,65.44,31.11,14.28,35.85,66.14,49.25,26.93,35.05,34.41,53.92,28.59,23.12,60.2,76.6,54.99,12.67,18.63,64.15,38.77,62.44,80.58,70.43,45.65,52.66,68.1,59.19,30.16,46.66,72.82,51.63,26.02,61.65,71.46,75.8,52.95,47.74,73.28,79.9,56.98,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1
"gpt-4-1106-preview (zero-shot, val)",2.1,,100.0,8191,436.04,True,False,53.69,67.91,35.79,25.86,62.98,81.27,64.87,51.96,73.54,68.68,51.31,43.84,66.39,82.1,63.21,52.22,39.62,38.68,60.16,49.38,48.74,40.98,71.38,85.52,42.94,71.26,69.46,36.04,47.47,63.45,30.39,25.88,43.3,71.54,51.48,29.82,13.18,19.41,57.52,36.36,28.03,62.26,76.65,59.06,11.13,18.38,55.72,40.53,67.28,83.06,72.73,54.2,58.67,71.2,57.47,36.29,54.55,75.08,53.97,27.02,65.24,72.51,42.4,34.09,44.59,71.93,82.84,62.94,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
intfloat/multilingual-e5-base,2.14,278.0,250.0,512,14965.0,True,False,49.88,66.06,68.7,64.05,44.2,70.33,45.91,39.9,76.06,69.85,79.02,77.59,50.19,74.23,46.62,40.65,54.61,67.19,88.26,89.24,81.37,83.89,50.35,73.06,22.15,58.2,45.47,31.77,42.08,59.9,75.46,77.52,15.21,54.4,43.65,10.82,10.97,30.74,87.44,88.01,7.38,47.69,22.12,14.8,27.67,44.9,79.12,83.05,39.28,67.9,46.63,35.71,63.29,75.42,74.79,75.1,45.32,71.3,34.46,16.42,61.46,60.48,89.65,89.71,51.32,74.21,63.05,50.78,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
AI-Sweden-Models/roberta-large-1160k,2.22,355.0,50.0,512,14014.08,True,False,51.2,66.62,74.16,70.93,73.87,86.61,55.06,49.34,77.25,73.96,82.65,80.43,77.9,88.63,55.64,49.64,60.11,70.55,92.01,92.36,87.17,88.75,72.85,85.73,65.56,82.23,75.42,60.38,38.53,56.94,74.3,76.1,2.06,37.04,48.11,11.47,6.42,24.34,88.24,88.48,1.73,42.32,47.03,35.08,3.5,27.25,70.92,78.52,2.06,41.06,51.93,41.4,46.81,64.02,68.93,67.48,3.39,39.29,34.87,18.62,53.9,54.63,89.53,89.37,55.31,76.38,80.82,69.89,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,13.3.0,10.0.1,10.0.1,10.0.1,13.3.0,10.0.1,10.0.1,13.0.0,10.0.1,10.0.1,10.0.1,10.0.1,12.10.0,12.10.0,12.10.0,12.10.0,10.0.1,10.0.1,10.0.1,10.0.1
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.26,8030.0,128.0,8192,1007.12,True,False,48.43,62.09,57.74,40.66,27.12,60.4,59.77,46.76,59.93,67.54,69.67,52.94,27.63,60.85,60.85,49.84,34.44,37.94,74.47,65.57,72.93,65.44,27.77,61.75,20.35,57.74,69.9,42.9,38.09,54.51,60.2,40.38,9.14,49.56,58.93,28.66,45.78,47.72,70.61,68.27,4.58,36.78,72.73,50.67,14.67,41.36,68.72,54.89,32.91,64.93,67.5,45.36,58.33,69.31,68.18,57.72,29.12,63.6,56.42,28.68,67.64,71.04,75.02,69.47,32.29,64.85,79.1,54.84,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.4,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.4,14.0.4,14.0.4,14.0.4,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.3,8030.0,128.0,131072,1005.15,True,False,54.81,67.88,54.7,38.11,32.11,63.11,59.47,48.87,79.23,76.86,55.8,34.65,32.67,63.89,58.66,46.88,35.16,38.11,74.77,71.87,72.8,69.98,5.23,34.9,11.51,45.73,70.96,43.93,39.91,57.39,46.48,24.57,11.72,51.67,53.39,25.91,48.54,49.17,67.67,59.86,3.89,36.33,69.5,47.07,9.09,20.14,69.76,57.66,37.58,66.98,65.63,41.26,58.07,70.76,67.61,60.39,28.25,59.54,55.82,28.79,68.12,72.48,76.95,72.47,34.34,65.84,76.21,47.88,14.0.3,14.0.3,14.0.3,14.0.3,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1,14.0.1,14.0.1,14.0.1,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,13.0.0,13.0.0,13.0.0,14.0.4,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Nexusflow/Starling-LM-7B-beta (few-shot),2.38,7242.0,32.0,4096,1628.91,False,False,51.97,68.62,51.94,27.59,29.99,60.05,52.38,38.99,77.51,76.88,56.28,28.71,23.25,50.0,59.76,47.09,55.48,69.68,66.22,48.98,64.14,49.59,26.13,56.08,17.32,54.57,77.08,49.75,27.93,48.93,42.23,25.96,6.38,49.63,53.87,19.39,26.68,47.94,62.2,45.92,7.07,44.94,31.8,11.97,15.11,40.18,62.86,33.76,39.11,68.0,59.22,36.48,51.41,67.67,61.39,36.14,35.43,66.88,57.7,19.96,70.12,74.54,72.77,57.29,44.68,71.05,80.36,57.17,14.0.3,14.0.3,14.0.3,14.0.3,14.0.4,14.0.4,14.0.4,14.0.4,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
meta-llama/Llama-3.1-8B (few-shot),2.4,8030.0,128.0,131072,2986.18,True,False,47.86,62.47,50.92,34.24,29.19,59.61,55.27,48.38,80.31,76.5,62.19,43.29,30.29,56.52,49.56,42.78,34.02,37.19,65.17,52.91,60.22,50.51,32.48,63.48,18.38,49.87,58.56,33.06,41.29,59.3,52.97,38.17,5.95,40.86,60.26,31.99,24.3,35.85,65.65,63.81,0.61,35.51,65.74,45.01,11.95,37.12,64.79,45.48,32.97,58.52,74.73,63.89,53.39,65.74,60.46,47.72,26.25,61.41,64.05,34.85,66.76,68.58,69.86,62.68,30.96,61.29,84.24,71.39,14.1.2,14.0.3,14.1.2,14.0.3,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.1.2,14.1.2,14.1.2,14.1.2,14.1.2,14.1.2,14.0.0,14.1.2,14.0.0,14.1.2,14.0.4,14.1.2,14.0.4,12.11.0,12.11.0,12.11.0,13.0.0,14.1.2,12.11.0,12.11.0,13.0.0,12.11.0,12.11.0,12.11.0,13.0.0
