model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
Qwen/Qwen1.5-4B-Chat (few-shot),2.19,2.4,3950.0,152.0,32768,4347.23,False,False,59.62,68.55,58.56,54.14,28.55,60.49,82.09,70.04,67.27,19.77,38.68,53.45,47.47,60.44,10.0.1,12.5.2,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,9.3.2
Qwen/Qwen1.5-4B (few-shot),2.19,2.25,3950.0,152.0,32768,3247.86,True,False,60.55,68.53,55.45,49.72,28.6,60.31,82.68,70.49,68.67,21.65,39.82,54.62,51.82,63.79,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
distilbert/distilbert-base-cased,2.2,999.0,66.0,29.0,512,19666.95,True,False,50.94,53.6,84.75,84.65,53.47,75.7,35.6,24.93,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),2.21,2.34,7242.0,32.0,32768,2370.41,False,False,59.91,68.92,62.11,52.36,30.66,64.32,77.85,58.27,69.75,24.71,34.93,50.71,44.91,58.07,9.2.0,9.3.1,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,14.0.3
google/gemma-2-2b-it (few-shot),2.21,2.3,2614.0,256.0,8193,5373.87,True,False,66.37,67.64,44.36,38.51,34.69,67.16,78.88,55.07,68.09,23.58,42.89,57.03,45.52,58.39,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ZurichNLP/unsup-simcse-xlm-roberta-base,2.21,999.0,278.0,250.0,512,34520.24,True,False,51.46,51.2,85.88,86.21,35.83,65.86,55.52,43.26,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
danish-foundation-models/munin-7b-v0.1dev0 (few-shot),2.21,2.55,7242.0,32.0,8192,6112.86,True,False,66.04,65.21,56.38,50.8,22.15,57.71,83.7,71.32,68.13,23.08,35.47,50.47,29.25,44.01,12.5.0,12.5.2,12.5.0,12.5.0,12.5.0,12.5.0,12.5.0,12.5.0
microsoft/Phi-3-mini-128k-instruct (few-shot),2.22,1.71,3821.0,32.0,131072,7311.73,True,False,46.77,60.99,64.09,49.92,31.62,63.73,85.72,71.25,69.54,24.79,57.66,68.22,72.26,79.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0
occiglot/occiglot-7b-eu5-instruct (few-shot),2.22,2.48,7242.0,32.0,32768,2087.8,False,False,62.1,68.81,56.9,51.16,20.17,54.76,86.48,75.29,69.63,25.61,38.48,53.32,27.67,43.61,12.2.0,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.3.1
meta-llama/Llama-2-7b-chat-hf (few-shot),2.24,2.56,6738.0,32.0,4096,2643.05,False,False,62.23,68.09,62.53,53.42,22.71,60.79,80.79,64.45,69.95,25.22,30.47,46.82,30.18,45.85,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1
Twitter/twhin-bert-large,2.24,999.0,562.0,250.0,512,9706.97,True,False,45.98,49.81,89.5,89.39,30.58,61.93,59.47,48.44,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
meta-llama/Llama-2-7b-hf (few-shot),2.25,2.86,6738.0,32.0,4096,930.05,True,False,65.16,66.86,55.27,50.25,20.43,55.98,81.43,69.82,68.82,23.58,25.98,42.52,11.77,31.25,9.2.0,9.2.0,9.2.0,12.5.1,12.0.0,9.2.0,9.2.0,12.9.0
utter-project/EuroLLM-9B-Instruct (few-shot),2.27,2.21,9152.0,128.0,4096,5762.51,False,False,62.54,68.78,44.81,39.51,28.1,62.46,84.31,71.71,69.27,25.38,45.95,59.04,43.97,56.43,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
occiglot/occiglot-7b-eu5 (few-shot),2.31,2.62,7242.0,32.0,32768,2219.46,True,False,63.32,68.5,55.37,51.08,18.92,57.96,83.46,72.38,68.61,23.48,37.04,52.33,23.54,40.78,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.2.0,12.2.0,12.2.0
meta-llama/Llama-3.2-3B (few-shot),2.34,2.65,3213.0,128.0,131073,3713.14,True,False,63.29,67.82,59.09,52.03,13.5,50.33,81.12,68.15,67.73,22.02,40.1,54.53,20.88,39.75,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),2.35,2.55,3374.0,49.0,4096,10246.27,True,False,65.92,70.47,52.79,43.45,16.74,55.45,80.88,64.92,65.5,21.9,33.84,50.07,49.84,61.87,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Rijgersberg/GEITje-7B (few-shot),2.41,2.79,7242.0,32.0,32768,5886.57,True,False,65.21,65.73,53.39,47.76,12.63,50.1,77.95,65.74,68.05,24.11,31.65,47.19,17.69,35.94,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.10.0
ibm-granite/granite-3b-code-base-2k (few-shot),2.41,3.54,3483.0,49.0,2048,2731.51,True,False,61.2,61.92,60.64,55.14,7.63,46.39,80.15,69.83,56.62,13.8,16.29,36.25,10.37,32.6,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),2.42,2.85,1711.0,49.0,8192,15970.88,True,False,66.78,61.52,47.58,39.52,20.53,58.47,69.96,58.07,62.45,19.6,32.9,49.16,25.32,42.5,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
microsoft/phi-2 (few-shot),2.47,2.61,2780.0,51.0,2048,3471.87,True,False,62.41,67.24,49.16,43.1,12.31,48.73,86.4,75.79,67.79,23.29,40.15,54.65,23.21,39.96,12.2.0,12.5.2,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0
MaLA-LM/emma-500-llama2-7b (few-shot),2.48,3.13,6738.0,32.0,4096,6275.17,True,False,64.82,67.11,47.2,44.0,7.57,45.83,83.56,73.88,67.34,21.61,16.59,35.35,11.97,32.72,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-7b-instruct (few-shot),2.48,2.35,6738.0,32.0,4096,3136.16,True,False,65.98,64.68,53.21,45.68,7.26,52.39,79.37,64.71,68.81,24.11,36.5,52.05,46.95,59.9,13.0.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
sentence-transformers/stsb-xlm-r-multilingual,2.48,999.0,278.0,250.0,512,15039.9,True,False,57.35,54.82,82.39,83.07,47.29,71.85,10.53,4.29,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.48,999.0,278.0,250.0,512,20154.46,True,False,54.92,52.65,84.05,84.48,45.85,71.78,10.53,4.13,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
Twitter/twhin-bert-base,2.49,999.0,279.0,250.0,512,11513.72,True,False,41.09,48.17,87.77,87.83,32.26,61.2,44.98,35.15,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
cardiffnlp/twitter-xlm-roberta-base,2.49,999.0,278.0,250.0,512,34475.2,True,False,55.4,52.86,87.09,87.25,39.78,67.21,13.47,6.2,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
distilbert/distilbert-base-multilingual-cased,2.49,999.0,135.0,120.0,512,26354.74,True,False,36.48,45.07,87.7,87.67,40.79,68.71,40.37,29.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3b-code-instruct-2k (few-shot),2.49,3.16,3483.0,49.0,2048,9058.91,True,False,59.01,62.37,58.3,53.45,10.33,53.28,75.93,65.04,67.46,23.04,14.1,34.24,10.67,32.66,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-3b-a800m-base (few-shot),2.5,2.42,3374.0,49.0,4096,10504.04,True,False,66.65,65.72,49.44,39.69,12.56,54.2,75.62,63.29,66.38,21.17,32.06,49.12,58.21,68.63,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
stabilityai/stablelm-2-1_6b (few-shot),2.51,2.5,1645.0,100.0,4096,7258.53,True,False,64.69,57.6,47.5,41.85,8.01,51.78,80.9,71.81,69.71,27.72,18.92,38.74,54.53,65.79,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8
ibm-granite/granite-7b-base (few-shot),2.52,2.9,6738.0,32.0,2048,4405.37,True,False,66.41,65.96,47.76,44.84,5.76,50.36,81.54,70.34,65.88,19.75,29.83,47.45,18.44,36.96,12.10.5,12.10.5,12.10.5,12.10.5,12.10.8,12.10.8,12.10.8,12.10.8
allenai/OLMo-1.7-7B-hf (few-shot),2.54,2.59,6888.0,50.0,4096,3371.43,True,False,66.43,57.25,41.02,40.03,5.17,37.03,85.31,76.04,70.28,28.85,34.92,50.82,18.73,34.76,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),2.57,3.37,1335.0,49.0,4096,7964.03,True,False,63.47,60.77,46.26,40.49,13.17,54.31,72.97,59.32,66.43,20.68,9.68,31.43,4.99,26.87,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),2.58,3.3,20918.0,64.0,2048,1830.86,True,False,65.58,57.86,39.21,34.08,7.82,51.19,83.08,72.25,64.07,19.27,14.98,36.11,13.55,34.03,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.7.0
Geotrend/distilbert-base-25lang-cased,2.6,999.0,109.0,85.0,512,26098.8,True,False,36.77,45.15,87.08,87.08,37.1,67.2,37.98,26.99,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),2.64,3.45,7800.0,100.0,4096,6196.57,True,False,59.29,65.59,45.89,42.96,9.11,52.02,77.75,66.74,68.17,22.5,0.92,23.0,0.61,25.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/gpt-sw3-20b (few-shot),2.64,4.48,20918.0,64.0,2048,1875.24,True,False,62.08,55.11,45.86,40.23,6.62,48.79,77.71,65.29,43.45,15.14,9.1,30.31,8.35,29.79,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.9.0
"claude-3-5-haiku-20241022 (zero-shot, val)",2.64,2.52,,,200000,276.86,True,False,31.19,44.96,74.35,63.12,21.76,59.95,74.84,45.7,67.96,18.65,28.8,39.84,42.52,53.63,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.1
meta-llama/Llama-3.2-1B-Instruct (few-shot),2.64,2.97,1236.0,128.0,131073,7435.78,False,False,59.46,65.61,56.41,52.05,8.36,49.5,67.95,47.26,66.61,21.06,25.59,43.75,18.56,38.13,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Qwen/Qwen1.5-1.8B (few-shot),2.66,2.8,1837.0,152.0,32768,5665.51,True,False,64.34,62.9,37.22,34.07,15.3,55.67,75.79,64.41,68.15,22.11,27.24,44.95,22.84,41.75,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
google/gemma-2-2b (few-shot),2.73,2.86,2614.0,256.0,8193,5235.32,True,False,66.28,65.6,30.82,27.49,10.09,48.92,78.21,64.96,67.13,21.94,35.14,51.22,11.26,31.4,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
HuggingFaceTB/SmolLM2-1.7B (few-shot),2.74,2.82,1711.0,49.0,8192,16248.88,True,False,62.32,67.09,41.57,37.51,8.04,48.16,67.43,56.01,65.06,20.12,34.02,50.12,22.81,41.37,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
Qwen/Qwen1.5-1.8B-Chat (few-shot),2.79,2.85,1837.0,152.0,32768,8303.55,False,False,55.33,64.53,40.89,37.44,11.23,52.85,74.24,60.69,67.23,18.87,26.84,44.86,23.89,42.78,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,9.3.2
LumiOpen/Viking-13B (few-shot),2.82,3.6,14030.0,131.0,4097,839.52,True,False,59.9,54.05,42.78,40.64,5.68,50.82,68.97,58.52,64.83,18.37,1.63,23.51,0.54,24.93,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
utter-project/EuroLLM-1.7B-Instruct (few-shot),2.85,3.44,1657.0,128.0,4096,15008.58,True,False,58.61,62.78,37.47,32.39,5.3,46.95,74.41,63.26,67.24,21.22,3.93,28.88,1.26,25.56,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
allenai/OLMo-7B (few-shot),2.87,4.28,6888.0,50.0,2051,5402.86,True,False,60.7,66.82,38.23,36.38,-0.19,38.77,73.71,61.93,51.32,11.96,5.0,27.59,1.1,25.71,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
google/gemma-2b (few-shot),2.91,3.17,2506.0,256.0,8192,6087.12,True,False,62.14,67.81,19.65,18.64,8.3,45.01,77.75,66.3,66.51,21.76,20.38,38.44,7.41,29.08,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
NorwAI/NorwAI-Llama2-7B (few-shot),2.94,3.44,7033.0,68.0,4096,4437.75,True,False,63.6,58.5,38.51,38.08,2.23,34.15,59.52,45.44,67.11,21.77,5.02,25.76,2.08,25.95,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
VAGOsolutions/SauerkrautLM-Gemma-2b (few-shot),2.96,3.1,2506.0,256.0,8192,3607.49,False,False,61.91,67.8,23.28,21.81,6.92,44.29,76.6,64.68,65.15,20.15,22.65,41.4,14.54,34.39,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
google/gemma-2b-it (few-shot),2.96,3.12,2506.0,256.0,8192,6470.59,False,False,48.83,60.88,40.05,33.77,5.83,50.74,76.59,63.77,67.28,22.84,18.21,37.61,10.84,31.84,12.1.0,12.5.2,12.1.0,12.4.0,12.4.0,12.1.0,12.1.0,12.1.0
allenai/OLMo-7B-Twin-2T (few-shot),2.96,4.62,6888.0,50.0,2051,5484.4,True,False,56.91,66.15,25.36,24.05,7.1,49.36,70.37,58.6,46.16,11.33,0.71,24.97,0.82,25.62,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
microsoft/xlm-align-base,2.96,999.0,278.0,250.0,512,14744.17,True,False,11.09,33.19,88.62,88.44,8.46,51.98,62.02,49.64,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-1b-a400m-base (few-shot),2.98,3.59,1385.0,49.0,4096,7808.38,True,False,64.13,56.76,29.84,28.13,3.99,43.68,65.95,55.74,64.55,19.04,1.42,26.1,1.42,25.58,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
meta-llama/Llama-3.2-1B (few-shot),2.99,3.66,1236.0,128.0,131073,7577.45,True,False,54.4,64.38,35.08,32.44,2.97,45.05,71.04,58.3,62.19,16.53,7.91,29.3,1.6,26.25,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
NorwAI/NorwAI-Mistral-7B (few-shot),3.01,3.54,7537.0,68.0,4096,3034.67,True,False,56.87,59.62,35.84,35.76,3.08,40.66,66.64,52.77,63.96,19.2,7.42,28.95,2.24,25.72,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
Qwen/Qwen1.5-0.5B-Chat (few-shot),3.09,3.34,620.0,152.0,32768,11740.04,False,False,55.41,54.48,33.86,32.8,1.15,34.47,64.09,53.34,65.81,20.88,11.66,32.84,5.22,27.95,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,9.3.2
sentence-transformers/quora-distilbert-multilingual,3.13,999.0,135.0,120.0,512,26458.45,True,False,50.69,50.9,81.71,82.33,2.16,49.99,11.99,4.19,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
Qwen/Qwen1.5-0.5B (few-shot),3.13,3.22,620.0,152.0,32768,11371.34,True,False,57.15,52.82,37.51,33.24,2.94,44.53,55.17,42.57,65.22,19.22,18.24,37.15,10.89,32.65,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,9.3.2
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.13,999.0,135.0,120.0,512,33753.4,True,False,50.69,50.9,81.71,82.33,2.16,49.99,11.93,4.16,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),3.15,3.91,362.0,49.0,8192,21776.98,True,False,59.51,54.82,30.73,29.47,1.55,43.18,60.0,49.03,57.73,15.68,0.11,23.2,-0.06,24.6,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
allenai/OLMo-1B (few-shot),3.16,4.66,1177.0,50.0,2051,8536.09,True,False,60.05,56.18,26.47,28.27,0.72,42.84,55.59,43.87,46.18,10.06,-0.87,23.08,0.2,24.94,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
EuropeanParliament/EUBERT,3.17,999.0,94.0,66.0,512,20070.41,True,False,17.53,38.67,71.43,71.51,23.93,59.48,42.98,31.01,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
state-spaces/mamba-2.8b-hf (few-shot),3.17,3.8,2768.0,50.0,32769,2721.51,True,False,66.55,58.18,28.63,27.07,1.47,45.89,47.83,35.0,62.05,16.8,-0.41,23.76,-0.04,25.03,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
dbmdz/bert-base-historic-multilingual-cased,3.18,999.0,111.0,32.0,512,20046.97,True,False,12.42,33.8,77.64,79.56,13.65,53.84,45.71,33.29,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,3.19,999.0,118.0,250.0,512,29200.68,True,False,53.1,51.88,77.5,78.82,-0.35,48.74,9.98,3.13,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
HuggingFaceTB/SmolLM2-360M (few-shot),3.25,3.8,362.0,49.0,8192,22023.39,True,False,43.97,55.08,31.14,28.54,3.49,46.52,60.41,47.91,62.2,17.61,0.12,23.0,0.13,24.53,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sentence-transformers/distiluse-base-multilingual-cased-v1,3.53,999.0,135.0,120.0,512,34041.87,True,False,36.75,47.8,71.33,73.43,0.24,47.55,9.37,1.3,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/distiluse-base-multilingual-cased-v2,3.55,999.0,135.0,120.0,512,33246.61,True,False,36.22,45.8,71.9,74.21,0.47,48.67,8.51,2.4,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/distiluse-base-multilingual-cased,3.55,999.0,135.0,120.0,512,19205.51,True,False,36.22,45.8,71.9,74.21,0.47,48.67,8.5,2.44,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
dbmdz/bert-tiny-historic-multilingual-cased,3.74,999.0,5.0,32.0,512,78027.26,True,False,25.85,40.72,65.85,68.72,1.21,50.03,11.02,4.0,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),3.88,3.85,,32.0,4096,10889.7,False,False,21.95,33.38,18.69,18.5,0.01,39.4,50.66,36.51,60.11,16.29,3.71,28.35,0.62,24.68,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),3.9,4.26,135.0,49.0,8192,25602.11,True,False,18.64,28.83,29.96,28.98,1.85,44.03,36.91,26.9,52.96,14.23,1.34,25.67,0.1,24.71,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-135M (few-shot),3.94,4.28,135.0,49.0,8192,26346.08,True,False,26.69,34.46,31.26,30.44,1.78,43.5,22.49,13.88,52.05,12.74,1.51,25.05,-0.76,24.52,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
3ebdola/Dialectal-Arabic-XLM-R-Base,4.05,999.0,278.0,250.0,512,12782.54,True,False,1.92,28.84,68.25,70.44,1.08,47.42,10.0,2.79,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
fresh-xlm-roberta-base,4.52,999.0,278.0,250.0,512,2214.08,True,False,4.0,24.24,34.64,34.41,1.33,42.07,6.18,0.43,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1
fresh-electra-small,4.58,999.0,14.0,31.0,512,7840.02,True,False,0.58,20.82,30.77,30.14,-0.17,37.18,6.16,0.46,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
ai-forever/mGPT (few-shot),4.86,5.25,,100.0,1024,11734.33,True,False,3.71,22.09,1.55,1.45,-0.42,40.58,11.12,5.58,34.62,2.18,0.37,24.18,-0.17,24.82,10.0.1,9.3.1,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,12.10.0
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.87,4.46,7537.0,68.0,4096,3023.95,True,False,-1.48,21.17,12.34,12.41,-0.48,42.45,6.31,0.72,49.61,9.59,-0.12,22.69,-0.01,24.59,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
ssmits/Falcon2-5.5B-multilingual (few-shot),4.98,4.71,5465.0,65.0,8192,7691.9,True,False,0.0,19.61,0.0,0.0,2.48,34.52,0.03,0.01,44.8,0.32,-0.69,22.76,0.37,24.71,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
RJuro/kanelsnegl-v0.1 (few-shot),5.03,3.8,7242.0,32.0,512,5847.39,True,False,0.0,19.61,0.0,0.0,0.41,33.46,3.68,0.0,61.26,6.73,0.0,22.69,0.36,24.6,9.3.1,9.3.1,9.3.1,12.5.1,9.3.1,9.3.1,9.3.1,12.10.0
01-ai/Yi-6B (few-shot),999.0,2.12,6061.0,64.0,4096,6435.34,True,False,,,52.7,48.83,,,85.86,75.89,64.51,18.84,50.89,63.01,68.29,75.9,0.0.0,9.3.2,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,12.10.0
01-ai/Yi-6B-Chat (few-shot),999.0,1.97,6061.0,64.0,4096,2278.2,False,False,65.31,71.3,,,34.49,66.13,84.6,70.9,69.57,23.98,50.8,62.97,59.07,68.83,11.0.0,0.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
