model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
google-bert/bert-large-uncased,1.67,999.0,335.0,31.0,512,4711.0,True,False,57.94,58.5,88.8,87.48,59.27,79.17,63.79,52.38,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
upstage/SOLAR-10.7B-v1.0 (few-shot),1.67,1.49,10732.0,32.0,4096,3780.42,True,False,70.01,59.77,69.5,63.41,41.35,70.11,89.35,76.79,71.16,29.84,51.95,63.78,90.94,93.17,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
AI-Sweden-Models/roberta-large-1350k,1.68,999.0,355.0,50.0,512,5743.56,True,False,51.88,56.03,89.48,89.32,50.69,73.54,80.82,69.46,,,,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),1.7,1.7,12248.0,131.0,1024001,7094.98,True,False,63.05,70.34,75.24,67.78,44.75,71.43,83.88,67.7,70.56,25.57,57.55,68.02,67.97,75.51,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"gpt-3.5-turbo-0613 (few-shot, val)",1.71,1.87,,100.0,4095,920.94,True,False,66.41,68.72,71.48,69.71,41.43,70.34,85.57,67.9,69.57,24.41,43.69,57.38,75.6,81.48,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.3
"gpt-4o-mini-2024-07-18 (zero-shot, val)",1.72,1.59,,200.0,8191,908.12,True,False,61.65,71.46,75.8,52.95,47.74,73.28,79.9,56.98,68.6,20.57,63.18,72.23,77.31,82.54,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3,14.0.3
intfloat/multilingual-e5-base,1.72,999.0,278.0,250.0,512,14965.0,True,False,61.46,60.48,89.65,89.71,51.32,74.21,63.05,50.78,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",1.74,1.3,70554.0,128.0,8192,1672.52,True,False,66.18,72.85,81.3,76.64,38.1,68.58,77.76,53.31,70.35,26.71,72.39,79.3,83.86,87.81,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
VAGOsolutions/FC-SauerkrautLM-7b-beta (few-shot),1.76,1.74,,32.0,8192,2159.73,False,False,69.36,67.37,70.15,60.29,37.09,68.05,89.74,77.39,69.72,25.82,50.1,62.63,77.27,82.91,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
distilbert/distilroberta-base,1.78,999.0,82.0,50.0,512,17448.31,True,False,56.08,57.56,90.04,89.35,54.9,76.59,59.73,49.36,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
