model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,mmlu_no,hellaswag_no,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
fresh-xlm-roberta-base,4.29,999.0,278,250,512,2214.08,True,False,17.37,16.04,1.34,6.64,,,,,51.11,11.91,0.86,7.2,,,,12.6,25.49,25.94,0.5,1.83,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1
HuggingFaceTB/SmolLM2-360M (few-shot),4.31,4.01,362,49,8192,22023.39,True,False,3.61,12.68,1.79,32.48,56.85,-0.03,6.03,0.2,11.52,18.22,1.72,31.25,45.57,0.69,0.68,6.21,26.6,23.7,-0.39,0.21,10.23,48.59,-1.13,-0.51,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sarnikowski/electra-small-discriminator-da-256-cased,4.32,999.0,13,29,512,20339.7,True,False,24.38,60.63,68.58,27.53,,,,,57.93,52.79,14.72,26.37,,,,29.97,73.15,66.34,40.79,25.08,3.62,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/stsb-xlm-r-multilingual,4.33,999.0,278,250,512,15039.9,True,False,42.26,58.52,34.8,25.68,,,,,72.77,68.94,40.21,25.99,,,,52.16,80.08,74.59,36.3,14.21,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4.33,999.0,278,250,512,15099.94,True,False,49.13,61.18,29.66,26.42,,,,,73.47,65.14,36.62,25.0,,,,55.53,81.94,75.56,36.01,14.99,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-gpt-j-6B-v2 (few-shot),4.33,4.41,6051,50,1024,2555.5,False,False,27.8,0.24,0.56,21.33,53.76,-1.83,0.99,-0.48,27.42,0.31,0.07,31.12,27.09,-0.67,0.86,20.84,5.29,6.77,0.45,0.48,22.78,44.23,0.17,-0.49,10.0.1,9.3.1,11.0.0,12.5.1,12.6.1,11.0.0,11.0.0,11.0.0,10.0.1,9.3.1,11.0.0,12.5.1,11.0.0,11.0.0,11.0.0,10.0.1,9.3.1,9.3.1,11.0.0,11.0.0,12.5.1,11.0.0,11.0.0,11.0.0,9.3.1
sentence-transformers/paraphrase-xlm-r-multilingual-v1,4.33,999.0,278,250,512,20154.46,True,False,46.39,61.17,38.61,25.77,,,,,71.33,70.22,39.6,24.75,,,,49.93,81.26,74.05,38.26,25.17,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
sarnikowski/convbert-small-da-cased,4.33,999.0,13,29,512,14273.42,True,False,29.52,60.59,57.1,25.69,,,,,53.7,55.06,12.38,27.59,,,,32.49,76.07,70.94,35.43,21.11,2.78,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
fresh-electra-small,4.35,999.0,14,31,512,7840.02,True,False,18.61,12.87,0.3,0.0,,,,,55.54,10.54,-0.15,0.04,,,,15.29,18.38,12.76,0.17,0.37,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
mhenrichsen/danskgpt-tiny-chat (few-shot),4.36,5.24,1100,32,2048,1744.69,False,False,34.05,22.31,0.7,48.91,65.27,6.27,6.25,2.11,45.94,27.31,-0.97,41.66,55.79,0.14,0.52,27.49,28.74,30.34,-2.17,0.26,38.96,60.01,3.21,0.18,9.1.2,9.1.2,9.1.2,12.4.0,12.6.1,10.0.1,10.0.1,9.1.2,9.1.2,9.1.2,9.1.2,12.4.0,12.4.0,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2,12.4.0,12.4.0,9.1.2,9.1.2,9.1.2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4.37,999.0,118,250,512,29200.68,True,False,44.48,56.75,26.74,25.53,,,,,72.19,66.5,28.75,23.08,,,,47.53,78.31,72.13,26.92,14.63,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
state-spaces/mamba-2.8b-hf (few-shot),4.38,5.25,2768,50,32769,2721.51,True,False,10.47,17.58,1.23,49.37,62.56,2.18,4.94,1.84,71.7,23.25,-0.82,46.93,54.39,-0.43,1.98,31.06,26.9,34.59,0.21,-0.17,22.83,53.77,-0.16,1.32,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.39,4.1,362,49,8192,21776.98,True,False,2.66,8.97,1.65,28.73,55.39,0.28,3.55,-0.41,9.34,13.64,2.2,30.05,37.49,-0.0,0.78,7.6,20.37,21.27,1.31,0.51,10.53,49.27,-0.9,-1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,4.41,999.0,135,120,512,33753.4,True,False,36.6,54.48,8.84,21.36,,,,,68.33,65.5,14.81,22.88,,,,44.59,77.81,72.22,8.98,5.72,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.41,4.2,7537,68,4096,3023.95,True,False,3.55,12.82,0.68,24.31,55.58,-0.11,-2.13,0.88,17.76,9.75,1.22,18.46,48.74,-0.62,0.99,8.7,12.77,10.51,0.0,0.82,10.19,49.76,-2.42,1.23,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
sentence-transformers/quora-distilbert-multilingual,4.41,999.0,135,120,512,26458.45,True,False,36.6,54.48,8.84,19.76,,,,,68.36,65.5,14.81,22.88,,,,44.59,77.81,72.22,8.98,5.72,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-gpt-j-6B@sharded (few-shot),4.43,4.51,N/A,50,1024,2630.15,True,False,11.0,0.36,-0.11,17.35,51.83,-0.96,3.51,0.73,33.5,0.01,-0.02,18.06,26.97,-0.11,0.56,20.64,0.22,0.24,-0.99,-0.15,22.14,38.55,0.63,-0.09,10.0.1,9.3.1,10.0.1,12.5.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,9.3.1,10.0.1,12.5.1,11.0.0,10.0.1,10.0.1,10.0.1,9.3.1,9.3.1,10.0.1,10.0.1,12.5.1,11.0.0,10.0.1,10.0.1,9.3.1
RJuro/kanelsnegl-v0.2 (few-shot),4.45,4.2,7242,32,512,1373.32,True,False,4.81,0.0,0.0,30.05,61.06,0.0,0.0,0.15,28.62,0.0,0.0,19.59,58.16,0.47,0.71,1.27,0.0,0.0,0.0,0.0,32.25,59.1,0.83,0.09,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,11.0.0,10.0.1,10.0.1,10.0.1,10.0.1,11.0.0,10.0.1,11.0.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,11.0.0,10.0.1,11.0.0,11.0.0
mhenrichsen/danskgpt-tiny (few-shot),4.46,5.25,1100,32,2048,8596.74,True,False,26.31,14.13,-0.54,38.99,62.61,-2.76,5.08,-0.7,31.93,23.92,0.46,35.67,52.68,-0.85,-1.24,18.09,27.37,27.59,-0.19,-0.8,16.14,56.77,-0.5,0.07,0.0.0,0.0.0,0.0.0,12.5.1,12.6.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,12.5.1,11.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.1,11.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distiluse-base-multilingual-cased-v1,4.46,999.0,135,120,512,34041.87,True,False,27.78,46.78,3.04,23.22,,,,,60.06,49.86,3.18,23.46,,,,25.98,60.76,59.62,2.65,3.47,0.82,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
HuggingFaceTB/SmolLM2-135M (few-shot),4.46,3.95,135,49,8192,26346.08,True,False,3.79,13.72,-0.45,17.28,47.44,-0.58,10.99,-0.51,-3.03,19.15,0.06,16.55,51.51,0.02,0.04,8.84,24.37,24.69,-1.2,-0.5,2.31,53.61,-0.81,-0.71,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sentence-transformers/distiluse-base-multilingual-cased-v2,4.49,999.0,135,120,512,33246.61,True,False,30.13,26.96,2.01,16.4,,,,,62.71,51.67,2.32,17.62,,,,32.83,63.79,60.96,1.09,0.18,0.0,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/distiluse-base-multilingual-cased,4.49,999.0,135,120,512,19205.51,True,False,30.13,26.96,2.01,16.49,,,,,63.04,51.67,2.32,17.75,,,,32.83,63.79,60.96,1.09,0.18,0.0,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
RJuro/kanelsnegl-v0.1 (few-shot),4.52,4.2,7242,32,512,5847.39,True,False,13.0,0.0,0.0,12.39,61.25,0.0,0.0,0.04,34.63,0.0,0.0,8.92,59.04,-0.25,0.08,0.95,0.0,0.0,0.0,0.0,33.45,59.32,0.18,0.3,9.3.1,9.3.1,9.3.1,12.5.1,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.1,11.0.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.1,11.0.0,9.3.1,9.3.1,12.10.0
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.53,4.03,135,49,8192,25602.11,True,False,2.61,12.11,0.25,16.74,56.53,1.05,10.81,-0.5,7.41,17.09,0.47,13.94,38.3,0.3,0.06,2.78,20.89,19.62,-0.98,0.93,2.19,53.93,-0.48,-0.53,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
AI-Sweden-Models/gpt-sw3-126m (few-shot),4.55,3.83,186,64,2048,8957.78,True,False,9.18,3.43,-0.22,19.46,52.34,-0.58,5.18,-1.28,8.15,5.66,-0.81,19.18,51.48,-0.49,1.17,7.78,13.55,9.38,-1.46,-2.97,6.65,51.68,0.39,-0.8,9.2.0,9.2.0,9.2.0,12.5.1,12.6.1,10.0.1,10.0.1,9.2.0,9.2.0,9.2.0,9.2.0,12.5.1,11.0.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.5.1,11.0.0,9.2.0,9.2.0,9.2.0
NorGLM/NorGPT-369M (few-shot),4.74,4.26,N/A,64,1024,19895.92,True,False,2.06,1.13,-0.36,4.2,54.0,-2.57,3.26,-0.62,5.5,1.47,-2.19,4.36,37.4,-0.53,0.25,3.41,3.14,3.0,0.22,0.27,2.27,45.57,-0.45,-0.27,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
ai-forever/mGPT (few-shot),4.76,5.24,N/A,100,1024,11734.33,True,False,2.61,0.65,-0.73,2.68,35.64,-0.61,6.94,-1.12,0.0,0.0,0.49,7.85,31.89,-0.37,0.36,4.76,0.08,0.0,0.67,-0.88,0.74,31.66,0.72,-0.2,10.0.1,9.3.1,11.0.0,12.5.1,12.6.1,11.0.0,11.0.0,11.0.0,10.0.1,9.3.1,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,10.0.1,9.3.1,9.3.1,11.0.0,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,12.10.0
Sigurdur/qa-icebreaker (few-shot),4.86,999.0,110,32,1024,44888.92,False,False,0.07,0.0,0.0,0.08,30.99,,,,-0.1,0.0,0.0,0.02,,,,1.0,0.0,0.0,0.0,0.0,0.53,,,,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.5.2
Sigurdur/icebreaker (few-shot),4.88,4.53,110,32,1024,48618.98,False,False,0.0,0.0,0.0,0.04,37.85,0.26,-0.75,-0.88,-3.6,0.0,0.0,0.05,39.68,-0.2,-0.25,0.0,0.0,0.0,0.0,0.0,0.47,39.58,0.18,-0.09,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.5.2
ssmits/Falcon2-5.5B-multilingual (few-shot),4.89,5.25,5465,65,8192,7691.9,True,False,0.0,0.0,0.0,0.03,42.82,4.55,-1.17,-1.26,0.0,0.0,0.0,0.0,40.82,1.19,1.55,0.0,0.0,0.0,0.0,0.0,0.09,41.98,1.14,0.64,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
peter-sk/gpt-neox-da (few-shot),4.9,5.25,1515,50,1024,6025.33,True,False,-0.52,0.64,-0.02,2.89,50.23,0.9,4.1,0.04,4.75,0.26,-0.6,1.07,41.84,-0.41,0.52,-1.43,0.29,0.25,-0.42,1.11,3.15,41.89,0.69,0.55,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,11.0.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,11.0.0,10.0.1,10.0.1,10.0.1
norallm/normistral-7b-scratch (few-shot),999.0,5.24,7248,33,2048,3191.78,True,False,,,,,63.19,0.58,4.6,-0.34,,,,,55.77,-0.39,-0.52,,,,,,,60.36,0.99,-0.16,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,11.0.0,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,11.0.0,10.0.1,10.0.1,10.0.1
01-ai/Yi-6B-Chat (few-shot),999.0,2.67,6061,64,4096,2278.2,False,False,42.65,,4.77,61.05,65.34,39.59,35.08,17.62,74.55,,5.42,61.74,63.71,25.29,21.66,34.7,,,1.07,4.15,66.09,62.58,23.57,19.8,11.0.0,0.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,0.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,0.0.0,0.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
01-ai/Yi-6B (few-shot),999.0,2.68,6061,64,4096,6435.34,True,False,,35.08,,60.88,64.15,34.07,33.75,13.61,,46.69,,60.77,62.7,25.28,19.2,,43.44,46.33,,,62.78,61.98,23.14,16.5,0.0.0,9.3.2,0.0.0,12.5.1,12.6.1,10.0.1,10.0.1,10.0.1,0.0.0,9.3.2,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,0.0.0,9.3.2,9.3.2,0.0.0,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,12.10.0
