model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,mmlu_no,hellaswag_no,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
skole-gpt-mixtral (few-shot),4.03,5.25,N/A,32,32768,3582.66,False,False,51.51,49.17,32.04,66.15,66.83,65.77,77.56,30.34,78.27,54.14,32.49,66.56,65.86,43.62,28.84,52.09,62.52,61.55,21.99,16.84,72.6,64.7,39.99,32.16,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
senseable/WestLake-7B-v2 (few-shot),4.04,5.25,7242,32,32768,5992.97,False,False,49.81,52.61,19.64,57.94,66.67,57.65,51.99,44.44,67.74,58.9,16.52,59.91,66.09,31.76,45.84,50.6,64.37,62.77,18.09,12.25,69.54,65.09,27.33,41.59,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
"timpal0l/BeagleCatMunin2 (few-shot, val)",4.04,5.25,7242,32,32768,2477.24,False,True,47.95,51.53,14.1,64.33,68.04,67.37,66.75,42.21,73.72,60.87,6.78,65.08,68.06,33.71,41.45,58.69,61.17,65.44,15.03,5.95,69.53,66.08,27.31,41.63,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
alexanderfalk/danbert-small-cased,4.05,999.0,83,52,512,30013.37,True,False,30.67,33.05,13.01,5.3,,,,,53.88,22.47,1.55,3.07,,,,24.39,42.18,37.39,7.29,2.57,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
timpal0l/njord-alpha (few-shot),4.06,5.25,7242,32,32768,5431.36,True,False,39.37,38.25,29.76,63.16,67.57,83.45,70.43,16.43,79.95,48.19,32.85,63.58,65.95,25.32,14.55,48.03,50.47,51.97,22.65,17.1,68.08,65.48,25.82,21.35,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
Qwen/Qwen1.5-0.5B (few-shot),4.06,4.2,620,152,32768,11371.34,True,False,8.88,19.01,0.66,38.31,55.57,7.21,16.56,0.62,26.58,28.96,-1.88,40.95,53.36,6.52,1.91,6.31,34.46,33.41,-1.59,0.61,16.2,49.88,2.81,2.92,10.0.1,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,9.3.2
timpal0l/Llama-3-8B-flashback-v1 (few-shot),4.06,5.25,8030,128,8192,4806.85,True,False,50.25,46.59,14.46,62.5,61.98,46.91,50.98,16.33,81.13,59.03,33.06,64.01,64.42,35.24,25.14,47.58,59.09,60.02,10.52,6.67,71.9,58.88,29.17,17.46,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
microsoft/xlm-align-base,4.07,999.0,278,250,512,14744.17,True,False,47.83,70.36,11.87,35.11,,,,,73.67,78.6,15.41,37.13,,,,54.46,90.07,85.65,12.16,8.99,64.35,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Qwen/Qwen1.5-0.5B-Chat (few-shot),4.07,4.78,620,152,32768,11740.04,False,False,10.72,17.38,1.32,40.37,55.87,4.56,22.41,1.71,40.23,18.57,0.21,35.01,53.29,2.59,-0.84,11.49,29.52,31.27,0.29,-0.12,17.09,9.92,0.29,0.49,11.0.0,12.5.2,12.1.0,12.4.0,12.6.1,12.1.0,12.1.0,12.1.0,11.0.0,12.5.2,12.1.0,12.4.0,12.5.0,12.1.0,12.1.0,11.0.0,12.5.2,12.5.2,12.1.0,12.1.0,12.4.0,12.5.0,12.1.0,12.1.0,9.3.2
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),4.07,5.24,7242,32,32768,633.64,False,False,48.09,44.89,19.06,60.81,66.84,51.6,35.85,22.21,62.9,47.92,19.95,61.42,66.11,25.6,21.75,38.79,53.42,54.34,17.06,11.0,64.27,64.43,20.37,21.16,9.2.0,9.2.0,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.2,9.2.0,9.2.0,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,9.2.0,9.2.0,9.2.0,9.3.1,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,12.9.0
