generative_type,model,rank,danish,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,swerec,suc3,scala_sv,scandiqa_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version
📝,<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot)</a>,2.29@@2.29,2.18@@2.18,2.62@@2.62,2.07@@2.07,8030326784.0,128264.0,131072.0,✓,✗,52.92 ± 1.57 / 67.59 ± 1.21@@52.92166320958274,53.98 ± 1.81 / 39.29 ± 2.56@@53.97853659206976,23.91 ± 1.87 / 47.16 ± 1.52@@23.912471605350245,64.52 ± 0.61 / 55.07 ± 1.03@@64.51762169685631,36.16 ± 0.41 / 38.73 ± 0.34@@36.16381490435829,65.37 ± 1.84 / 58.17 ± 2.27@@65.37309518722158,66.25 ± 1.48 / 59.99 ± 2.79@@66.25060396182099,25.14 ± 1.68 / 48.19 ± 1.70@@25.144148673558327,15.68 ± 1.84 / 40.96 ± 1.61@@15.680086392241213,70.39 ± 3.70 / 45.54 ± 4.69@@70.38550432563284,79.66 ± 0.44 / 74.32 ± 0.91@@79.66375081385814,51.00 ± 2.03 / 36.94 ± 2.24@@50.99508054049863,25.32 ± 1.83 / 48.35 ± 1.49@@25.322051418000534,64.99 ± 0.53 / 55.41 ± 0.55@@64.9868320270154,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
📝,<a href='https://huggingface.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat (few-shot)</a>,2.29@@2.29,2.10@@2.10,2.75@@2.75,2.02@@2.02,14167290880.0,152064.0,32768.0,✗,✗,51.01 ± 1.42 / 67.47 ± 1.02@@51.00599026155718,49.12 ± 1.32 / 27.39 ± 1.54@@49.11888311928349,36.68 ± 1.31 / 66.27 ± 1.30@@36.67835112877535,63.07 ± 0.57 / 53.58 ± 0.75@@63.07498717778829,34.09 ± 0.63 / 35.85 ± 0.57@@34.09114305106473,54.41 ± 1.98 / 36.37 ± 2.63@@54.410794580036026,55.08 ± 0.55 / 38.67 ± 2.54@@55.07918806889547,32.31 ± 1.67 / 59.39 ± 1.67@@32.31189927887194,18.25 ± 1.65 / 57.88 ± 1.12@@18.24951065474576,65.18 ± 1.78 / 36.59 ± 1.29@@65.17501076656583,77.66 ± 0.78 / 77.63 ± 0.87@@77.66489015609572,43.07 ± 1.29 / 26.60 ± 1.69@@43.06938769727622,42.12 ± 1.57 / 70.64 ± 0.81@@42.12334508317871,63.18 ± 0.40 / 53.76 ± 0.58@@63.1791619799681,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
📝,<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,2.30@@2.30,2.22@@2.22,2.57@@2.57,2.10@@2.10,8030261248.0,128256.0,8192.0,✓,✗,48.43 ± 3.31 / 62.09 ± 3.62@@48.43312201829354,57.74 ± 2.06 / 40.66 ± 2.58@@57.739396334459556,27.12 ± 2.83 / 60.40 ± 2.70@@27.12332745669166,59.77 ± 0.51 / 46.76 ± 1.20@@59.769737896987465,34.47 ± 0.44 / 37.96 ± 0.40@@34.46684178610501,66.56 ± 1.70 / 58.47 ± 2.40@@66.56055511951318,68.29 ± 1.47 / 61.22 ± 2.25@@68.2879446541498,28.22 ± 1.37 / 59.51 ± 1.44@@28.22273026280872,18.21 ± 2.21 / 52.84 ± 2.30@@18.213167905272186,73.23 ± 1.29 / 47.34 ± 1.99@@73.23271923869893,59.93 ± 4.70 / 67.54 ± 3.04@@59.933786112286484,69.67 ± 1.30 / 52.94 ± 4.01@@69.66826842643418,27.63 ± 3.19 / 60.85 ± 3.29@@27.62533065909484,60.85 ± 0.93 / 49.84 ± 1.61@@60.85360463614178,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
📝,<a href='https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot)</a>,2.31@@2.31,2.17@@2.17,2.67@@2.67,2.08@@2.08,46702792704.0,32000.0,32768.0,✓,✗,50.95 ± 1.15 / 66.13 ± 0.87@@50.945209955778346,51.20 ± 3.31 / 30.53 ± 2.46@@51.199728842672855,33.44 ± 1.67 / 64.34 ± 1.32@@33.4429085322235,61.54 ± 1.02 / 46.85 ± 1.67@@61.53825927764806,36.76 ± 0.69 / 38.81 ± 0.52@@36.75774337590195,55.02 ± 2.74 / 36.31 ± 1.97@@55.01997662150912,57.37 ± 2.34 / 38.25 ± 2.37@@57.36968745204894,30.73 ± 1.86 / 63.33 ± 2.10@@30.72870233936268,18.96 ± 2.45 / 52.64 ± 4.21@@18.957267584539917,70.24 ± 1.75 / 41.01 ± 2.00@@70.2413940794522,80.33 ± 0.51 / 79.04 ± 0.76@@80.33268289651794,46.15 ± 1.63 / 25.08 ± 1.69@@46.14830033692135,32.89 ± 2.06 / 64.41 ± 1.78@@32.888601258936454,61.35 ± 1.02 / 46.51 ± 1.69@@61.35061687933027,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
🔍,<a href='https://huggingface.co/KB/bert-base-swedish-cased'>KB/bert-base-swedish-cased</a>,2.31@@2.31,2.72@@2.72,2.73@@2.73,1.47@@1.47,124693251.0,50325.0,512.0,✓,✗,33.28 ± 1.65 / 54.37 ± 1.44@@33.281096525010774,61.74 ± 1.46 / 58.09 ± 1.52@@61.73646123580998,33.15 ± 7.14 / 64.69 ± 4.47@@33.15127772805822,33.03 ± 0.87 / 28.67 ± 0.79@@33.031017099557594,35.09 ± 1.53 / 46.93 ± 2.27@@35.089732783817276,81.64 ± 1.30 / 82.36 ± 1.18@@81.63824654660253,79.67 ± 1.62 / 76.00 ± 2.01@@79.6677349274475,39.13 ± 2.97 / 67.97 ± 1.68@@39.12922960461474,24.13 ± 6.88 / 60.76 ± 3.29@@24.127522747550515,27.73 ± 6.70 / 19.04 ± 4.63@@27.730606235696534,75.58 ± 1.17 / 73.35 ± 2.22@@75.57553644700133,81.95 ± 1.55 / 76.66 ± 1.60@@81.95228383215237,78.86 ± 0.83 / 89.07 ± 0.50@@78.85501300113823,43.79 ± 1.43 / 38.56 ± 1.53@@43.791210595694224,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🧠,<a href='https://huggingface.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0 (few-shot)</a>,2.31@@2.31,2.27@@2.27,2.68@@2.68,2.00@@2.00,10731524096.0,32000.0,4096.0,✓,✗,49.11 ± 2.94 / 61.31 ± 3.73@@49.10826315121082,56.77 ± 1.36 / 38.53 ± 3.65@@56.76927033095831,14.00 ± 3.09 / 39.38 ± 2.48@@14.00342571080689,67.66 ± 0.38 / 62.11 ± 0.62@@67.65748013472205,35.57 ± 0.64 / 38.57 ± 0.42@@35.573825248674616,68.29 ± 1.03 / 56.27 ± 2.44@@68.29155709911674,67.07 ± 1.09 / 55.67 ± 2.96@@67.06832251599133,10.56 ± 3.23 / 36.38 ± 1.19@@10.557153068914324,6.27 ± 2.83 / 35.20 ± 1.12@@6.268299082322779,78.25 ± 2.85 / 52.91 ± 4.06@@78.2492255648526,78.55 ± 0.78 / 72.12 ± 2.17@@78.55485899994952,59.79 ± 1.51 / 38.41 ± 2.31@@59.78618345908229,17.97 ± 3.70 / 41.66 ± 2.79@@17.97030289198077,68.34 ± 0.70 / 62.87 ± 0.58@@68.33655080507864,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
🔍,<a href='https://huggingface.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,2.31@@2.31,2.53@@2.53,2.35@@2.35,2.07@@2.07,278045955.0,250002.0,512.0,✓,✗,45.07 ± 1.23 / 63.33 ± 0.78@@45.07461529465996,65.10 ± 1.65 / 61.96 ± 1.26@@65.09917256381404,26.83 ± 11.38 / 60.41 ± 6.66@@26.83325698146636,35.05 ± 1.16 / 29.92 ± 1.25@@35.05196756693506,49.62 ± 2.72 / 62.56 ± 3.88@@49.61790248819426,86.56 ± 1.18 / 87.30 ± 0.95@@86.5609259774326,80.57 ± 1.55 / 83.03 ± 1.19@@80.57103162620332,38.45 ± 15.28 / 67.14 ± 7.71@@38.45436052952872,11.38 ± 7.59 / 51.68 ± 4.73@@11.37603461464293,47.61 ± 2.55 / 31.50 ± 2.41@@47.61247461865411,71.12 ± 0.90 / 60.88 ± 2.58@@71.11674734481642,75.49 ± 1.09 / 74.57 ± 0.60@@75.48914113792642,36.69 ± 15.58 / 65.77 ± 8.64@@36.692486939216,38.90 ± 2.21 / 33.55 ± 2.07@@38.90108968446305,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,<9.2.0@@0,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,<9.2.0@@0
📝,<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B (few-shot)</a>,2.32@@2.32,2.22@@2.22,2.65@@2.65,2.09@@2.09,8030326784.0,128264.0,131072.0,✓,✗,52.57 ± 1.96 / 67.38 ± 1.51@@52.57455141939942,52.95 ± 2.02 / 38.35 ± 2.52@@52.953715301607104,21.56 ± 2.02 / 44.84 ± 1.39@@21.56219217947945,63.99 ± 0.75 / 55.40 ± 1.13@@63.9867349153336,36.39 ± 0.46 / 38.80 ± 0.36@@36.38686469807402,64.07 ± 2.08 / 56.49 ± 2.39@@64.0686463494277,65.74 ± 1.47 / 59.55 ± 2.89@@65.73981308178088,25.72 ± 1.50 / 48.72 ± 1.55@@25.72423104238742,16.05 ± 1.71 / 41.49 ± 1.63@@16.049942430790004,66.04 ± 4.49 / 41.49 ± 5.60@@66.04354543124303,79.86 ± 0.53 / 75.09 ± 0.98@@79.85741591018183,49.44 ± 1.83 / 36.18 ± 2.08@@49.435569514394814,23.06 ± 1.99 / 46.00 ± 1.40@@23.060928759300534,64.47 ± 0.74 / 55.50 ± 0.94@@64.46562950453848,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
📝,<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M (few-shot)</a>,2.32@@2.32,2.32@@2.32,2.43@@2.43,2.21@@2.21,,,,✓,✗,49.72 ± 1.76 / 65.29 ± 1.19@@49.72307090222476,52.58 ± 1.73 / 35.43 ± 2.26@@52.581779029954646,30.03 ± 1.47 / 64.56 ± 0.91@@30.033450593515038,55.07 ± 0.91 / 42.02 ± 1.26@@55.06532924238066,52.92 ± 1.19 / 67.63 ± 0.84@@52.922839993011074,63.83 ± 1.40 / 52.91 ± 3.22@@63.82807270134935,62.08 ± 1.37 / 48.56 ± 3.19@@62.07634636325725,28.77 ± 2.32 / 63.40 ± 1.76@@28.767484117756943,23.06 ± 1.20 / 60.80 ± 0.87@@23.06204662896106,60.09 ± 1.40 / 26.40 ± 1.97@@60.09092333494556,74.40 ± 1.45 / 72.30 ± 1.77@@74.40036528508051,51.31 ± 2.58 / 34.00 ± 3.68@@51.306509168619684,28.21 ± 2.31 / 61.68 ± 2.06@@28.213583914124385,56.04 ± 0.63 / 43.94 ± 1.10@@56.04357622041694,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
🧠,<a href='https://huggingface.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm (few-shot)</a>,2.32@@2.32,2.44@@2.44,2.48@@2.48,2.04@@2.04,11429893120.0,51200.0,1024000.0,✓,✗,43.08 ± 1.78 / 58.00 ± 2.55@@43.081451967208665,48.68 ± 1.63 / 36.66 ± 2.72@@48.6820662282086,17.00 ± 2.93 / 55.84 ± 3.23@@16.99665196041213,65.42 ± 0.48 / 59.88 ± 0.47@@65.42331496904926,48.61 ± 2.54 / 65.12 ± 2.50@@48.61484575180456,61.37 ± 1.24 / 57.90 ± 1.46@@61.369259422703706,60.37 ± 1.66 / 56.91 ± 2.36@@60.368967002027674,17.80 ± 3.84 / 53.63 ± 4.61@@17.80208912166339,17.77 ± 2.49 / 56.01 ± 2.54@@17.768174420421225,74.22 ± 3.26 / 52.37 ± 4.85@@74.2161730169392,78.60 ± 1.86 / 80.07 ± 1.29@@78.6017816283643,60.51 ± 1.89 / 52.51 ± 2.42@@60.51280307047252,17.47 ± 3.85 / 54.83 ± 4.43@@17.46913667572492,64.57 ± 0.72 / 58.14 ± 0.78@@64.56920025875965,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
🧠,<a href='https://huggingface.co/timpal0l/Llama-3-8B-flashback-v1'>timpal0l/Llama-3-8B-flashback-v1 (few-shot)</a>,2.33@@2.33,2.42@@2.42,2.63@@2.63,1.94@@1.94,8030261248.0,128256.0,8192.0,✓,✗,50.25 ± 1.25 / 66.18 ± 1.01@@50.25434117647809,46.59 ± 4.16 / 31.16 ± 3.95@@46.58931992406987,14.46 ± 2.48 / 50.96 ± 4.22@@14.457965648904588,62.50 ± 0.92 / 56.86 ± 1.23@@62.49529455925715,47.58 ± 1.91 / 64.35 ± 1.95@@47.577326073384484,59.09 ± 1.89 / 52.82 ± 2.60@@59.093130169791344,60.02 ± 1.44 / 52.04 ± 2.63@@60.02444405109907,10.52 ± 4.67 / 46.13 ± 6.95@@10.522714544812366,6.67 ± 4.53 / 40.61 ± 5.40@@6.669506171333536,71.90 ± 4.09 / 49.89 ± 4.89@@71.90366293341566,81.97 ± 0.56 / 81.46 ± 0.69@@81.96602320075857,57.01 ± 1.71 / 43.34 ± 3.83@@57.00511915128948,31.16 ± 1.80 / 59.86 ± 3.31@@31.16171600192132,60.85 ± 1.80 / 53.99 ± 1.82@@60.85404517304073,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,14.1.2@@140102,14.1.1@@140101,14.1.2@@140102,14.1.1@@140101
🧠,"<a href='https://huggingface.co/timpal0l/BeagleCatMunin'>timpal0l/BeagleCatMunin (few-shot, val)</a>",2.33@@2.33,2.14@@2.14,2.81@@2.81,2.04@@2.04,7241732096.0,32000.0,32768.0,✗,✓,54.14 ± 2.14 / 68.06 ± 1.75@@54.13726287824537,52.76 ± 1.86 / 40.90 ± 2.53@@52.755272249351904,26.38 ± 5.44 / 53.10 ± 3.87@@26.379402899534142,64.04 ± 0.71 / 58.24 ± 1.11@@64.03756949433935,38.73 ± 1.84 / 38.04 ± 1.61@@38.730504401619115,53.68 ± 3.16 / 46.61 ± 3.63@@53.678874791714314,60.37 ± 3.67 / 47.71 ± 3.22@@60.36859744318763,17.50 ± 5.71 / 45.11 ± 4.38@@17.499177826239055,5.82 ± 3.54 / 35.95 ± 1.99@@5.820390248394599,66.06 ± 4.79 / 41.97 ± 5.42@@66.0569070439237,77.37 ± 2.25 / 78.66 ± 2.43@@77.37248133480523,50.53 ± 3.30 / 37.77 ± 4.38@@50.5279211276903,27.84 ± 4.72 / 49.46 ± 4.52@@27.84251060798183,65.44 ± 1.38 / 59.98 ± 1.65@@65.44053354728622,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302,12.5.2@@120502
📝,<a href='https://huggingface.co/CohereForAI/c4ai-command-r7b-12-2024'>CohereForAI/c4ai-command-r7b-12-2024 (few-shot)</a>,2.33@@2.33,2.17@@2.17,2.73@@2.73,2.10@@2.10,8028033024.0,256000.0,4096.0,✗,✗,52.09 ± 0.95 / 66.46 ± 1.22@@52.08704925782761,55.33 ± 1.47 / 29.83 ± 1.66@@55.33443692125427,25.34 ± 0.85 / 60.84 ± 0.90@@25.339714129523514,61.24 ± 0.61 / 52.85 ± 0.77@@61.243087014145374,34.20 ± 0.74 / 37.16 ± 0.77@@34.19770556390213,64.69 ± 1.45 / 37.73 ± 1.64@@64.68698191350606,64.84 ± 0.91 / 39.12 ± 3.12@@64.83700823356354,20.40 ± 1.81 / 58.99 ± 1.43@@20.396626667219582,14.65 ± 1.20 / 57.06 ± 0.64@@14.654405871334541,68.85 ± 2.95 / 40.77 ± 3.08@@68.84523354473208,77.63 ± 0.48 / 74.71 ± 0.94@@77.62761054490437,54.64 ± 1.79 / 26.05 ± 2.44@@54.638278465789845,19.96 ± 1.52 / 56.60 ± 2.12@@19.956900076495312,64.52 ± 0.69 / 56.56 ± 0.81@@64.52269954289075,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
🔍,<a href='https://huggingface.co/facebook/xlm-v-base'>facebook/xlm-v-base</a>,2.34@@2.34,2.28@@2.28,2.72@@2.72,2.01@@2.01,778495491.0,901629.0,512.0,✓,✗,31.86 ± 8.76 / 47.51 ± 8.94@@31.85910204218328,71.42 ± 2.68 / 66.61 ± 1.99@@71.41879221179214,52.95 ± 11.68 / 73.96 ± 8.89@@52.95041338952326,40.58 ± 1.63 / 34.66 ± 1.64@@40.579570741024995,17.93 ± 14.48 / 34.24 ± 10.14@@17.93022620087494,89.99 ± 1.32 / 87.51 ± 1.20@@89.98882058358588,78.60 ± 3.17 / 74.97 ± 3.56@@78.60114764371798,43.46 ± 17.47 / 66.52 ± 12.26@@43.45775247117299,10.97 ± 10.84 / 43.47 ± 9.81@@10.965173099305263,59.80 ± 1.86 / 43.74 ± 2.17@@59.79980837357757,73.43 ± 0.91 / 61.29 ± 1.81@@73.4283393732542,68.39 ± 7.26 / 63.66 ± 6.41@@68.38528584154476,45.09 ± 15.90 / 68.48 ± 11.31@@45.086645345959596,43.73 ± 1.83 / 38.04 ± 2.09@@43.733902882052,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🔍,<a href='https://huggingface.co/microsoft/infoxlm-large'>microsoft/infoxlm-large</a>,2.35@@2.35,2.45@@2.45,2.64@@2.64,1.96@@1.96,559893507.0,250002.0,512.0,✓,✗,37.94 ± 10.08 / 55.77 ± 9.21@@37.94474636984306,74.42 ± 1.81 / 69.54 ± 1.52@@74.42315161534816,15.26 ± 10.94 / 48.92 ± 8.26@@15.257523813097452,50.10 ± 2.75 / 44.25 ± 2.55@@50.095959762715935,33.17 ± 10.05 / 44.10 ± 8.10@@33.17197890213964,88.98 ± 0.56 / 89.63 ± 0.43@@88.98146835366296,85.07 ± 0.90 / 86.79 ± 0.67@@85.06527601725227,8.84 ± 6.13 / 43.18 ± 5.23@@8.842127707382634,2.53 ± 2.89 / 44.37 ± 5.15@@2.531843769018669,65.93 ± 2.91 / 46.52 ± 3.54@@65.92639870297434,75.42 ± 1.08 / 72.68 ± 3.19@@75.41780327397547,79.53 ± 2.77 / 74.53 ± 2.70@@79.52517541486901,18.44 ± 10.88 / 53.57 ± 7.20@@18.436611854437846,53.67 ± 0.81 / 48.19 ± 1.10@@53.66675281997061,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
📝,<a href='https://huggingface.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (few-shot)</a>,2.35@@2.35,2.16@@2.16,2.92@@2.92,1.96@@1.96,9152319488.0,128000.0,4096.0,✗,✗,54.40 ± 1.17 / 68.41 ± 1.14@@54.40231952417973,48.08 ± 2.42 / 27.18 ± 2.33@@48.07980207560402,29.35 ± 2.05 / 54.01 ± 2.12@@29.35246113817077,64.19 ± 0.71 / 57.45 ± 0.77@@64.18617320866494,34.73 ± 0.68 / 38.45 ± 0.64@@34.732217527738065,54.89 ± 1.41 / 33.48 ± 2.28@@54.894834985497575,55.10 ± 1.17 / 36.46 ± 3.25@@55.099878143286155,17.48 ± 3.77 / 40.85 ± 2.94@@17.484121111563027,6.94 ± 1.70 / 35.38 ± 0.92@@6.939961202393348,65.74 ± 3.21 / 38.90 ± 3.10@@65.74338151417912,77.50 ± 0.90 / 75.08 ± 1.02@@77.49949895587555,48.22 ± 1.75 / 21.26 ± 1.82@@48.21761480119912,38.97 ± 1.91 / 65.37 ± 2.39@@38.96964800624744,64.79 ± 0.78 / 57.80 ± 1.31@@64.7879156632198,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
🧠,<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B (few-shot)</a>,2.36@@2.36,2.29@@2.29,2.63@@2.63,2.15@@2.15,8030326784.0,128264.0,131072.0,✓,✗,50.51 ± 2.28 / 65.38 ± 1.86@@50.50781899667961,54.17 ± 2.06 / 37.52 ± 2.22@@54.1723844290223,20.30 ± 1.72 / 44.17 ± 1.37@@20.30435734787943,60.70 ± 0.67 / 48.80 ± 1.02@@60.69713388497879,36.49 ± 0.47 / 38.46 ± 0.42@@36.48908813366168,64.72 ± 1.69 / 54.76 ± 1.87@@64.72193216579691,66.60 ± 1.50 / 58.38 ± 2.88@@66.60338429126702,26.72 ± 1.56 / 50.34 ± 1.80@@26.723918951570113,17.06 ± 1.93 / 42.77 ± 1.47@@17.056379537049562,66.25 ± 3.48 / 40.19 ± 4.57@@66.2547160033992,80.14 ± 0.56 / 76.14 ± 0.87@@80.13761992371174,53.35 ± 1.85 / 36.17 ± 2.23@@53.35053533367616,16.18 ± 1.63 / 40.40 ± 1.08@@16.18331408873713,61.54 ± 0.67 / 49.38 ± 1.19@@61.54141770545898,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
📝,"<a href='https://huggingface.co/RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b'>RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)</a>",2.36@@2.36,2.18@@2.18,2.82@@2.82,2.06@@2.06,7241748480.0,32002.0,32768.0,✗,✓,51.14 ± 2.45 / 66.26 ± 1.78@@51.141964195891006,47.27 ± 2.01 / 30.31 ± 2.51@@47.27146666894774,35.03 ± 2.71 / 65.45 ± 1.82@@35.03430907731428,63.44 ± 0.79 / 54.07 ± 0.90@@63.443348591385316,34.41 ± 2.24 / 37.22 ± 1.66@@34.413153717983285,53.71 ± 3.60 / 39.35 ± 5.05@@53.70932955591437,59.82 ± 4.17 / 41.15 ± 3.28@@59.82004847383333,28.48 ± 3.07 / 63.73 ± 1.77@@28.48210871944553,11.83 ± 6.82 / 54.63 ± 3.20@@11.833575678176336,63.58 ± 1.39 / 36.79 ± 1.76@@63.578163298886736,72.04 ± 3.27 / 63.83 ± 2.07@@72.04258444469902,59.36 ± 2.75 / 47.08 ± 4.17@@59.35973185947731,22.38 ± 7.17 / 54.70 ± 5.49@@22.381422613925743,64.06 ± 1.76 / 57.96 ± 2.00@@64.05988257293836,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302,12.5.2@@120502
