model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,swerec_primary,swerec_secondary,suc3_primary,suc3_secondary,scala_sv_primary,scala_sv_secondary,scandiqa_sv_primary,scandiqa_sv_secondary,swedn_primary,swedn_secondary,mmlu_sv_primary,mmlu_sv_secondary,hellaswag_sv_primary,hellaswag_sv_secondary,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,hotter_and_colder_sentiment_primary,hotter_and_colder_sentiment_secondary,mim_gold_ner_primary,mim_gold_ner_secondary,scala_is_primary,scala_is_secondary,nqii_primary,nqii_secondary,rrn_primary,rrn_secondary,arc_is_primary,arc_is_secondary,winogrande_is_primary,winogrande_is_secondary,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,sb10k_primary,sb10k_secondary,germeval_primary,germeval_secondary,scala_de_primary,scala_de_secondary,germanquad_primary,germanquad_secondary,mlsum_primary,mlsum_secondary,mmlu_de_primary,mmlu_de_secondary,hellaswag_de_primary,hellaswag_de_secondary,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
FacebookAI/xlm-roberta-large,1.95,999.0,560.0,250.0,512,17896.69,True,False,48.33,63.94,72.74,67.15,57.3,76.82,49.29,43.57,,,,,,,,,76.63,74.25,80.33,75.03,49.72,69.94,52.21,46.64,,,,,,,50.25,63.55,91.66,89.34,86.19,82.86,55.51,74.0,43.89,68.88,72.69,57.57,,,,,,,48.41,64.09,82.83,83.16,22.78,57.07,55.29,15.72,,,,,,,5.14,22.03,87.85,88.21,1.17,40.94,39.88,27.72,8.82,30.82,83.49,86.12,64.8,80.93,61.66,50.72,,,,,,,63.02,75.25,80.64,80.03,54.83,76.02,55.68,29.09,,,,,,,41.97,50.33,89.81,89.25,35.55,63.79,79.18,68.88,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.03,1.88,,200.0,8191,908.12,True,False,49.73,65.95,57.52,35.79,57.56,77.16,64.34,51.79,64.66,13.62,79.84,84.92,83.21,88.67,63.33,72.15,73.55,71.66,52.47,29.74,52.27,71.55,61.75,48.95,65.59,15.3,54.3,65.47,54.13,64.77,39.82,37.7,60.43,37.82,55.59,32.2,54.84,74.79,33.8,62.11,70.12,36.55,62.77,10.94,56.96,67.11,68.7,75.86,50.02,65.44,31.11,14.28,35.85,66.14,49.25,26.93,66.48,14.96,72.8,79.45,28.63,59.45,35.05,34.41,53.92,28.59,23.12,60.2,76.6,54.99,12.67,18.63,64.15,38.77,62.44,80.58,70.43,45.65,64.26,13.64,56.45,67.46,62.09,71.09,52.66,68.1,59.19,30.16,46.66,72.82,51.63,26.02,63.3,11.78,58.21,68.09,65.19,73.28,61.65,71.46,75.8,52.95,47.74,73.28,79.9,56.98,68.6,20.57,63.18,72.23,77.31,82.54,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3,14.0.3
"gpt-4-1106-preview (zero-shot, val)",2.07,1.61,,100.0,8191,436.04,True,False,53.69,67.91,35.79,25.86,62.98,81.27,64.87,51.96,64.56,13.61,87.34,90.59,98.11,98.75,67.56,75.47,73.54,68.68,51.31,43.84,66.39,82.1,63.21,52.22,65.32,15.67,69.31,77.07,63.92,72.7,39.62,38.68,60.16,49.38,48.74,40.98,71.38,85.52,42.94,71.26,69.46,36.04,62.75,10.78,68.89,76.76,59.02,67.34,47.47,63.45,30.39,25.88,43.3,71.54,51.48,29.82,63.89,13.99,86.79,90.12,54.76,77.97,13.18,19.41,57.52,36.36,28.03,62.26,76.65,59.06,11.13,18.38,55.72,40.53,67.28,83.06,72.73,54.2,64.09,12.91,67.45,75.66,72.71,79.49,58.67,71.2,57.47,36.29,54.55,75.08,53.97,27.02,62.91,11.7,69.23,77.07,71.17,77.66,65.24,72.51,42.4,34.09,44.59,71.93,82.84,62.94,68.33,20.27,78.8,84.14,82.6,86.6,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
intfloat/multilingual-e5-base,2.11,999.0,278.0,250.0,512,14965.0,True,False,49.88,66.06,68.7,64.05,44.2,70.33,45.91,39.9,,,,,,,,,76.06,69.85,79.02,77.59,50.19,74.23,46.62,40.65,,,,,,,54.61,67.19,88.26,89.24,81.37,83.89,50.35,73.06,22.15,58.2,45.47,31.77,,,,,,,42.08,59.9,75.46,77.52,15.21,54.4,43.65,10.82,,,,,,,10.97,30.74,87.44,88.01,7.38,47.69,22.12,14.8,27.67,44.9,79.12,83.05,39.28,67.9,46.63,35.71,,,,,,,63.29,75.42,74.79,75.1,45.32,71.3,34.46,16.42,,,,,,,61.46,60.48,89.65,89.71,51.32,74.21,63.05,50.78,,,,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/roberta-large-1160k,2.18,999.0,355.0,50.0,512,14014.08,True,False,51.2,66.62,74.16,70.93,73.87,86.61,55.06,49.34,,,,,,,,,77.25,73.96,82.65,80.43,77.9,88.63,55.64,49.64,,,,,,,60.11,70.55,92.01,92.36,87.17,88.75,72.85,85.73,65.56,82.23,75.42,60.38,,,,,,,38.53,56.94,74.3,76.1,2.06,37.04,48.11,11.47,,,,,,,6.42,24.34,88.24,88.48,1.73,42.32,47.03,35.08,3.5,27.25,70.92,78.52,2.06,41.06,51.93,41.4,,,,,,,46.81,64.02,68.93,67.48,3.39,39.29,34.87,18.62,,,,,,,53.9,54.63,89.53,89.37,55.31,76.38,80.82,69.89,,,,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,13.3.0,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,13.3.0,10.0.1,10.0.1,13.0.0,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,12.10.0,12.10.0,12.10.0,12.10.0,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,12.10.0
Nexusflow/Starling-LM-7B-beta (few-shot),2.19,2.4,7242.0,32.0,4096,5875.95,False,False,51.75,67.38,53.2,32.89,32.72,62.53,65.36,56.44,67.46,23.35,59.78,69.68,58.63,71.72,50.74,62.79,77.49,72.07,60.38,36.17,29.32,54.43,65.84,56.79,65.75,20.23,36.05,51.86,51.15,63.2,55.48,69.68,66.22,48.98,64.14,49.59,26.13,56.08,17.32,54.57,77.08,49.75,65.32,18.53,29.72,46.95,46.78,59.65,27.93,48.93,42.23,25.96,6.38,49.63,53.87,19.39,61.92,15.31,4.22,28.35,0.31,54.29,26.74,47.97,66.98,60.82,5.8,42.89,63.94,44.88,13.83,41.53,64.47,40.89,45.69,72.13,73.17,58.03,69.34,22.22,37.6,53.13,54.33,65.41,51.8,67.45,65.01,43.34,36.18,67.86,67.3,32.12,66.92,23.23,37.9,53.36,60.66,70.32,69.98,69.79,71.81,59.93,45.34,72.1,87.51,72.49,70.37,27.7,50.93,62.98,83.82,87.83,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.5.2,12.5.2,13.0.0,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.19,2.61,8030.0,128.0,8192,1040.29,True,False,48.43,62.09,57.74,40.66,27.12,60.4,59.77,46.76,66.36,19.75,57.87,67.43,50.42,65.43,29.17,44.59,59.93,67.54,69.67,52.94,27.63,60.85,60.85,49.84,66.6,19.13,33.54,49.2,30.32,45.96,50.62,65.69,74.47,65.57,72.93,65.44,27.77,61.75,20.35,57.74,69.9,42.9,63.98,14.75,33.44,48.76,30.91,45.85,38.09,54.51,60.2,40.38,9.14,49.56,58.93,28.66,67.5,18.61,17.93,38.38,5.59,54.19,45.91,47.79,70.57,68.24,4.58,36.77,72.79,50.91,14.67,41.36,68.72,54.89,32.91,64.93,67.5,45.36,67.62,18.19,36.18,51.68,33.91,48.01,58.33,69.31,68.18,57.72,29.12,63.6,56.42,28.68,65.23,16.56,38.44,53.38,37.69,51.24,67.64,71.04,75.02,69.47,32.29,64.85,79.1,54.84,69.28,25.48,53.77,64.91,57.64,67.29,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.24,2.38,8030.0,128.0,131072,1042.12,True,False,51.3,64.44,57.19,44.34,10.31,42.59,60.46,48.8,67.38,23.21,61.78,71.28,66.61,77.73,39.62,53.92,80.46,78.67,71.52,59.28,12.29,40.53,62.08,53.54,66.27,19.05,39.4,53.87,38.88,53.72,57.3,71.58,74.77,71.87,72.8,69.98,5.23,34.9,11.51,45.73,70.96,43.93,66.08,19.8,38.1,52.64,39.3,54.03,39.91,57.39,46.48,24.57,11.72,51.67,53.39,25.91,67.67,18.97,25.83,44.48,6.4,50.66,36.73,52.5,71.04,70.33,1.59,33.68,70.86,46.33,15.51,39.71,69.76,57.66,37.58,66.98,65.63,41.26,68.84,21.41,40.98,55.51,39.98,54.32,59.96,70.71,67.61,60.39,28.25,59.54,55.82,28.79,66.87,21.31,40.0,54.88,45.93,58.95,68.12,72.48,76.95,72.47,34.34,65.84,76.21,47.88,69.57,26.3,56.62,67.29,69.03,76.69,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.2
meta-llama/Llama-3.1-8B (few-shot),2.25,2.64,8030.0,128.0,131072,2363.74,True,False,49.71,64.0,47.68,32.67,25.48,58.45,65.79,60.31,64.74,17.82,57.6,67.81,65.98,77.34,28.65,45.11,79.96,75.75,63.85,44.62,31.7,59.28,65.24,59.33,65.07,18.94,37.48,52.46,31.27,47.97,52.87,68.71,64.62,53.5,65.1,56.43,28.34,58.57,22.4,53.51,75.98,53.2,63.88,16.54,35.8,51.22,30.31,46.84,43.06,60.01,52.97,38.17,8.13,43.02,60.26,31.99,65.19,17.47,21.56,40.99,4.44,54.52,24.35,37.9,65.43,63.09,1.12,35.45,73.55,51.86,11.95,37.12,64.79,45.48,32.97,58.52,74.73,63.89,66.29,20.14,38.44,53.68,30.88,47.18,58.57,71.3,60.46,47.72,26.25,61.41,64.05,34.85,69.58,28.95,38.77,53.99,34.29,49.79,66.76,68.58,69.86,62.68,30.96,61.29,84.24,71.39,67.93,22.0,52.47,64.25,43.95,57.04,12.11.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,12.11.0,12.11.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,13.3.0,12.11.0,12.11.0,13.0.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.26,2.26,8020.0,131.0,32768,929.75,True,False,49.67,65.83,52.49,38.85,22.8,55.25,64.46,57.07,66.75,21.86,59.57,69.19,65.34,76.95,53.97,64.76,76.74,75.66,67.49,51.1,22.37,54.47,64.47,57.15,65.37,19.85,37.5,52.72,55.01,65.64,54.49,69.23,69.85,59.43,68.83,59.51,28.55,61.53,17.47,52.6,71.05,43.55,64.05,16.34,34.93,50.67,49.83,61.44,24.43,39.27,47.1,22.63,7.19,44.62,54.38,28.73,66.62,17.04,21.98,40.56,0.1,55.15,29.34,50.04,67.52,61.64,3.35,46.55,69.57,49.62,13.55,37.36,66.51,52.4,34.46,65.61,72.56,59.23,68.87,21.06,40.81,55.44,60.68,70.24,54.76,68.36,66.0,54.14,33.55,63.49,64.23,32.69,69.65,27.94,43.46,57.37,68.11,75.6,63.46,69.49,72.4,65.83,35.86,65.2,83.97,68.42,69.38,24.96,53.42,64.98,78.36,83.62,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
meta-llama/Meta-Llama-3-8B (few-shot),2.33,2.73,8030.0,128.0,8192,1046.19,True,False,51.29,66.35,46.31,29.09,25.7,55.65,65.44,59.79,65.16,18.74,56.2,66.91,61.16,73.63,24.99,42.57,79.74,75.11,60.36,39.37,28.24,55.29,65.72,59.73,64.81,18.56,35.86,51.39,26.49,44.41,49.87,66.15,61.48,47.65,61.58,50.1,21.2,52.29,19.65,56.66,74.98,53.35,63.38,15.74,33.02,49.25,24.93,42.47,43.85,60.58,50.45,37.62,10.82,48.66,59.26,31.94,65.22,17.53,19.93,39.95,4.52,53.43,19.96,31.78,61.11,58.55,2.02,39.88,71.74,50.34,10.45,33.45,62.26,42.41,30.3,62.28,73.73,62.99,65.17,18.63,36.38,52.08,28.33,45.29,56.4,70.17,56.0,43.49,22.01,56.97,64.61,35.39,68.92,26.93,38.12,53.52,31.37,47.65,64.3,69.26,66.31,58.68,28.18,58.97,82.95,70.38,67.9,21.54,52.54,64.26,41.19,54.78,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,13.3.0,12.6.1,12.6.1,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
ZurichNLP/unsup-simcse-xlm-roberta-base,2.36,999.0,278.0,250.0,512,34520.24,True,False,45.07,63.33,65.1,61.96,26.83,60.41,35.05,29.92,,,,,,,,,71.12,60.88,75.49,74.57,36.69,65.77,38.9,33.55,,,,,,,49.62,62.56,86.56,87.3,80.57,83.03,38.45,67.14,11.38,51.68,47.61,31.5,,,,,,,46.33,62.8,75.27,76.85,3.47,47.14,32.31,7.67,,,,,,,21.2,43.97,84.14,84.82,1.33,48.85,22.95,14.2,22.67,44.07,78.45,83.5,54.92,76.14,40.85,31.82,,,,,,,58.23,72.0,74.5,74.21,34.74,64.18,26.81,11.19,,,,,,,51.46,51.2,85.88,86.21,35.83,65.86,55.52,43.26,,,,,,,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
CohereForAI/aya-expanse-8b (few-shot),2.43,2.33,8028.0,256.0,8192,5581.05,False,False,52.0,66.25,51.32,25.54,18.48,52.18,62.08,52.43,66.18,21.1,41.32,55.43,52.24,68.01,37.67,53.26,78.43,74.54,57.38,29.69,14.52,45.18,63.0,53.14,65.69,19.95,37.32,52.95,38.28,53.7,38.61,51.46,66.55,39.28,63.63,37.25,15.8,51.42,12.3,51.96,71.49,43.26,64.48,17.46,36.48,52.32,35.85,51.83,19.83,41.64,28.98,21.75,4.93,49.69,54.41,24.72,63.45,16.81,10.97,33.51,4.23,49.31,29.07,46.38,68.63,41.26,1.95,42.77,63.06,45.04,11.09,31.37,62.07,37.68,35.14,66.66,68.82,49.15,74.4,31.66,46.76,60.01,60.36,70.23,59.19,71.64,61.29,39.58,33.31,64.35,57.68,22.29,69.05,26.68,44.87,58.71,63.66,72.68,68.71,68.49,66.61,47.49,34.72,66.8,80.48,57.9,71.92,29.79,56.93,67.67,74.42,80.74,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
cardiffnlp/twitter-xlm-roberta-base,2.46,999.0,278.0,250.0,512,34475.2,True,False,45.3,63.22,70.1,64.54,51.74,74.31,27.76,22.01,,,,,,,,,70.69,67.03,72.49,67.03,56.6,76.7,37.63,31.89,,,,,,,48.34,60.68,87.7,85.32,81.41,77.41,55.3,75.77,37.46,67.68,35.93,24.49,,,,,,,35.62,55.4,72.69,73.57,28.72,60.29,31.01,8.46,,,,,,,5.16,23.12,83.96,84.63,1.05,41.31,0.0,0.0,18.78,37.09,77.15,81.92,56.72,77.53,20.91,14.61,,,,,,,63.01,75.21,74.89,73.54,36.6,64.93,5.05,0.65,,,,,,,55.4,52.86,87.09,87.25,39.78,67.21,13.47,6.2,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
senseable/WestLake-7B-v2 (few-shot),2.51,2.5,7242.0,32.0,32768,5992.97,False,False,49.81,66.32,52.61,33.64,19.64,54.22,57.94,48.03,66.67,21.08,57.65,68.08,51.99,66.43,44.44,58.16,67.74,71.89,58.9,42.48,16.52,46.3,59.91,49.41,66.09,19.64,31.76,48.64,45.84,59.27,50.6,66.76,64.37,52.81,62.77,51.8,18.09,52.56,12.25,50.79,69.54,38.34,65.09,17.27,27.33,45.16,41.59,56.02,7.92,32.79,56.71,46.71,3.44,50.18,54.79,21.55,65.39,18.24,9.11,32.06,3.3,44.4,20.01,38.23,67.42,60.87,7.02,49.32,7.03,0.65,13.66,39.45,64.25,46.52,28.59,61.24,68.04,49.64,68.66,19.51,35.37,51.43,47.5,60.41,54.44,69.32,64.38,50.26,26.03,61.88,62.48,25.68,68.16,24.52,33.84,50.24,50.99,63.11,67.78,72.29,70.62,58.92,30.99,62.2,76.72,49.56,70.76,24.95,44.11,57.76,69.2,76.75,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,12.6.1,12.10.8,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
