model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.53@@1.53,,,200000.0,✓,✗,98.19 ± 0.95 / 99.09 ± 0.48@@98.18653085341586,70.23 ± 2.49 / 62.21 ± 3.57@@70.22605738741092,33.46 ± 1.99 / 53.61 ± 2.24@@33.4562466143698,65.36 ± 0.83 / 31.79 ± 1.23@@65.35682095720281,65.85 ± 0.08 / 14.58 ± 0.18@@65.8467778377235,87.14 ± 2.04 / 90.51 ± 1.54@@87.13563137670054,67.37 ± 2.53 / 75.23 ± 1.93@@67.36759037171993,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.8.1@@150801,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,131072.0,✓,✗,94.71 ± 0.51 / 97.35 ± 0.26@@94.70722374699048,68.16 ± 1.97 / 62.15 ± 2.31@@68.16048649437094,40.63 ± 1.70 / 63.78 ± 1.64@@40.62918065084098,65.10 ± 0.97 / 33.68 ± 0.94@@65.09773817604189,67.24 ± 0.14 / 19.76 ± 0.35@@67.23563273379114,70.68 ± 0.70 / 77.99 ± 0.54@@70.68053886233162,75.70 ± 1.20 / 81.62 ± 0.93@@75.69662198397621,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.53@@1.53,,,200000.0,✓,✗,89.83 ± 1.71 / 94.71 ± 0.91@@89.82825055562304,73.35 ± 3.04 / 69.37 ± 3.29@@73.34777277240022,41.76 ± 3.91 / 66.85 ± 1.96@@41.76032575022618,62.19 ± 0.88 / 25.82 ± 1.00@@62.194143379333,66.87 ± 0.14 / 16.69 ± 0.25@@66.87386335106567,72.54 ± 2.33 / 79.57 ± 1.77@@72.54139381204105,70.26 ± 2.11 / 77.66 ± 1.58@@70.26445739621342,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,131072.0,✓,✗,94.72 ± 0.33 / 97.35 ± 0.17@@94.71689455923702,67.60 ± 2.27 / 61.48 ± 2.54@@67.59533980026144,40.31 ± 1.41 / 62.94 ± 1.47@@40.307186140955515,70.78 ± 1.15 / 40.93 ± 1.07@@70.78358081823457,67.81 ± 0.13 / 22.33 ± 0.31@@67.80969211453339,69.42 ± 0.53 / 76.98 ± 0.42@@69.42342618528924,70.59 ± 1.72 / 77.51 ± 1.35@@70.59367768572487,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.56@@1.56,23572403200.0,131072.0,32768.0,✓,✗,93.83 ± 0.59 / 96.91 ± 0.29@@93.83439200145904,70.22 ± 1.96 / 63.83 ± 2.81@@70.22108776521281,32.02 ± 1.93 / 53.55 ± 1.72@@32.02179154156769,72.43 ± 1.36 / 42.12 ± 1.13@@72.43162058606498,66.38 ± 0.08 / 16.63 ± 0.16@@66.38407493068371,63.54 ± 0.84 / 72.60 ± 0.65@@63.542842927064605,83.43 ± 1.25 / 87.56 ± 0.94@@83.43494866423896,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.56@@1.56,70553706496.0,128256.0,8192.0,✓,✗,94.44 ± 0.62 / 97.19 ± 0.32@@94.43603414781207,68.67 ± 1.61 / 65.40 ± 1.45@@68.66564322037323,42.85 ± 3.39 / 67.28 ± 2.99@@42.846424359691696,76.09 ± 1.41 / 47.07 ± 1.27@@76.08890405054747,67.30 ± 0.68 / 22.57 ± 1.00@@67.2976761960308,63.43 ± 0.85 / 72.46 ± 0.64@@63.42934881008937,57.57 ± 3.13 / 66.98 ± 2.65@@57.57183702488074,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.57@@1.57,,256128.0,1048576.0,✓,✗,94.95 ± 1.03 / 97.43 ± 0.54@@94.95387144844315,57.73 ± 2.47 / 46.77 ± 2.42@@57.73213011217828,41.64 ± 3.18 / 66.52 ± 1.62@@41.639771980687115,65.88 ± 1.18 / 30.07 ± 1.42@@65.8828683845575,66.22 ± 0.14 / 14.42 ± 0.23@@66.21532481629401,81.84 ± 2.27 / 86.41 ± 1.72@@81.84062651772457,68.88 ± 1.87 / 76.29 ± 1.47@@68.87893781387304,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.57@@1.57,32763876352.0,152064.0,40960.0,✓,✗,94.34 ± 0.69 / 97.16 ± 0.35@@94.33796088355825,71.24 ± 2.09 / 68.18 ± 1.83@@71.24310195777322,34.96 ± 1.45 / 57.28 ± 1.19@@34.961862996528254,67.76 ± 0.78 / 39.10 ± 0.87@@67.75833674127287,64.96 ± 0.10 / 12.83 ± 0.18@@64.95523283083457,79.74 ± 0.62 / 84.76 ± 0.47@@79.73548799761416,69.45 ± 0.94 / 76.87 ± 0.72@@69.45474223007196,15.7.1.dev0@@150701,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.58@@1.58,,,1047576.0,✓,✗,96.02 ± 0.82 / 97.99 ± 0.42@@96.01845533561523,59.17 ± 1.88 / 41.18 ± 1.72@@59.16624271754423,42.95 ± 2.63 / 67.37 ± 1.33@@42.95353784209356,64.37 ± 0.75 / 26.93 ± 0.82@@64.36979613623457,66.73 ± 0.14 / 16.23 ± 0.24@@66.73413207288831,72.99 ± 1.60 / 79.80 ± 1.21@@72.98647459824588,72.80 ± 1.73 / 79.30 ± 1.28@@72.80143038844929,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B (few-shot)</a>,🤔,1.58@@1.58,30532122624.0,151936.0,40960.0,✓,✗,92.96 ± 0.60 / 96.48 ± 0.30@@92.96245458005063,70.71 ± 1.94 / 67.56 ± 1.71@@70.70666020640077,37.00 ± 1.25 / 60.45 ± 0.81@@36.99567962182553,71.08 ± 0.49 / 42.00 ± 0.60@@71.08210501480146,65.59 ± 0.10 / 14.77 ± 0.13@@65.58526604640065,75.91 ± 0.81 / 81.93 ± 0.61@@75.90990614115539,62.17 ± 1.03 / 71.52 ± 0.79@@62.17030873712247,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
