model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,1.67@@1.67,,,200000.0,✓,✗,93.14 ± 1.27 / 96.52 ± 0.65@@93.13651461664347,68.93 ± 2.76 / 61.70 ± 2.35@@68.92909405605222,39.07 ± 4.28 / 64.89 ± 2.24@@39.06577887525465,63.35 ± 1.00 / 30.44 ± 1.18@@63.34621849465375,65.49 ± 0.16 / 13.84 ± 0.24@@65.48882625531405,73.40 ± 2.10 / 80.20 ± 1.61@@73.40405146321287,53.27 ± 2.76 / 64.65 ± 2.07@@53.26968437947103,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",📝,1.67@@1.67,,200019.0,128000.0,✓,✗,92.88 ± 1.37 / 96.36 ± 0.71@@92.88383512012162,58.85 ± 2.72 / 52.10 ± 2.72@@58.85070940888032,41.60 ± 3.34 / 62.05 ± 2.32@@41.6033776395203,71.95 ± 1.63 / 38.21 ± 1.77@@71.9491786470527,66.98 ± 0.14 / 16.53 ± 0.29@@66.98082837741822,58.35 ± 3.16 / 68.52 ± 2.42@@58.35188984275735,65.77 ± 2.42 / 73.87 ± 1.85@@65.76525056928507,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,1.68@@1.68,32296476672.0,256000.0,8192.0,✗,✗,93.26 ± 0.88 / 96.56 ± 0.47@@93.26215261798009,60.13 ± 1.98 / 51.40 ± 2.89@@60.12564785983041,38.15 ± 2.70 / 68.03 ± 1.09@@38.15273231497321,68.53 ± 1.03 / 38.44 ± 0.79@@68.52838398392299,67.24 ± 0.14 / 19.66 ± 0.29@@67.23712540260749,58.81 ± 0.78 / 69.01 ± 0.60@@58.81075515073666,73.97 ± 0.94 / 80.30 ± 0.74@@73.96875761683773,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
"<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (few-shot, val)</a>",📝,1.68@@1.68,12187325040.0,262144.0,128000.0,✓,✗,96.76 ± 1.10 / 98.38 ± 0.55@@96.76349648803149,72.66 ± 2.22 / 64.28 ± 2.92@@72.6594016421781,34.63 ± 4.06 / 63.17 ± 2.25@@34.625577110755245,66.98 ± 2.15 / 37.35 ± 1.97@@66.97893194472472,66.96 ± 0.18 / 18.57 ± 0.37@@66.96131999837235,57.31 ± 2.34 / 68.32 ± 1.75@@57.31358259763057,58.27 ± 1.81 / 68.12 ± 1.46@@58.27237119684497,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,1.69@@1.69,,100256.0,8191.0,✓,✗,91.75 ± 1.52 / 95.75 ± 0.80@@91.75365150915043,56.74 ± 2.93 / 42.40 ± 2.43@@56.73858778721732,40.20 ± 3.56 / 66.53 ± 1.74@@40.202115079837704,68.23 ± 1.22 / 34.95 ± 1.78@@68.23357985732049,66.54 ± 0.12 / 16.07 ± 0.23@@66.53922599973157,66.78 ± 1.87 / 75.23 ± 1.40@@66.77631238392067,66.59 ± 1.96 / 74.30 ± 1.43@@66.59089208263312,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.69@@1.69,12187325040.0,262144.0,,✓,✗,93.18 ± 0.52 / 96.58 ± 0.26@@93.18170522018609,65.14 ± 1.48 / 59.29 ± 2.18@@65.13519279731726,39.65 ± 2.12 / 65.71 ± 1.19@@39.654429171900915,67.76 ± 1.21 / 37.42 ± 0.58@@67.76150078161638,66.25 ± 0.08 / 17.16 ± 0.17@@66.24660206609406,56.73 ± 0.69 / 67.39 ± 0.52@@56.72535944716122,64.82 ± 1.90 / 73.44 ± 1.48@@64.8215373010466,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (few-shot, val)</a>",📝,1.70@@1.70,8000000000.0,256128.0,1048576.0,✓,✗,95.45 ± 1.60 / 97.72 ± 0.80@@95.45201127628357,69.98 ± 1.98 / 61.77 ± 2.65@@69.98136489118401,40.97 ± 4.87 / 66.47 ± 2.40@@40.96783208391598,68.95 ± 1.19 / 32.47 ± 2.56@@68.95361936650728,66.74 ± 0.24 / 17.69 ± 0.34@@66.74210745142773,54.44 ± 2.09 / 65.35 ± 1.59@@54.4368882506943,52.48 ± 1.33 / 63.44 ± 1.08@@52.48293448234291,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.71@@1.71,27432406640.0,262144.0,,✓,✗,93.42 ± 0.43 / 96.66 ± 0.23@@93.42415695606059,51.12 ± 4.79 / 49.83 ± 4.74@@51.12150218704974,38.53 ± 2.10 / 63.96 ± 2.16@@38.53107738975075,76.08 ± 1.83 / 46.65 ± 1.52@@76.07720082754913,67.91 ± 0.73 / 24.34 ± 1.09@@67.90708468586672,65.84 ± 1.00 / 74.37 ± 0.75@@65.83784387202682,61.86 ± 2.25 / 70.92 ± 1.80@@61.864698345363664,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.71@@1.71,,,1047576.0,✓,✗,96.23 ± 0.87 / 98.11 ± 0.44@@96.2312678117905,53.77 ± 1.80 / 38.48 ± 1.74@@53.77083872783067,40.55 ± 3.20 / 65.57 ± 1.56@@40.551970638374286,68.57 ± 1.09 / 34.94 ± 1.37@@68.57107848149488,66.60 ± 0.14 / 15.86 ± 0.21@@66.60174923250452,70.43 ± 2.04 / 77.70 ± 1.54@@70.43319609427613,60.39 ± 2.75 / 69.45 ± 2.07@@60.38750025895634,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-mini-beta@high (zero-shot, val)</a>",🤔,1.71@@1.71,,,131072.0,✓,✗,94.12 ± 1.21 / 97.00 ± 0.62@@94.11967283266381,58.73 ± 2.45 / 51.31 ± 2.57@@58.7252590006168,36.80 ± 3.17 / 61.33 ± 1.50@@36.803771600717766,68.82 ± 1.06 / 36.68 ± 1.58@@68.81922727782879,66.30 ± 0.13 / 14.57 ± 0.22@@66.30020716227591,75.90 ± 1.76 / 81.84 ± 1.38@@75.89924538502407,53.64 ± 2.19 / 64.96 ± 1.64@@53.64122139004158,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
"<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (few-shot, val)</a>",📝,1.72@@1.72,12200000000.0,262144.0,128000.0,✓,✗,96.93 ± 1.04 / 98.46 ± 0.52@@96.92953982766753,69.52 ± 3.04 / 62.13 ± 2.83@@69.52109335043839,35.12 ± 3.90 / 61.06 ± 2.66@@35.122132459395026,67.21 ± 2.03 / 36.84 ± 1.42@@67.20529956022543,66.85 ± 0.21 / 18.37 ± 0.36@@66.85380258364603,54.43 ± 2.03 / 66.05 ± 1.48@@54.42623322389487,59.18 ± 3.48 / 68.79 ± 2.74@@59.17888228155309,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.73@@1.73,,256128.0,2097152.0,✓,✗,91.22 ± 1.20 / 95.53 ± 0.62@@91.22007866107388,63.52 ± 1.49 / 45.41 ± 1.35@@63.52026042176787,36.90 ± 3.75 / 64.46 ± 1.83@@36.89583276651241,65.12 ± 1.00 / 29.58 ± 1.59@@65.12296805019636,66.65 ± 0.15 / 17.29 ± 0.22@@66.6513019404374,64.13 ± 2.37 / 73.12 ± 1.79@@64.13119049371339,59.78 ± 2.13 / 68.87 ± 1.61@@59.78001067792715,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024 (few-shot)</a>,📝,1.76@@1.76,32296476672.0,256000.0,131072.0,✗,✗,90.93 ± 0.85 / 95.34 ± 0.44@@90.93177323486033,69.56 ± 1.43 / 61.05 ± 2.50@@69.55863332596267,40.65 ± 2.66 / 68.91 ± 1.64@@40.64512109550883,70.14 ± 1.18 / 41.17 ± 1.01@@70.14035156993383,66.91 ± 0.07 / 18.84 ± 0.17@@66.90532185690245,51.44 ± 0.95 / 63.12 ± 0.77@@51.43634525264248,48.85 ± 2.04 / 59.82 ± 1.93@@48.845331213364176,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (few-shot, val)</a>",🤔,1.76@@1.76,,256128.0,1048576.0,✓,✗,75.55 ± 25.53 / 87.74 ± 12.77@@75.5520576141367,54.37 ± 21.85 / 52.16 ± 21.05@@54.3680273840076,40.41 ± 13.69 / 67.74 ± 6.79@@40.41475507195827,56.66 ± 18.19 / 31.36 ± 10.34@@56.66060330737038,67.40 ± 0.15 / 18.55 ± 0.62@@67.39717047661543,79.43 ± 2.12 / 84.65 ± 1.58@@79.42845975785275,72.26 ± 2.17 / 78.95 ± 1.66@@72.26373045921488,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.77@@1.77,,256128.0,1048576.0,✓,✗,91.30 ± 1.45 / 95.50 ± 0.77@@91.30101607684246,56.54 ± 1.74 / 48.19 ± 1.88@@56.53767030733903,34.38 ± 3.50 / 65.22 ± 1.79@@34.3779922618821,66.44 ± 1.15 / 29.89 ± 1.33@@66.43604831552047,66.66 ± 0.15 / 16.20 ± 0.30@@66.66251065675169,66.68 ± 2.28 / 75.04 ± 1.75@@66.68016166103826,66.23 ± 2.41 / 74.61 ± 1.83@@66.23136947661695,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (zero-shot, val)</a>",📝,1.78@@1.78,,100256.0,8191.0,✓,✗,95.46 ± 1.14 / 97.70 ± 0.57@@95.46115731503131,54.01 ± 2.05 / 33.09 ± 1.65@@54.01262943489746,34.37 ± 3.38 / 65.35 ± 1.55@@34.37187518615205,73.01 ± 0.97 / 41.46 ± 1.50@@73.01430486164448,67.30 ± 0.20 / 18.36 ± 0.32@@67.30306471465155,65.40 ± 2.20 / 74.02 ± 1.67@@65.39751439656564,53.16 ± 2.27 / 64.77 ± 1.71@@53.159216548594145,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,1.80@@1.80,,,131072.0,✓,✗,92.09 ± 1.35 / 95.96 ± 0.69@@92.08572177225592,52.81 ± 2.60 / 48.28 ± 2.69@@52.81029717775889,32.43 ± 3.15 / 54.07 ± 1.62@@32.43128426486264,70.02 ± 1.04 / 36.67 ± 1.62@@70.02386989565443,66.51 ± 0.15 / 14.97 ± 0.24@@66.50683667277917,64.62 ± 1.78 / 73.44 ± 1.43@@64.62304781921976,66.28 ± 1.67 / 73.83 ± 1.33@@66.27976541408569,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (few-shot)</a>,📝,1.81@@1.81,11168796672.0,32128.0,32768.0,✓,✓,94.36 ± 0.30 / 97.16 ± 0.15@@94.36474849130548,62.20 ± 1.93 / 56.14 ± 2.51@@62.202069538708905,35.77 ± 1.94 / 65.80 ± 1.28@@35.77411705928728,74.61 ± 0.61 / 43.94 ± 0.81@@74.61002130420515,66.45 ± 0.10 / 16.93 ± 0.17@@66.44870135525707,42.43 ± 0.81 / 56.82 ± 0.61@@42.43115158948449,60.92 ± 0.91 / 70.56 ± 0.70@@60.9234043569815,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,1.81@@1.81,12187325040.0,262144.0,,✓,✗,92.17 ± 1.28 / 95.97 ± 0.69@@92.16885418237807,57.96 ± 2.04 / 55.59 ± 2.18@@57.95817353580662,39.85 ± 2.98 / 68.03 ± 2.12@@39.84670428785203,73.09 ± 3.12 / 45.61 ± 2.03@@73.08750886406625,67.16 ± 1.30 / 23.21 ± 1.78@@67.15752890799195,57.97 ± 0.92 / 68.28 ± 0.67@@57.97157275864,43.20 ± 4.97 / 55.77 ± 4.39@@43.20117367538042,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,1.83@@1.83,,200019.0,8191.0,✓,✗,88.50 ± 1.32 / 93.98 ± 0.72@@88.50295398743432,50.74 ± 1.79 / 32.49 ± 1.22@@50.74136601961949,41.36 ± 3.43 / 67.51 ± 1.65@@41.35637358748562,68.91 ± 1.10 / 35.74 ± 1.47@@68.91149307619521,66.76 ± 0.13 / 16.04 ± 0.25@@66.76028234185651,54.39 ± 3.23 / 65.74 ± 2.45@@54.38553428246665,58.76 ± 2.76 / 67.93 ± 2.14@@58.75782962166777,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Instruct'>tiiuae/Falcon3-10B-Instruct (few-shot)</a>,📝,1.83@@1.83,10305653760.0,131072.0,32768.0,✓,✗,94.51 ± 0.52 / 97.24 ± 0.26@@94.51144966468235,52.91 ± 1.66 / 51.66 ± 1.62@@52.913528964902746,34.10 ± 2.35 / 59.81 ± 2.48@@34.10491497121866,74.33 ± 1.41 / 42.69 ± 0.93@@74.3251752641631,66.96 ± 0.20 / 20.33 ± 0.40@@66.96432187163737,54.13 ± 0.89 / 65.58 ± 0.67@@54.13156608938675,57.39 ± 0.98 / 67.97 ± 0.73@@57.39219041917638,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/google/gemma-2-27b-it'>google/gemma-2-27b-it (few-shot)</a>,📝,1.83@@1.83,27227128320.0,256000.0,8192.0,✓,✗,94.98 ± 0.51 / 97.48 ± 0.26@@94.9787000891034,41.74 ± 2.12 / 35.12 ± 2.43@@41.742962533485944,40.21 ± 1.38 / 66.44 ± 0.83@@40.21105498512092,69.35 ± 1.01 / 38.08 ± 0.83@@69.35073835797164,66.58 ± 0.07 / 18.28 ± 0.18@@66.58011005318258,60.46 ± 0.46 / 70.06 ± 0.35@@60.46329747159716,67.23 ± 1.33 / 75.13 ± 1.00@@67.23155884252627,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,1.84@@1.84,,256128.0,1048576.0,✓,✗,90.77 ± 1.29 / 95.34 ± 0.66@@90.76602869026345,57.10 ± 1.68 / 40.34 ± 1.46@@57.104884385518616,38.72 ± 4.21 / 65.23 ± 2.10@@38.716165086090434,63.25 ± 1.12 / 29.28 ± 1.65@@63.24592121220178,66.53 ± 0.14 / 16.89 ± 0.24@@66.53362703043967,58.50 ± 2.35 / 68.79 ± 1.81@@58.49713364050777,52.39 ± 2.05 / 63.16 ± 1.76@@52.391524117704044,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot)</a>,📝,1.84@@1.84,28410968576.0,256000.0,8192.0,✓,✗,94.96 ± 0.46 / 97.47 ± 0.23@@94.95904876936547,41.06 ± 1.71 / 34.60 ± 1.76@@41.0623650934261,40.65 ± 1.70 / 66.79 ± 0.83@@40.64605031283951,68.62 ± 0.99 / 37.54 ± 0.70@@68.62278101647505,66.57 ± 0.09 / 18.17 ± 0.16@@66.57360034994781,60.65 ± 0.42 / 70.35 ± 0.32@@60.646714286131484,67.49 ± 0.99 / 75.30 ± 0.77@@67.49020447943963,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (few-shot, val)</a>",📝,1.86@@1.86,,,1047576.0,✓,✗,96.70 ± 1.19 / 98.34 ± 0.59@@96.70362056522961,57.18 ± 2.00 / 45.06 ± 2.38@@57.176340639118195,34.12 ± 3.08 / 58.81 ± 1.88@@34.121830486524765,66.49 ± 1.72 / 33.71 ± 2.01@@66.48572248013299,66.38 ± 0.18 / 16.37 ± 0.38@@66.37572947423905,52.52 ± 3.31 / 63.36 ± 2.61@@52.52288510521538,53.37 ± 3.29 / 64.53 ± 2.51@@53.37462771352129,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407 (few-shot)</a>,📝,1.86@@1.86,12247782400.0,131072.0,131072.0,✓,✗,93.29 ± 0.57 / 96.63 ± 0.29@@93.29372850274368,60.80 ± 1.30 / 53.34 ± 1.68@@60.7971287830375,37.09 ± 2.84 / 61.14 ± 3.51@@37.092808326104695,73.00 ± 1.52 / 42.56 ± 1.20@@72.99769809259502,66.59 ± 0.09 / 17.37 ± 0.19@@66.59210702986456,46.52 ± 0.88 / 59.40 ± 0.68@@46.523928565768145,49.48 ± 1.32 / 60.80 ± 1.10@@49.48101946449569,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot)</a>,📝,1.86@@1.86,46702792704.0,32000.0,32768.0,✓,✗,93.07 ± 0.54 / 96.49 ± 0.28@@93.06633670654617,54.98 ± 1.71 / 47.29 ± 1.75@@54.98488213874345,43.24 ± 2.41 / 68.19 ± 1.65@@43.24179227233989,69.76 ± 1.84 / 37.06 ± 0.88@@69.75768894463229,66.49 ± 0.10 / 17.37 ± 0.19@@66.48933381977258,49.30 ± 0.76 / 61.89 ± 0.60@@49.299378898137824,48.62 ± 1.69 / 60.95 ± 1.34@@48.62344656950545,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,1.87@@1.87,68976648192.0,32000.0,32764.0,✓,✗,93.56 ± 0.59 / 96.77 ± 0.29@@93.55752386773905,51.89 ± 2.64 / 40.46 ± 2.34@@51.88830831690524,38.67 ± 4.11 / 68.50 ± 2.27@@38.67467821081953,65.35 ± 1.27 / 32.10 ± 2.08@@65.34550389152446,66.26 ± 0.10 / 15.88 ± 0.11@@66.26461429957999,55.46 ± 0.95 / 66.53 ± 0.70@@55.46475560014786,57.99 ± 2.90 / 67.90 ± 2.35@@57.98725269235824,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1 (few-shot)</a>,🧠,1.88@@1.88,46702792704.0,32000.0,32768.0,✓,✗,94.09 ± 0.76 / 97.01 ± 0.40@@94.08519070961617,57.95 ± 1.63 / 55.40 ± 1.71@@57.948000055796015,42.47 ± 2.67 / 70.94 ± 1.30@@42.47029625434361,74.48 ± 2.40 / 48.83 ± 1.66@@74.48200797594673,67.51 ± 0.69 / 23.54 ± 0.96@@67.51087263110094,48.62 ± 0.93 / 61.32 ± 0.71@@48.62064768400972,30.71 ± 4.23 / 46.65 ± 3.62@@30.713338185427414,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,1.89@@1.89,8030261248.0,128256.0,131072.0,✓,✗,93.78 ± 0.46 / 96.87 ± 0.23@@93.78082706585985,49.06 ± 2.04 / 41.30 ± 2.18@@49.05527170220315,36.78 ± 2.11 / 61.28 ± 2.01@@36.77622103789061,68.38 ± 1.62 / 39.79 ± 1.06@@68.381144500658,66.44 ± 0.09 / 18.13 ± 0.38@@66.44220286456402,53.02 ± 1.28 / 64.65 ± 0.98@@53.01541777366688,60.77 ± 0.92 / 70.56 ± 0.72@@60.769825952309596,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat (few-shot)</a>,📝,1.91@@1.91,14167290880.0,152064.0,32768.0,✗,✗,93.24 ± 0.65 / 96.57 ± 0.33@@93.23983751018487,54.90 ± 1.51 / 46.77 ± 2.40@@54.900694333131874,38.70 ± 2.36 / 66.78 ± 1.60@@38.69567712739544,68.62 ± 1.26 / 39.10 ± 0.81@@68.62226823499931,65.97 ± 0.07 / 16.84 ± 0.29@@65.96544444124447,45.08 ± 0.75 / 58.73 ± 0.57@@45.07920258796422,51.10 ± 0.79 / 63.17 ± 0.54@@51.0978734365084,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0 (few-shot)</a>,🧠,1.91@@1.91,10731524096.0,32000.0,4096.0,✓,✗,93.91 ± 0.40 / 96.91 ± 0.20@@93.91443947174487,59.02 ± 1.81 / 55.75 ± 1.52@@59.02319266231161,24.08 ± 4.32 / 54.10 ± 5.30@@24.082285781667014,77.54 ± 1.05 / 48.92 ± 1.04@@77.54028957854254,66.37 ± 1.08 / 21.90 ± 1.61@@66.3736946528661,39.26 ± 1.02 / 54.12 ± 0.84@@39.264609570675354,63.24 ± 1.10 / 71.23 ± 0.95@@63.23990558009236,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,1.92@@1.92,68976653312.0,32000.0,4096.0,✓,✗,93.52 ± 0.58 / 96.71 ± 0.31@@93.52223760679671,58.89 ± 1.59 / 56.87 ± 1.77@@58.89087902760842,31.41 ± 5.04 / 61.79 ± 3.24@@31.412443105641998,75.37 ± 2.26 / 47.23 ± 2.10@@75.37033702680112,67.22 ± 0.58 / 23.25 ± 0.80@@67.22283700772095,47.75 ± 0.99 / 60.65 ± 0.74@@47.74827589382752,42.09 ± 3.61 / 55.00 ± 2.87@@42.08514882399819,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot)</a>,📝,1.93@@1.93,8030326784.0,128264.0,131072.0,✓,✗,93.76 ± 0.43 / 96.86 ± 0.22@@93.76292083363738,53.17 ± 2.08 / 52.36 ± 2.23@@53.16736281144896,41.10 ± 1.94 / 67.27 ± 1.69@@41.0987403133974,71.97 ± 2.42 / 43.47 ± 1.66@@71.96652232521497,67.20 ± 0.33 / 22.39 ± 0.50@@67.20269384095445,40.51 ± 0.90 / 54.95 ± 0.72@@40.50996952713709,42.89 ± 1.03 / 56.51 ± 0.84@@42.89352712695922,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
