model,nlu_rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,fosent_version,fone_version,scala_fo_version,foqa_version,speed_version
KennethEnevoldsen/dfm-sentence-encoder-medium,3.81,124.0,50.0,512,14997.83,True,False,10.17,30.26,84.92,85.65,2.96,45.42,20.08,14.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),3.83,7242.0,32.0,32766,633.64,False,False,15.85,36.28,55.42,46.41,1.11,36.79,50.8,33.54,13.3.0,9.3.1,9.3.1,13.0.0,12.9.0
clips/mfaq,3.87,278.0,250.0,128,5591.18,True,False,16.49,34.48,85.86,86.55,0.8,42.37,2.93,2.17,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
KBLab/megatron-bert-base-swedish-cased-125k,3.89,135.0,64.0,512,15762.86,True,False,2.87,19.8,80.61,81.31,9.6,52.3,17.37,11.57,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
mideind/IceBERT-igc,3.9,124.0,50.0,512,12551.45,True,False,12.12,32.6,83.82,84.34,4.93,45.85,7.88,5.17,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
occiglot/occiglot-7b-eu5 (few-shot),3.91,7242.0,32.0,32768,2219.46,True,False,13.6,34.63,58.67,58.47,0.0,33.26,55.82,40.95,13.3.0,12.5.2,12.1.0,13.0.0,12.2.0
occiglot/occiglot-7b-eu5-instruct (few-shot),3.91,7242.0,32.0,32768,2087.8,False,False,8.21,27.79,60.37,59.38,0.0,33.26,60.55,43.69,13.3.0,12.5.2,12.3.1,13.0.0,12.3.1
sentence-transformers/stsb-xlm-r-multilingual,3.93,278.0,250.0,512,15039.9,True,False,18.07,39.76,82.97,83.62,2.93,46.51,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
KBLab/megatron-bert-base-swedish-cased-600k,3.95,135.0,64.0,512,15725.82,True,False,7.39,27.62,81.02,81.74,4.0,50.51,20.39,12.98,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
vesteinn/IceBERT,3.95,124.0,50.0,512,12360.45,True,False,8.64,29.8,87.13,87.7,3.66,40.81,8.05,5.07,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
NbAiLab/nb-roberta-base-scandinavian,3.95,125.0,50.0,512,14050.9,True,False,4.8,21.63,86.1,86.75,6.28,49.62,14.41,9.89,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
mideind/IceBERT-mC4-is,3.95,124.0,50.0,512,12307.57,True,False,1.73,17.03,88.44,89.11,11.83,48.95,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
AI-Nordics/bert-large-swedish-cased,3.97,335.0,31.0,512,7199.47,True,False,2.93,22.3,83.22,83.91,6.78,51.53,22.0,15.94,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
KBLab/megatron-bert-large-swedish-cased-165k,3.97,370.0,64.0,512,7137.91,True,False,1.22,25.53,82.76,83.43,7.58,52.05,23.78,16.13,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
Geotrend/bert-base-da-cased,3.98,104.0,23.0,512,15432.35,True,False,2.99,22.15,86.62,87.31,3.64,49.77,21.44,13.84,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
senseable/WestLake-7B-v2 (few-shot),3.98,7242.0,32.0,32768,5992.97,False,False,20.01,38.23,67.42,60.87,7.02,49.32,7.03,0.65,13.3.0,12.6.1,12.6.1,13.0.0,12.6.1
KBLab/megatron-bert-large-swedish-cased-110k,3.99,370.0,64.0,512,7074.64,True,False,6.99,31.03,82.36,82.94,5.2,50.88,4.33,2.65,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
MaLA-LM/emma-500-llama2-7b (few-shot),3.99,6738.0,32.0,4096,6275.17,True,False,14.19,28.15,40.18,39.95,0.31,41.35,60.78,41.6,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-2-7b-chat-hf (few-shot),3.99,6738.0,32.0,4096,2643.05,False,False,13.24,38.49,59.77,56.97,-0.54,36.94,46.21,31.87,13.3.0,9.3.1,9.3.1,13.0.0,9.3.1
"claude-3-5-haiku-20241022 (zero-shot, val)",4.07,,,200000,276.86,True,False,-3.58,14.94,51.06,30.27,4.1,37.28,72.97,45.29,14.0.2,14.0.3,14.0.3,14.0.3,14.0.1
KBLab/bert-base-swedish-cased-new,4.07,135.0,64.0,512,15932.9,True,False,0.92,23.25,84.02,84.66,5.65,49.17,10.87,7.14,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
sentence-transformers/paraphrase-xlm-r-multilingual-v1,4.1,278.0,250.0,512,20154.46,True,False,12.97,31.99,80.92,81.63,1.19,43.13,0.0,0.0,13.3.0,12.6.1,0.0.0,13.0.0,12.8.0
sentence-transformers/distiluse-base-multilingual-cased,4.11,135.0,120.0,512,19205.51,True,False,10.41,34.36,77.16,78.0,4.09,47.26,0.0,0.0,13.3.0,12.6.1,0.0.0,13.0.0,0.0.0
google-bert/bert-base-multilingual-uncased,4.13,167.0,106.0,512,13992.5,True,False,2.33,20.95,73.06,72.61,5.48,49.18,18.32,11.29,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
flax-community/nordic-roberta-wiki,4.13,125.0,50.0,512,16226.52,True,False,5.78,24.21,82.64,83.27,8.03,51.96,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4.14,278.0,250.0,512,15099.94,True,False,12.82,33.99,81.7,82.18,0.25,44.81,0.0,0.0,13.3.0,12.7.0,0.0.0,13.0.0,0.0.0
sentence-transformers/quora-distilbert-multilingual,4.16,135.0,120.0,512,26458.45,True,False,9.77,32.64,82.91,83.43,1.67,46.2,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,4.16,135.0,120.0,512,33753.4,True,False,9.77,32.64,82.91,83.43,1.67,46.2,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.8.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4.17,118.0,250.0,512,29200.68,True,False,6.35,29.58,82.24,82.84,2.84,50.47,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.8.0
sentence-transformers/distiluse-base-multilingual-cased-v2,4.19,135.0,120.0,512,33246.61,True,False,9.59,32.95,77.0,77.85,4.09,47.26,0.0,0.0,13.3.0,12.6.1,0.0.0,13.0.0,12.8.0
patrickvonplaten/norwegian-roberta-base,4.19,125.0,50.0,512,15698.18,True,False,1.68,18.08,82.57,83.35,5.74,48.75,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
Geotrend/distilbert-base-en-no-cased,4.19,69.0,33.0,512,26597.05,True,False,4.4,25.01,82.05,82.67,3.98,50.53,1.92,0.97,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
KB/bert-base-swedish-cased,4.2,125.0,50.0,512,16181.26,True,False,3.46,20.63,82.76,83.5,3.98,47.46,0.01,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
ibm-granite/granite-3b-code-base-2k (few-shot),4.21,3483.0,49.0,2048,2731.51,True,False,6.24,31.19,60.88,60.02,-0.35,34.5,29.79,18.54,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/distiluse-base-multilingual-cased-v1,4.22,135.0,120.0,512,34041.87,True,False,9.82,36.4,75.63,76.23,3.65,48.34,0.0,0.0,13.3.0,12.6.1,0.0.0,13.0.0,12.8.0
flax-community/swe-roberta-wiki-oscar,4.22,125.0,50.0,512,15436.87,True,False,2.89,27.56,80.52,81.35,6.51,51.81,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
DeepPavlov/rubert-base-cased,4.23,178.0,120.0,512,15785.19,True,False,0.56,29.23,83.15,83.9,3.21,47.97,2.95,1.53,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
Geotrend/distilbert-base-25lang-cased,4.23,109.0,85.0,512,26098.8,True,False,3.9,25.25,83.21,83.81,2.37,48.46,2.54,1.35,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0
vesteinn/DanskBERT,4.23,124.0,50.0,512,15748.62,True,False,2.02,21.25,85.04,85.72,4.48,44.45,0.21,0.15,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
DDSC/roberta-base-danish,4.23,125.0,50.0,512,15003.66,True,False,2.88,23.61,80.21,80.8,1.1,48.16,11.84,7.95,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
cardiffnlp/twitter-xlm-roberta-base,4.23,278.0,250.0,512,34475.2,True,False,5.16,23.12,83.96,84.63,1.05,41.31,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
deepset/gbert-base,4.23,111.0,31.0,512,37267.99,True,False,3.5,26.43,80.48,81.17,0.6,45.78,4.63,2.63,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
KBLab/bert-base-swedish-cased,4.28,125.0,50.0,512,16164.04,True,False,3.46,20.63,79.99,80.76,1.32,49.75,0.13,0.1,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
Twitter/twhin-bert-large,4.29,562.0,250.0,512,9706.97,True,False,-0.64,22.47,84.73,85.19,1.37,39.78,5.74,4.15,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
Twitter/twhin-bert-base,4.29,279.0,250.0,512,11513.72,True,False,3.05,27.7,84.0,84.83,1.94,46.27,0.02,0.02,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0
pdelobelle/robbert-v2-dutch-base,4.31,117.0,40.0,512,15480.92,True,False,3.32,22.45,78.59,79.35,0.65,47.4,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
microsoft/xlm-align-base,4.32,278.0,250.0,512,14744.17,True,False,2.54,19.42,85.97,86.52,0.02,44.65,1.0,0.72,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
FacebookAI/roberta-base,4.32,125.0,50.0,512,13353.56,True,False,4.85,24.28,81.78,82.55,-1.18,37.68,1.03,0.69,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
dbmdz/bert-base-historic-multilingual-cased,4.33,111.0,32.0,512,20046.97,True,False,0.9,26.49,80.45,81.32,2.52,47.78,1.12,0.58,13.3.0,0.0.0,0.0.0,13.0.0,12.8.0
dbmdz/bert-medium-historic-multilingual-cased,4.33,42.0,32.0,512,24291.12,True,False,3.06,25.95,80.58,81.29,1.58,49.16,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
microsoft/infoxlm-base,4.38,278.0,250.0,512,34735.22,True,False,0.37,16.66,85.58,86.23,0.35,43.55,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),4.4,3374.0,49.0,4096,10246.27,True,False,7.44,28.9,45.56,42.78,0.92,40.29,31.49,20.82,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
DDSC/roberta-base-scandinavian,4.4,125.0,50.0,512,14490.87,True,False,2.04,20.52,63.86,64.42,0.73,49.36,15.52,10.57,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
ibm-granite/granite-3b-code-instruct-2k (few-shot),4.41,3483.0,49.0,2048,9058.91,True,False,3.8,28.41,56.88,57.68,-0.21,34.2,24.11,13.72,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
Maltehb/aelaectra-danish-electra-small-uncased,4.41,14.0,32.0,128,5995.22,True,False,8.7,31.07,62.07,61.72,5.11,47.64,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
ltg/norbert2,4.42,125.0,50.0,512,15523.39,True,False,2.58,27.61,60.57,60.42,4.16,47.13,14.8,7.84,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
3ebdola/Dialectal-Arabic-XLM-R-Base,4.44,278.0,250.0,512,12782.54,True,False,1.49,20.15,73.34,74.24,0.97,44.25,0.01,0.0,13.3.0,12.6.1,12.6.1,13.0.0,12.8.0
KBLab/albert-base-swedish-cased-alpha,4.44,14.0,50.0,512,15925.14,True,False,1.09,22.88,73.8,74.58,0.81,48.11,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
EuropeanParliament/EUBERT,4.48,94.0,66.0,512,20070.41,True,False,0.94,23.64,59.5,58.98,3.25,49.77,10.14,5.56,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0
dbmdz/bert-tiny-historic-multilingual-cased,4.52,5.0,32.0,512,78027.26,True,False,-1.81,15.54,72.08,72.93,2.65,48.48,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
Maltehb/aelaectra-danish-electra-small-cased,4.58,14.0,32.0,128,4592.9,True,False,3.76,23.86,58.52,59.67,1.09,33.7,0.0,0.0,13.3.0,12.7.0,12.7.0,13.0.0,12.4.0
sarnikowski/convbert-small-da-cased,4.6,13.0,29.0,512,14273.42,True,False,-0.24,20.55,58.5,58.33,5.96,51.99,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
ibm-granite/granite-3.0-3b-a800m-base (few-shot),4.6,3374.0,49.0,4096,10504.04,True,False,4.35,26.17,41.27,40.85,-0.2,43.01,29.77,19.69,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
sarnikowski/convbert-medium-small-da-cased,4.65,24.0,29.0,512,13820.64,True,False,-1.39,23.17,59.66,59.39,4.58,50.83,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),4.74,1711.0,49.0,8192,15970.88,True,False,3.94,30.51,40.28,42.15,-0.26,38.29,17.52,10.68,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0
fresh-xlm-roberta-base,4.8,278.0,250.0,512,2214.08,True,False,1.07,17.71,48.7,48.51,2.37,37.68,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1
utter-project/EuroLLM-1.7B-Instruct (few-shot),4.83,1657.0,128.0,4096,15008.58,True,False,4.25,26.21,33.53,35.41,-2.32,45.19,25.07,15.41,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-1.7B (few-shot),4.9,1711.0,49.0,8192,16248.88,True,False,3.16,23.85,27.91,30.98,-0.48,33.97,26.11,16.56,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-360M (few-shot),5.1,362.0,49.0,8192,22023.39,True,False,3.06,28.82,28.14,28.12,-0.06,33.85,6.05,2.43,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),5.12,362.0,49.0,8192,21776.98,True,False,3.07,28.68,26.85,27.35,-0.12,45.84,4.02,1.39,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),5.13,135.0,49.0,8192,25602.11,True,False,3.78,27.36,23.22,24.3,0.41,39.64,3.34,0.54,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-135M (few-shot),5.19,135.0,49.0,8192,26346.08,True,False,-0.56,25.36,25.51,26.43,0.46,36.19,3.01,0.15,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0
ssmits/Falcon2-5.5B-multilingual (few-shot),5.61,5465.0,65.0,8192,7691.9,True,False,0.0,13.62,0.0,0.0,0.0,33.4,0.0,0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
