model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,scandisent_fi,turku_ner_fi,scala_fi,tydiqa_fi,xlsum_fi,hellaswag_fi,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B (few-shot)</a>,🤔,2.05@@2.05,70553706496.0,128256.0,131072.0,✓,✗,91.11 ± 0.56 / 95.49 ± 0.30@@91.11071835226845,54.69 ± 2.15 / 35.33 ± 1.44@@54.68725294668566,26.47 ± 2.36 / 63.00 ± 1.16@@26.470766920937685,58.16 ± 1.73 / 37.64 ± 2.38@@58.1641585466268,62.95 ± 0.25 / 7.94 ± 0.29@@62.95126551063731,48.19 ± 1.80 / 60.49 ± 1.53@@48.19423541438349,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0 (few-shot)</a>,🧠,2.08@@2.08,10731524096.0,32000.0,4096.0,✓,✗,91.41 ± 0.67 / 95.66 ± 0.35@@91.40925880362738,60.16 ± 1.85 / 41.47 ± 3.37@@60.16078181160973,18.67 ± 1.99 / 54.20 ± 3.14@@18.668883137502384,75.92 ± 0.74 / 59.75 ± 1.73@@75.91805117608017,63.15 ± 0.25 / 11.48 ± 0.38@@63.14666206504626,21.39 ± 1.22 / 40.43 ± 0.99@@21.39147544722432,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B (few-shot)</a>,🧠,2.12@@2.12,9152319488.0,128000.0,4096.0,✓,✗,90.01 ± 0.48 / 94.89 ± 0.27@@90.00704098301769,45.83 ± 1.97 / 29.04 ± 2.49@@45.83187619668026,20.02 ± 4.46 / 52.44 ± 5.80@@20.023297238643746,77.33 ± 0.80 / 61.14 ± 0.92@@77.33215042694829,64.85 ± 0.19 / 12.70 ± 0.33@@64.84666714968625,24.58 ± 1.01 / 42.56 ± 0.75@@24.578489382317674,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1 (few-shot)</a>,🧠,2.12@@2.12,46702792704.0,32000.0,32768.0,✓,✗,91.73 ± 0.71 / 95.80 ± 0.38@@91.7250370122366,58.40 ± 2.12 / 31.68 ± 3.93@@58.403969884943294,20.68 ± 2.33 / 57.75 ± 2.43@@20.679619965075897,72.27 ± 1.53 / 56.91 ± 1.67@@72.26602622384314,63.64 ± 0.53 / 11.58 ± 0.36@@63.637785833561786,16.14 ± 1.45 / 36.59 ± 1.12@@16.138130400309542,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,2.14@@2.14,8030261248.0,128256.0,131072.0,✓,✗,91.30 ± 0.50 / 95.65 ± 0.25@@91.30086729978777,49.42 ± 1.43 / 26.46 ± 1.12@@49.42325341294203,21.71 ± 2.50 / 60.31 ± 1.55@@21.710300550701312,66.11 ± 1.31 / 49.89 ± 1.46@@66.10671364614498,64.11 ± 0.11 / 10.61 ± 0.25@@64.10741734376643,27.00 ± 1.51 / 45.17 ± 1.12@@27.004452849324707,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B (few-shot)</a>,🧠,2.17@@2.17,34388917248.0,64000.0,4096.0,✓,✗,91.73 ± 0.44 / 95.84 ± 0.23@@91.73400659819171,57.64 ± 1.24 / 43.09 ± 2.57@@57.639638339244684,13.66 ± 7.11 / 45.34 ± 7.21@@13.657605271958701,75.98 ± 0.80 / 59.62 ± 1.16@@75.97946129573957,63.65 ± 0.79 / 11.50 ± 0.65@@63.64944394590566,16.76 ± 1.44 / 36.59 ± 1.22@@16.762344160640655,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.20@@2.20,,,1047576.0,✓,✗,87.59 ± 1.16 / 93.69 ± 0.61@@87.59426142266544,42.19 ± 1.88 / 24.51 ± 1.24@@42.18772618037161,29.04 ± 1.77 / 60.59 ± 1.53@@29.044473849892672,57.21 ± 0.80 / 28.06 ± 1.35@@57.20979133564085,63.28 ± 0.12 / 7.69 ± 0.14@@63.27528986381367,42.60 ± 1.92 / 56.84 ± 1.38@@42.598621251059996,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot)</a>,📝,2.21@@2.21,8030326784.0,128264.0,131072.0,✓,✗,92.09 ± 0.44 / 96.03 ± 0.22@@92.09086320353934,54.21 ± 1.68 / 35.82 ± 1.67@@54.21156053995343,13.51 ± 2.08 / 44.42 ± 1.88@@13.511879176028899,68.20 ± 2.16 / 49.50 ± 1.90@@68.19637270994518,64.45 ± 0.20 / 12.31 ± 0.35@@64.44610141566955,18.51 ± 0.84 / 38.15 ± 0.58@@18.50928273836549,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct (few-shot)</a>,📝,2.21@@2.21,108641793536.0,200000.0,,✓,✗,92.50 ± 0.66 / 96.21 ± 0.34@@92.50234970417468,54.42 ± 1.61 / 44.06 ± 1.35@@54.417794197560696,21.99 ± 3.43 / 50.73 ± 3.62@@21.994811474790037,24.78 ± 2.02 / 0.00 ± 0.00@@24.779395008833454,63.85 ± 0.12 / 13.31 ± 0.28@@63.84884134968161,64.06 ± 1.08 / 73.04 ± 0.83@@64.06049545824756,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,2.21@@2.21,68976648192.0,32000.0,32764.0,✓,✗,91.99 ± 0.74 / 95.95 ± 0.38@@91.99333953598516,48.48 ± 1.75 / 24.77 ± 1.43@@48.477653856472045,18.11 ± 2.48 / 53.39 ± 2.60@@18.112744319129124,60.49 ± 1.51 / 37.69 ± 2.26@@60.48614705295707,62.91 ± 0.10 / 8.32 ± 0.17@@62.90987987071276,38.44 ± 1.36 / 53.75 ± 1.04@@38.436802875309475,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
