model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,scandisent_fi,turku_ner_fi,scala_fi,tydiqa_fi,xlsum_fi,hellaswag_fi,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.36@@2.36,8030261248.0,128256.0,8192.0,✓,✗,91.62 ± 0.74 / 95.79 ± 0.38@@91.61661339714267,52.86 ± 1.68 / 37.60 ± 1.43@@52.85920894497143,10.81 ± 2.21 / 52.42 ± 2.28@@10.8114408237007,64.96 ± 1.38 / 49.83 ± 1.36@@64.95680889689557,63.60 ± 0.10 / 9.72 ± 0.16@@63.59799443336669,16.55 ± 1.26 / 36.87 ± 0.88@@16.550117647278576,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt (few-shot)</a>,🧠,2.36@@2.36,4300079472.0,262144.0,,✓,✗,92.65 ± 0.58 / 96.31 ± 0.29@@92.6476525732942,40.23 ± 1.15 / 34.80 ± 1.21@@40.22868403943446,14.54 ± 2.65 / 51.22 ± 5.49@@14.535196098953667,71.34 ± 1.55 / 55.92 ± 2.32@@71.33579788791668,63.66 ± 0.72 / 11.78 ± 0.52@@63.65985722608457,15.97 ± 1.28 / 35.94 ± 0.84@@15.97043525542185,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,2.37@@2.37,8019808256.0,131072.0,32768.0,✓,✗,85.59 ± 0.90 / 92.46 ± 0.51@@85.59250691403302,52.46 ± 1.44 / 23.11 ± 1.15@@52.462070560351684,10.08 ± 1.67 / 42.50 ± 2.60@@10.083763473429755,68.69 ± 0.89 / 53.10 ± 0.99@@68.69396323884264,63.17 ± 0.07 / 8.45 ± 0.16@@63.17421922329232,21.74 ± 1.30 / 39.87 ± 1.00@@21.737937832951875,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct (few-shot)</a>,📝,2.38@@2.38,32234279936.0,100352.0,4096.0,✗,✗,92.11 ± 0.66 / 96.02 ± 0.34@@92.11119059170422,55.52 ± 1.47 / 22.68 ± 0.80@@55.52172498878662,26.67 ± 0.53 / 63.13 ± 0.28@@26.672879941007228,22.87 ± 1.52 / 0.00 ± 0.00@@22.870883059029115,62.97 ± 0.07 / 9.08 ± 0.24@@62.96858480258379,42.13 ± 0.66 / 56.03 ± 0.47@@42.13383074361005,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot)</a>,📝,2.40@@2.40,8030326784.0,128264.0,131072.0,✓,✗,91.52 ± 0.53 / 95.73 ± 0.27@@91.51943133189562,49.33 ± 1.47 / 33.48 ± 1.12@@49.33009737651388,9.93 ± 1.21 / 39.35 ± 1.00@@9.926106224276868,62.21 ± 2.04 / 43.07 ± 1.67@@62.20678570901022,63.50 ± 0.14 / 9.10 ± 0.26@@63.50397289817919,19.00 ± 0.96 / 38.77 ± 0.72@@18.995480315623404,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B (few-shot)</a>,🤔,2.43@@2.43,8190735360.0,151936.0,131072.0,✓,✗,85.53 ± 0.77 / 92.54 ± 0.43@@85.53454481231215,55.78 ± 1.91 / 35.44 ± 1.38@@55.776331657915414,15.54 ± 1.10 / 57.08 ± 0.79@@15.544891330332296,60.10 ± 0.51 / 42.79 ± 0.74@@60.1015810277392,61.74 ± 0.11 / 7.39 ± 0.11@@61.742284374049625,18.05 ± 1.55 / 38.29 ± 1.13@@18.050580468089258,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B (few-shot)</a>,📝,2.44@@2.44,8030326784.0,128264.0,131072.0,✓,✗,91.28 ± 0.62 / 95.60 ± 0.32@@91.27855717227924,48.47 ± 1.40 / 32.55 ± 0.99@@48.4740998807532,9.22 ± 1.36 / 38.07 ± 0.99@@9.219038261883604,59.30 ± 2.53 / 42.02 ± 2.31@@59.298009592523954,63.65 ± 0.19 / 9.44 ± 0.36@@63.65186210372485,18.90 ± 1.00 / 38.78 ± 0.76@@18.895192884240135,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B (few-shot)</a>,📝,2.46@@2.46,8030326784.0,128264.0,131072.0,✓,✗,90.66 ± 0.63 / 95.28 ± 0.33@@90.66238641652579,50.21 ± 1.29 / 32.84 ± 1.16@@50.21436964048289,7.96 ± 1.66 / 38.23 ± 1.25@@7.960480373365433,60.84 ± 1.61 / 40.56 ± 2.02@@60.83804188032872,63.65 ± 0.16 / 9.44 ± 0.32@@63.649143943039235,17.45 ± 0.94 / 37.74 ± 0.75@@17.45293913729407,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (few-shot)</a>,📝,2.46@@2.46,4300079472.0,262144.0,,✓,✗,86.71 ± 1.02 / 93.07 ± 0.57@@86.70952751662291,45.67 ± 0.89 / 34.49 ± 1.70@@45.6736115767858,10.77 ± 1.45 / 48.43 ± 1.53@@10.768653088539242,59.54 ± 0.55 / 35.96 ± 1.83@@59.54190268034338,63.60 ± 0.10 / 9.50 ± 0.23@@63.601841267227435,24.38 ± 0.99 / 42.86 ± 0.73@@24.377813605788102,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot)</a>,📝,2.47@@2.47,46702792704.0,32000.0,32768.0,✓,✗,89.51 ± 0.75 / 94.62 ± 0.40@@89.50882211488195,48.93 ± 1.66 / 22.13 ± 1.28@@48.92726396598456,10.34 ± 1.37 / 53.41 ± 1.17@@10.344426505714221,65.02 ± 1.42 / 42.15 ± 2.95@@65.02377379130323,61.97 ± 0.35 / 8.10 ± 0.37@@61.9691243309353,18.23 ± 1.34 / 37.41 ± 1.04@@18.22597312580697,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base (few-shot)</a>,🧠,2.49@@2.49,33715603456.0,49152.0,8192.0,✓,✗,86.36 ± 0.76 / 93.12 ± 0.39@@86.3569904907693,57.37 ± 2.74 / 47.53 ± 3.27@@57.37067229806099,6.32 ± 2.68 / 46.08 ± 5.06@@6.3183354223684844,71.72 ± 0.81 / 53.25 ± 1.38@@71.71707392453064,61.58 ± 0.32 / 8.50 ± 0.20@@61.57762721340987,5.88 ± 0.90 / 29.46 ± 0.68@@5.88438579291587,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (few-shot)</a>,📝,2.50@@2.50,3606752256.0,128256.0,131072.0,✓,✗,89.37 ± 0.66 / 94.65 ± 0.33@@89.3723545066301,42.06 ± 1.77 / 22.90 ± 0.77@@42.058323190213606,10.73 ± 2.89 / 47.74 ± 3.95@@10.733422300871617,68.04 ± 0.77 / 47.62 ± 1.01@@68.03602904902209,63.31 ± 0.09 / 9.36 ± 0.21@@63.31052609166363,10.60 ± 1.33 / 32.16 ± 1.06@@10.598359065436165,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B (few-shot)</a>,🧠,2.50@@2.50,8829407232.0,64000.0,4096.0,✓,✗,88.37 ± 0.69 / 94.02 ± 0.37@@88.3704582128215,47.81 ± 2.92 / 27.33 ± 1.40@@47.80894258751411,8.79 ± 3.70 / 39.41 ± 3.40@@8.79145810429186,72.47 ± 1.03 / 50.88 ± 1.91@@72.4685255149552,61.81 ± 1.27 / 9.94 ± 0.59@@61.81163089277106,8.67 ± 1.16 / 31.39 ± 0.80@@8.668875566063186,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/LumiOpen/Poro-34B-chat'>LumiOpen/Poro-34B-chat (few-shot)</a>,📝,2.50@@2.50,34216949760.0,128000.0,,✓,✗,92.58 ± 0.53 / 96.28 ± 0.27@@92.58295789513828,41.92 ± 3.20 / 17.10 ± 1.27@@41.92046821108195,13.07 ± 2.05 / 50.32 ± 3.47@@13.070945272706263,56.68 ± 1.58 / 33.88 ± 2.11@@56.6767706018545,64.10 ± 0.34 / 11.26 ± 0.70@@64.09758456386044,11.10 ± 1.01 / 32.41 ± 0.88@@11.097366745460675,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (few-shot)</a>,📝,2.54@@2.54,9152319488.0,128000.0,4096.0,✗,✗,89.95 ± 1.13 / 94.86 ± 0.61@@89.95283955238425,32.48 ± 2.84 / 19.36 ± 0.91@@32.48432789301762,6.25 ± 1.33 / 35.99 ± 1.09@@6.247281626053948,69.85 ± 1.83 / 53.70 ± 2.52@@69.85414319657504,62.83 ± 0.04 / 8.08 ± 0.09@@62.83069894561777,22.04 ± 1.34 / 40.18 ± 1.20@@22.042434422209425,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot)</a>,📝,2.55@@2.55,46997647360.0,67993.0,32768.0,✓,✗,90.14 ± 0.71 / 95.00 ± 0.38@@90.13565154266605,52.85 ± 1.09 / 25.93 ± 2.33@@52.851824776824344,-0.13 ± 0.25 / 33.39 ± 0.33@@-0.12905778769069742,64.72 ± 2.98 / 41.09 ± 4.65@@64.72254133210369,62.80 ± 0.13 / 10.03 ± 0.17@@62.80214235099265,14.26 ± 0.92 / 34.47 ± 0.81@@14.255159680863954,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,2.59@@2.59,46997647360.0,67993.0,32768.0,✓,✗,90.61 ± 0.57 / 95.28 ± 0.29@@90.61092229434486,46.87 ± 2.01 / 22.71 ± 1.61@@46.866310093177404,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,71.14 ± 1.73 / 54.28 ± 2.33@@71.13598703054056,61.91 ± 0.95 / 9.49 ± 0.98@@61.91183615846967,11.52 ± 1.50 / 32.47 ± 1.18@@11.515662126057228,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct (few-shot)</a>,📝,2.61@@2.61,33715603456.0,49152.0,8192.0,✓,✗,85.07 ± 1.37 / 92.52 ± 0.70@@85.0735261808736,49.42 ± 3.47 / 36.73 ± 4.38@@49.423472220382436,10.74 ± 1.93 / 52.62 ± 2.29@@10.74398648158252,66.84 ± 1.05 / 48.68 ± 0.99@@66.83566985335396,61.21 ± 0.21 / 7.73 ± 0.14@@61.20806171340518,4.33 ± 0.54 / 27.67 ± 0.40@@4.334544658817219,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1 (few-shot)</a>,🧠,2.61@@2.61,7241732096.0,32000.0,32768.0,✓,✗,89.98 ± 0.78 / 94.98 ± 0.40@@89.98497371363018,45.86 ± 2.01 / 27.83 ± 2.71@@45.86219887943581,6.45 ± 3.06 / 42.97 ± 6.03@@6.445298541379402,69.21 ± 1.50 / 53.36 ± 1.94@@69.20828018147161,61.10 ± 1.14 / 9.16 ± 0.48@@61.10314080913668,4.87 ± 1.39 / 27.99 ± 1.15@@4.8688644540666886,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E (few-shot)</a>,📝,2.62@@2.62,108641793536.0,200000.0,,✓,✗,92.07 ± 0.77 / 95.98 ± 0.40@@92.06980011036127,62.15 ± 1.44 / 50.94 ± 2.61@@62.14675189201451,3.94 ± 2.96 / 37.17 ± 3.38@@3.935153530614051,31.75 ± 1.31 / 0.36 ± 0.10@@31.753570061542895,59.04 ± 0.98 / 6.86 ± 0.52@@59.03754413026036,50.04 ± 1.99 / 61.09 ± 1.52@@50.04421292501235,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base (few-shot)</a>,🧠,2.63@@2.63,20066993152.0,49152.0,8192.0,✓,✗,84.31 ± 0.79 / 91.98 ± 0.44@@84.30935470754012,51.90 ± 2.29 / 36.77 ± 3.94@@51.896134507720696,4.84 ± 1.53 / 50.68 ± 1.47@@4.837539788975579,68.61 ± 0.94 / 48.44 ± 1.70@@68.61469635634283,60.86 ± 0.68 / 8.23 ± 0.24@@60.86401266598841,5.31 ± 0.97 / 29.20 ± 0.68@@5.312500473992555,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3 (few-shot)</a>,🧠,2.64@@2.64,7248023552.0,32768.0,32768.0,✓,✗,89.52 ± 0.90 / 94.73 ± 0.47@@89.51942208181661,45.48 ± 2.20 / 26.01 ± 2.32@@45.4822368295907,6.16 ± 2.01 / 43.81 ± 3.79@@6.156420044360939,69.63 ± 2.18 / 52.92 ± 2.54@@69.62980119267408,60.43 ± 1.50 / 8.69 ± 0.47@@60.42771456501214,5.51 ± 1.29 / 27.99 ± 1.02@@5.509590825144409,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B (few-shot)</a>,🤔,2.65@@2.65,32763876352.0,152064.0,131072.0,✓,✗,87.28 ± 1.39 / 93.47 ± 0.76@@87.2758344540066,49.67 ± 1.99 / 26.03 ± 1.29@@49.672072745025915,15.15 ± 2.32 / 57.13 ± 1.34@@15.150671499782348,43.90 ± 1.35 / 26.94 ± 2.09@@43.90492538424226,60.42 ± 0.83 / 5.20 ± 0.82@@60.42210584368149,19.64 ± 2.02 / 37.04 ± 1.67@@19.644460153550895,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (few-shot)</a>,📝,2.66@@2.66,3212749824.0,128256.0,131072.0,✓,✗,86.88 ± 0.85 / 93.42 ± 0.42@@86.87625377259067,42.33 ± 2.09 / 26.28 ± 1.47@@42.32804380991081,7.65 ± 1.02 / 48.65 ± 2.02@@7.650617494362513,60.20 ± 0.78 / 40.80 ± 1.02@@60.1978211365946,63.21 ± 0.05 / 9.54 ± 0.17@@63.20775167449029,8.27 ± 0.93 / 31.33 ± 0.70@@8.26661014001426,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B (few-shot)</a>,🧠,2.69@@2.69,3212749824.0,128256.0,131072.0,✓,✗,90.20 ± 0.99 / 95.05 ± 0.52@@90.19781171947741,43.18 ± 2.42 / 22.46 ± 2.05@@43.176310680054584,5.85 ± 2.78 / 44.85 ± 5.31@@5.846372118986796,70.50 ± 1.66 / 52.58 ± 2.22@@70.49956306615464,60.05 ± 1.49 / 7.73 ± 0.53@@60.04674718984461,5.60 ± 1.48 / 28.13 ± 1.39@@5.596604783383284,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B (few-shot)</a>,🤔,2.71@@2.71,2031739904.0,151936.0,40960.0,✓,✗,85.24 ± 1.09 / 92.59 ± 0.54@@85.24380328910833,38.02 ± 1.46 / 21.32 ± 0.78@@38.0187049619977,8.86 ± 1.54 / 54.07 ± 0.85@@8.860040267243608,58.21 ± 0.59 / 44.47 ± 1.05@@58.212626644600164,61.93 ± 0.09 / 7.10 ± 0.08@@61.92556522539234,13.71 ± 1.03 / 35.42 ± 0.73@@13.71256126739008,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,📝,2.71@@2.71,8028033024.0,256000.0,8192.0,✗,✗,85.04 ± 1.33 / 92.33 ± 0.75@@85.03889063378699,36.81 ± 2.09 / 21.56 ± 1.50@@36.805124765565864,5.47 ± 1.53 / 51.38 ± 1.36@@5.473986075843031,71.14 ± 0.62 / 53.77 ± 1.09@@71.14102849025129,61.73 ± 0.21 / 8.35 ± 0.37@@61.72505749796983,8.25 ± 0.87 / 31.25 ± 0.68@@8.254623770627894,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B (few-shot)</a>,🧠,2.76@@2.76,33119034368.0,131072.0,4096.0,✓,✗,93.15 ± 0.58 / 96.56 ± 0.29@@93.14537717258716,34.50 ± 3.00 / 21.00 ± 1.84@@34.502325644205555,19.49 ± 2.75 / 57.70 ± 3.26@@19.492031126612414,66.17 ± 1.18 / 51.17 ± 1.63@@66.17170931154574,57.76 ± 1.80 / 8.02 ± 0.92@@57.75937229693226,0.83 ± 1.50 / 24.98 ± 1.27@@0.8300630818550768,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5 (few-shot)</a>,🧠,2.76@@2.76,7241732096.0,32000.0,32768.0,✓,✗,86.00 ± 0.63 / 92.89 ± 0.33@@85.99586211802432,42.65 ± 2.35 / 31.31 ± 2.81@@42.65406468885523,4.41 ± 1.56 / 47.70 ± 2.81@@4.407180296293041,68.40 ± 1.43 / 51.05 ± 2.29@@68.39999188820504,60.39 ± 1.01 / 8.52 ± 0.46@@60.39228994428413,3.25 ± 1.29 / 27.10 ± 0.55@@3.2464374023617495,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (few-shot)</a>,📝,2.76@@2.76,7241748480.0,32002.0,32768.0,✗,✗,83.71 ± 1.26 / 91.81 ± 0.67@@83.70953615685923,45.89 ± 2.02 / 21.39 ± 2.02@@45.890040644060086,3.85 ± 1.72 / 42.95 ± 3.84@@3.85030604810606,62.90 ± 2.47 / 35.15 ± 3.80@@62.90253831716275,61.35 ± 0.66 / 7.52 ± 0.29@@61.34670079831267,1.52 ± 0.99 / 26.10 ± 0.62@@1.5247776531880062,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot)</a>,🧠,2.77@@2.77,7799574528.0,100096.0,4096.0,✓,✗,88.01 ± 0.95 / 93.96 ± 0.48@@88.01021807848261,41.68 ± 2.21 / 26.60 ± 3.80@@41.67733265291128,2.03 ± 1.78 / 35.69 ± 1.90@@2.0288377145018632,63.16 ± 1.32 / 46.45 ± 1.82@@63.158120275595365,61.46 ± 0.26 / 8.59 ± 0.17@@61.4615017399774,3.89 ± 0.67 / 27.44 ± 0.38@@3.8892334695523,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct (few-shot)</a>,📝,2.85@@2.85,20066993152.0,49152.0,8192.0,✓,✗,78.98 ± 0.98 / 88.71 ± 0.59@@78.97739361799941,44.95 ± 2.81 / 25.19 ± 3.53@@44.95074334496297,3.61 ± 1.45 / 46.11 ± 3.48@@3.6115000935979644,61.33 ± 1.34 / 43.17 ± 1.54@@61.32927858321837,60.72 ± 0.21 / 7.15 ± 0.15@@60.71733784847311,4.09 ± 1.03 / 25.88 ± 1.03@@4.09443200347049,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023 (few-shot)</a>,📝,2.89@@2.89,,65024.0,,✓,✗,84.24 ± 1.42 / 92.01 ± 0.77@@84.24150110815256,39.98 ± 2.96 / 23.09 ± 4.71@@39.97539714077056,3.19 ± 0.66 / 43.33 ± 2.48@@3.186130711542413,61.75 ± 0.84 / 40.89 ± 1.79@@61.75387898042885,60.64 ± 0.41 / 7.42 ± 0.31@@60.63865909491142,1.19 ± 1.32 / 26.05 ± 0.58@@1.19328565060929,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,2.90@@2.90,999885952.0,262144.0,32768.0,✓,✗,81.45 ± 2.55 / 90.18 ± 1.51@@81.45002785418252,32.39 ± 1.94 / 20.72 ± 1.67@@32.38577972556639,4.60 ± 1.22 / 47.62 ± 2.86@@4.596867967764237,55.72 ± 1.30 / 40.55 ± 1.60@@55.71686793657959,62.78 ± 0.05 / 8.30 ± 0.14@@62.775187761726556,5.99 ± 1.08 / 29.35 ± 0.77@@5.990002969218426,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot)</a>,📝,2.95@@2.95,7452725248.0,250680.0,4096.0,✗,✗,74.24 ± 3.83 / 85.49 ± 2.54@@74.23543904577656,32.58 ± 1.86 / 17.85 ± 0.96@@32.584209125970894,3.43 ± 1.65 / 44.74 ± 2.63@@3.43065778462666,62.04 ± 1.45 / 42.85 ± 1.94@@62.03534418530468,60.72 ± 0.31 / 6.61 ± 0.21@@60.71698486353853,10.32 ± 1.21 / 31.70 ± 0.99@@10.321333498331139,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.02@@3.02,14030361600.0,131072.0,4096.0,✓,✗,90.30 ± 0.46 / 95.11 ± 0.24@@90.29625834549678,33.72 ± 2.85 / 17.90 ± 1.42@@33.72429222317849,1.40 ± 0.80 / 45.94 ± 2.68@@1.4036992909312418,60.60 ± 2.63 / 44.20 ± 3.64@@60.59638175502671,59.04 ± 2.02 / 8.54 ± 0.96@@59.03540995757795,-0.36 ± 1.55 / 25.83 ± 0.46@@-0.36462517744076234,15.9.2.dev0@@150902,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot)</a>,🧠,3.04@@3.04,7799574528.0,100096.0,4096.0,✓,✗,71.76 ± 3.77 / 84.36 ± 2.68@@71.75589049766924,39.42 ± 2.50 / 34.41 ± 1.90@@39.42239381003995,1.40 ± 2.05 / 40.64 ± 3.82@@1.3999674141796814,56.14 ± 2.29 / 40.17 ± 2.52@@56.14270105519713,60.28 ± 0.91 / 7.77 ± 0.26@@60.2761806671333,0.96 ± 0.80 / 25.58 ± 0.62@@0.9634542956597724,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
