model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
Maltehb/danish-bert-botxo,2.26,999.0,111.0,32.0,512,16091.06,True,False,43.79,62.26,66.71,61.55,45.96,69.62,32.91,26.29,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
jannikskytt/MeDa-Bert,2.26,999.0,111.0,32.0,512,16113.51,True,False,44.62,62.33,64.64,59.54,47.47,70.55,29.91,23.14,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.26,2.07,8030.0,128.0,131072,1042.12,True,False,51.3,64.44,57.19,44.34,10.31,42.59,60.46,48.8,67.38,23.21,61.78,71.28,66.61,77.73,39.62,53.92,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.2
senseable/WestLake-7B-v2 (few-shot),2.27,2.18,7242.0,32.0,32768,5992.97,False,False,49.81,66.32,52.61,33.64,19.64,54.22,57.94,48.03,66.67,21.08,57.65,68.08,51.99,66.43,44.44,58.16,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
emillykkejensen/Llama-3-8B-instruct-dansk (few-shot),2.28,2.63,8030.0,128.0,4094,967.48,False,False,50.07,60.95,41.74,30.54,24.49,57.72,65.18,59.29,66.24,20.03,55.51,65.8,48.43,64.28,19.64,37.09,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1
"RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)",2.28,2.05,7242.0,32.0,32768,3007.6,False,True,43.41,48.74,50.83,36.96,19.72,52.71,64.53,57.87,66.77,21.6,72.92,79.69,68.11,78.52,40.62,55.12,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2
"timpal0l/BeagleCatMunin2 (few-shot, val)",2.28,1.96,7242.0,32.0,32768,2477.24,False,True,47.95,55.7,51.53,40.66,14.1,40.8,64.33,58.28,68.04,24.72,67.37,75.55,66.75,77.34,42.21,56.48,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
sarnikowski/convbert-medium-small-da-cased,2.29,999.0,24.0,29.0,512,13820.64,True,False,36.85,56.27,64.28,59.29,63.55,81.41,29.88,24.52,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"birgermoell/Flashback-Bellman (few-shot, val)",2.3,2.41,7242.0,32.0,32768,2887.36,False,True,48.21,60.08,47.71,35.65,19.55,50.98,61.69,56.46,65.46,17.73,61.29,70.82,60.29,72.97,28.33,45.86,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
"AI-Sweden-Models/tyr (few-shot, val)",2.3,2.44,7242.0,32.0,32768,6079.2,False,True,50.6,65.49,47.01,36.47,13.73,52.15,61.63,56.35,66.82,22.26,57.53,67.77,67.04,78.12,22.16,40.9,12.3.2,12.5.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2
Geotrend/bert-base-en-fr-de-no-da-cased,2.3,999.0,118.0,42.0,512,13972.84,True,False,34.78,55.59,63.38,59.2,41.08,69.77,44.89,40.32,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
timpal0l/Llama-3-8B-flashback-v1 (few-shot),2.32,2.93,8030.0,128.0,8192,4806.85,True,False,50.25,66.18,46.59,31.16,14.46,50.96,62.5,56.86,61.98,15.41,46.91,59.57,50.98,66.25,16.33,35.98,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"merge-crew/da-sv-ties (few-shot, val)",2.32,2.64,7242.0,32.0,32768,2457.19,True,True,51.95,65.69,45.39,34.45,13.25,45.66,62.73,58.51,66.33,21.24,57.16,66.99,60.06,71.17,13.62,33.4,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
danish-foundation-models/encoder-medium-v1,2.34,999.0,111.0,32.0,512,16130.05,True,False,39.91,58.47,63.42,58.69,51.01,74.54,31.49,25.76,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-8b-base (few-shot),2.34,2.62,8171.0,49.0,4096,5116.13,True,False,47.16,64.63,44.58,33.5,19.2,53.44,63.32,58.41,65.64,21.12,32.05,47.54,47.42,65.02,28.73,46.04,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
neph1/bellman-7b-mistral-instruct-v0.2 (few-shot),2.34,2.91,7242.0,32.0,32768,2517.83,False,False,47.58,63.81,46.11,28.75,18.41,57.44,60.8,52.78,65.65,18.78,41.77,55.65,35.86,52.48,11.59,32.81,9.2.0,9.2.0,9.2.0,12.4.0,12.6.1,10.0.1,10.0.1,9.2.0,9.2.0
google-bert/bert-base-multilingual-uncased,2.35,999.0,167.0,106.0,512,13992.5,True,False,33.5,54.63,64.92,60.82,46.75,72.71,41.77,37.09,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),2.36,2.67,7242.0,32.0,32737,633.64,False,False,48.09,65.4,44.89,29.13,19.06,58.77,60.81,51.56,66.84,21.21,51.6,63.5,35.85,52.62,22.21,40.78,9.2.0,9.2.0,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.2,12.9.0
AI-Sweden-Models/Llama-3-8B (few-shot),2.37,2.29,8030.0,128.0,8192,4140.98,True,False,46.48,55.2,36.72,27.73,26.1,59.19,64.11,58.0,67.23,23.15,82.84,87.01,75.27,83.44,14.55,33.99,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
microsoft/infoxlm-large,2.37,999.0,560.0,250.0,512,6696.2,True,False,37.94,55.77,74.42,69.54,15.26,48.92,50.1,44.25,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"mlabonne/AlphaMonarch-7B (few-shot, val)",2.37,2.17,7242.0,32.0,8192,5340.04,False,True,49.11,64.78,52.72,39.49,16.09,54.94,56.13,46.28,66.62,21.03,60.03,70.04,59.83,72.27,40.4,55.04,12.5.2,12.5.2,12.5.2,12.5.2,12.6.1,12.5.2,12.5.2,12.5.2,12.5.2
"merge-crew/da-sv-dare-ties-density-0.6 (few-shot, val)",2.37,2.62,7242.0,32.0,32768,2514.54,True,True,49.59,63.45,46.03,34.23,12.72,46.56,61.58,57.03,65.24,19.37,59.88,69.41,59.51,71.02,16.86,34.77,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
NLPnorth/snakmodel-7b-instruct (few-shot),2.38,2.65,6738.0,32.0,4096,3027.58,False,False,50.46,64.72,35.82,29.62,18.6,52.87,64.68,58.57,66.71,21.52,64.57,71.2,57.45,71.64,9.33,29.66,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
timpal0l/njord-alpha (few-shot),2.4,2.28,7242.0,32.0,32768,5431.36,True,False,39.37,56.57,38.25,28.14,29.76,61.8,63.16,57.02,67.57,24.15,83.45,87.17,70.43,79.43,16.43,33.75,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
Geotrend/bert-base-en-no-cased,2.4,999.0,111.0,33.0,512,14080.79,True,False,33.91,54.87,62.66,58.6,40.96,69.68,44.63,39.93,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"KennethEnevoldsen/munin_mistral-7b (few-shot, val)",2.41,2.25,7242.0,32.0,32768,2543.28,False,True,47.52,55.98,46.7,36.3,8.04,36.02,64.15,60.05,67.18,22.71,70.49,77.89,66.28,76.88,25.13,43.24,12.3.1,12.5.2,12.3.1,12.3.2,12.6.1,12.3.2,12.3.2,12.3.2,12.3.2
mistralai/Mistral-7B-v0.3 (few-shot),2.41,2.53,7248.0,33.0,32768,1364.05,True,False,45.92,61.91,43.6,32.17,15.43,46.2,64.43,59.13,66.33,22.03,53.81,64.81,61.06,73.89,20.64,39.21,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.4,12.10.4,14.0.3
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),2.41,2.73,7242.0,32.0,32768,5053.68,True,False,47.82,63.19,42.43,29.3,16.51,52.73,62.2,56.95,65.43,20.36,50.76,62.66,50.82,66.66,14.47,34.86,12.5.3,12.5.3,12.5.3,12.5.3,12.6.1,12.5.3,12.5.3,12.5.3,12.5.3
alpindale/Mistral-7B-v0.2-hf (few-shot),2.41,2.56,7242.0,32.0,32768,1841.12,True,False,45.86,61.89,43.65,32.21,15.19,46.19,64.43,59.14,66.3,21.99,53.67,64.67,54.52,68.59,20.51,39.1,12.5.1,12.5.2,12.5.1,12.5.1,12.6.1,12.5.1,12.5.1,12.5.1,12.5.2
meta-llama/Llama-2-13b-chat-hf (few-shot),2.42,2.67,13016.0,32.0,4096,2849.49,True,False,45.41,62.27,44.0,29.0,16.17,56.93,63.94,57.06,66.88,21.84,45.21,57.54,51.06,67.44,16.5,36.77,12.10.4,12.10.5,12.10.4,12.11.0,12.11.0,12.10.4,12.10.4,12.10.4,12.10.4
ibm-granite/granite-3.0-8b-instruct (few-shot),2.42,2.76,8171.0,49.0,4096,5090.05,True,False,49.31,66.02,44.92,32.65,10.14,44.99,63.24,57.34,66.02,20.91,33.71,49.7,43.55,62.5,21.34,39.77,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
CohereForAI/aya-23-8B (few-shot),2.42,2.73,8028.0,256.0,8192,5607.73,False,False,47.16,63.47,47.08,32.34,8.41,37.31,63.96,58.83,65.03,20.21,36.64,49.92,39.24,59.45,27.29,45.01,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot),2.43,2.17,7242.0,32.0,32768,3005.72,False,False,39.63,46.93,45.37,28.99,21.77,47.96,64.76,58.28,67.91,24.44,78.71,83.82,63.74,74.88,28.58,45.97,11.0.0,11.0.0,11.0.0,12.4.0,12.6.1,10.0.1,10.0.1,11.0.0,11.0.0
AI-Nordics/bert-large-swedish-cased,2.43,999.0,335.0,31.0,512,7199.47,True,False,38.46,58.16,60.66,56.95,32.29,63.74,43.21,37.68,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ZurichNLP/unsup-simcse-xlm-roberta-base,2.44,999.0,278.0,250.0,512,34520.24,True,False,45.07,63.33,65.1,61.96,26.83,60.41,35.05,29.92,,,,,,,,,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
KBLab/megatron-bert-large-swedish-cased-165k,2.45,999.0,370.0,64.0,512,7137.91,True,False,41.02,60.13,58.5,55.82,27.1,61.03,45.72,39.99,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.46,999.0,278.0,250.0,512,20154.46,True,False,46.39,63.97,61.17,58.41,38.61,67.08,25.77,19.9,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
KBLab/megatron-bert-large-swedish-cased-110k,2.46,999.0,370.0,64.0,512,7074.64,True,False,39.2,59.33,60.18,57.15,26.68,59.41,44.87,39.34,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/bert-base-en-da-cased,2.47,999.0,111.0,33.0,512,14061.58,True,False,33.67,54.48,62.57,59.39,35.79,65.87,43.26,38.77,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
bineric/NorskGPT-Llama3-8b (few-shot),2.48,2.12,8030.0,128.0,8190,3694.76,False,False,42.13,45.91,51.4,37.7,3.91,34.38,66.28,57.81,66.7,21.56,65.15,73.55,57.36,70.88,44.55,57.29,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,2.48,999.0,278.0,250.0,512,15099.94,True,False,49.13,65.84,61.18,57.94,29.66,63.05,26.42,19.99,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Mabeck/Heidrun-Mistral-7B-base (few-shot),2.48,2.46,7242.0,32.0,32768,3822.53,True,False,39.38,49.16,40.14,28.08,21.85,53.75,63.63,58.07,67.06,23.6,60.78,69.96,61.29,73.5,16.26,35.7,11.0.0,11.0.0,11.0.0,11.0.0,12.6.1,11.0.0,11.0.0,11.0.0,11.0.0
danish-foundation-models/munin-7b-v0.1dev0 (few-shot),2.49,2.06,7242.0,32.0,8192,6112.86,True,False,36.47,50.72,39.12,28.74,26.76,57.02,64.41,58.75,67.89,24.67,91.32,93.45,79.92,85.82,24.76,42.17,12.4.0,12.5.2,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.5.0
"birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)",2.49,1.97,7242.0,32.0,32768,2902.56,False,True,44.02,47.74,51.85,40.02,1.22,34.29,64.09,57.69,67.69,23.9,68.45,76.37,65.51,76.56,42.09,56.33,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
"birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)",2.49,1.97,7242.0,32.0,32768,2856.11,False,True,44.02,47.74,51.85,40.02,1.22,34.29,64.09,57.69,67.69,23.88,68.45,76.37,65.51,76.56,42.09,56.33,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),2.5,2.59,,32.0,4094,3254.47,False,False,43.4,57.24,43.17,31.37,11.08,43.4,63.1,56.81,67.46,22.85,52.94,64.04,41.65,59.92,17.57,37.68,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,11.0.0,11.0.0,9.3.1,12.9.0
danish-foundation-models/munin-7b-alpha (few-shot),2.5,2.21,7242.0,32.0,32768,6116.08,True,False,36.89,43.77,40.6,28.71,26.41,53.03,63.44,57.81,67.27,23.82,77.63,83.01,67.83,77.91,25.16,42.68,12.4.0,12.5.2,12.4.0,12.4.0,12.6.1,12.4.0,12.4.0,12.4.0,12.4.0
microsoft/xlm-align-base,2.5,999.0,278.0,250.0,512,14744.17,True,False,47.83,65.49,70.36,65.91,11.87,48.82,35.11,29.87,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mistralai/Mistral-7B-v0.1 (few-shot),2.5,2.56,7242.0,32.0,32768,2657.24,True,False,43.16,54.53,45.42,32.66,8.79,38.38,64.55,59.43,66.47,22.11,53.26,64.5,58.26,71.56,18.53,37.79,0.0.0,0.0.0,0.0.0,12.5.1,12.6.1,10.0.1,10.0.1,9.1.2,9.1.2
google/gemma-7b (few-shot),2.51,2.32,8538.0,256.0,8190,1377.83,True,False,46.55,59.52,19.59,15.47,32.64,63.84,64.81,59.4,66.63,22.82,74.32,80.31,65.58,76.41,24.74,39.03,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0
Twitter/twhin-bert-base,2.52,999.0,279.0,250.0,512,11513.72,True,False,42.17,61.25,60.01,56.13,29.43,62.08,34.82,29.79,,,,,,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/bert-base-25lang-cased,2.52,999.0,151.0,85.0,512,13908.28,True,False,32.88,53.56,62.53,58.99,29.01,61.89,44.11,39.51,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
flax-community/nordic-roberta-wiki,2.53,999.0,125.0,50.0,512,16226.52,True,False,34.45,55.56,60.82,57.64,41.89,70.04,31.55,26.83,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sarnikowski/electra-small-discriminator-da-256-cased,2.53,999.0,13.0,29.0,512,20339.7,True,False,24.38,40.85,60.63,56.9,68.58,84.12,27.53,21.03,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mhenrichsen/hestenettetLM (few-shot),2.54,2.56,7242.0,32.0,32768,5159.7,True,False,42.61,53.47,44.9,31.91,8.65,38.18,64.7,59.62,66.48,22.13,52.83,64.27,57.96,71.31,18.11,37.65,12.3.2,12.5.2,12.3.2,12.3.2,12.6.1,12.3.2,12.3.2,12.3.2,12.3.2
Geotrend/bert-base-da-cased,2.54,999.0,104.0,23.0,512,15432.35,True,False,32.06,52.57,62.76,58.88,30.95,63.72,42.36,37.79,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/infoxlm-base,2.54,999.0,278.0,250.0,512,34735.22,True,False,46.78,64.46,69.78,65.83,11.27,51.47,33.33,28.28,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
clips/mfaq,2.55,999.0,278.0,250.0,128,5591.18,True,False,45.6,63.53,68.49,64.72,28.26,55.28,18.6,14.34,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google-bert/bert-base-multilingual-cased,2.56,999.0,178.0,120.0,512,14083.03,True,False,32.38,53.3,63.17,59.45,27.93,61.91,44.06,39.57,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
jhu-clsp/bernice,2.57,999.0,278.0,250.0,128,5566.94,True,False,47.2,64.51,61.98,58.3,40.52,67.99,15.93,13.53,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
tollefj/nordavind-7b-instruct-warm (few-shot),2.57,3.4,7248.0,33.0,2048,6450.44,False,False,49.44,66.0,38.39,24.87,7.5,47.53,57.72,51.24,66.09,22.03,3.53,24.18,12.86,40.23,1.29,25.61,12.3.2,12.5.2,12.3.2,12.4.0,12.6.1,12.3.2,12.3.2,12.3.2,12.3.2
sarnikowski/convbert-small-da-cased,2.57,999.0,13.0,29.0,512,14273.42,True,False,29.52,47.81,60.59,57.31,57.1,78.14,25.69,20.16,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-3B-Instruct (few-shot),2.58,2.7,3213.0,128.0,131073,10423.76,False,False,42.77,54.7,41.12,32.5,11.52,49.37,60.18,51.14,65.19,18.34,49.78,62.29,45.88,63.96,21.89,41.16,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),2.6,2.84,7242.0,32.0,32766,633.64,False,False,44.49,60.64,37.93,23.54,14.09,42.43,58.78,51.38,65.8,19.91,45.07,58.18,35.36,55.82,14.85,35.26,9.3.1,9.3.1,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.1,12.9.0
bineric/NorskGPT-Llama-13B-v0.1 (few-shot),2.6,2.48,13016.0,32.0,4096,2856.44,False,False,44.28,55.59,44.17,31.63,3.11,34.35,63.25,55.59,66.63,21.44,59.51,69.11,50.89,67.29,25.32,43.22,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4
jonfd/electra-small-nordic,2.6,999.0,22.0,96.0,128,5989.23,True,False,34.43,51.9,65.4,60.53,67.27,83.37,7.09,6.6,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
DDSC/roberta-base-danish,2.6,999.0,125.0,50.0,512,15003.66,True,False,43.9,62.31,63.84,59.85,17.16,56.47,31.5,26.94,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google/gemma-2-2b-it (few-shot),2.6,2.43,2614.0,256.0,8193,5373.87,True,False,47.11,63.36,28.22,19.95,19.99,58.86,58.49,48.0,66.73,21.91,52.85,63.72,52.74,68.55,29.94,47.03,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
jjzha/dajobbert-base-uncased,2.6,999.0,110.0,32.0,512,16243.43,True,False,39.65,59.23,60.78,55.74,37.67,65.47,22.46,15.41,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KB/bert-base-swedish-cased,2.62,999.0,125.0,50.0,512,16181.26,True,False,33.28,54.37,61.74,58.09,33.15,64.69,33.03,28.67,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/bert-base-swedish-cased,2.62,999.0,125.0,50.0,512,16164.04,True,False,33.31,54.09,61.74,58.09,33.35,64.61,33.03,28.67,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),2.63,2.72,6738.0,32.0,4096,5384.08,False,False,47.73,60.64,41.63,28.51,0.0,33.41,61.7,54.25,66.02,19.78,47.16,59.6,38.28,58.13,22.27,41.07,12.3.2,12.5.2,12.3.2,12.3.2,12.6.1,12.3.2,12.3.2,12.3.2,12.3.2
meta-llama/Llama-2-7b-chat-hf (few-shot),2.63,2.95,6738.0,32.0,4096,2643.05,False,False,44.88,62.35,35.44,24.63,9.74,47.42,61.34,55.04,66.15,19.69,32.17,46.67,35.74,55.18,11.32,32.24,9.3.1,9.3.1,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
bineric/NorskGPT-Mistral-7b (few-shot),2.63,2.13,7242.0,32.0,32768,2442.87,False,False,40.41,44.17,50.76,32.89,0.0,33.41,63.8,57.26,66.89,21.43,64.32,73.0,53.18,67.48,43.42,57.5,9.3.1,9.3.1,9.3.1,12.5.1,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
ibm-granite/granite-3.0-2b-instruct (few-shot),2.63,3.23,2634.0,49.0,4097,10193.87,True,False,41.86,61.22,41.79,32.67,11.86,50.92,59.28,51.97,64.86,19.26,29.55,46.85,26.2,51.29,3.64,27.01,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/stsb-xlm-r-multilingual,2.64,999.0,278.0,250.0,512,15039.9,True,False,42.26,61.41,58.52,55.04,34.8,64.51,25.68,19.6,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/megatron-bert-base-swedish-cased-600k,2.65,999.0,135.0,64.0,512,15725.82,True,False,39.4,59.02,57.97,54.71,23.5,59.54,36.99,31.87,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
norallm/normistral-7b-warm-instruct (few-shot),2.65,3.34,7248.0,33.0,2048,6193.5,True,False,47.48,63.93,39.83,25.99,4.55,42.91,57.45,49.23,66.17,21.29,10.83,28.99,14.66,41.21,2.71,26.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
emillykkejensen/Phi-3-mini-4k-instruct-dansk (few-shot),2.66,2.96,3821.0,32.0,4096,1360.1,False,False,44.93,62.99,39.96,25.49,4.01,45.8,60.67,55.01,65.29,20.29,35.28,51.43,41.62,60.84,11.81,33.65,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4
LumiOpen/Viking-33B@1000B (few-shot),2.67,3.63,33119.0,131.0,4097,2079.9,True,False,45.05,62.23,34.22,22.52,9.4,44.83,60.33,54.92,62.78,15.36,0.43,24.15,4.81,36.58,1.77,26.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),2.68,3.44,7800.0,100.0,4096,6196.57,True,False,45.67,58.41,34.25,30.39,10.62,53.2,56.92,50.77,65.67,19.97,2.31,24.65,10.57,40.33,0.64,25.4,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Twitter/twhin-bert-large,2.68,999.0,562.0,250.0,512,9706.97,True,False,39.36,58.64,66.39,62.24,7.06,49.71,38.42,33.88,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
Geotrend/distilbert-base-en-da-cased,2.68,999.0,69.0,33.0,512,26196.27,True,False,31.89,53.99,59.5,56.28,36.0,67.38,33.19,28.41,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-en-fr-de-no-da-cased,2.68,999.0,76.0,42.0,512,26081.06,True,False,31.3,52.43,58.78,55.5,34.92,66.69,32.53,27.86,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-8b-code-base (few-shot),2.68,3.19,8055.0,49.0,4096,1002.12,True,False,39.16,56.83,48.55,37.15,10.43,46.99,56.75,51.28,63.95,17.51,33.33,49.48,17.65,45.43,8.97,31.39,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
ibm-granite/granite-8b-code-base-4k (few-shot),2.68,3.19,8055.0,49.0,4096,2312.61,True,False,39.07,56.85,48.44,36.99,9.72,46.85,56.54,51.18,63.93,17.49,33.11,49.31,18.96,46.29,9.03,31.42,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
