model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
intfloat/multilingual-e5-large,1.61,999.0,560.0,250.0,512,6731.95,True,False,55.07,69.43,69.5,65.03,57.67,78.48,52.84,46.71,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google/rembert,1.67,999.0,576.0,250.0,512,11735.9,True,False,50.19,66.32,70.19,66.64,69.72,84.3,44.44,39.85,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-4o-mini-2024-07-18 (zero-shot, val)",1.7,1.7,,200.0,8191,908.12,True,False,49.73,65.95,57.52,35.79,57.56,77.16,64.34,51.79,64.66,13.62,79.84,84.92,83.21,88.67,63.33,72.15,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3,14.0.3
CohereForAI/aya-expanse-32b (few-shot),1.72,1.56,32296.0,256.0,8193,2288.11,False,False,56.39,69.83,61.15,40.96,37.75,67.36,65.87,58.09,67.6,23.65,66.13,74.34,73.67,82.52,69.23,76.78,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"152334H/miqu-1-70b-sf (few-shot, val)",1.72,1.62,68977.0,32.0,32762,2126.22,True,False,55.11,69.6,56.96,45.84,42.64,71.04,64.12,54.58,66.8,20.36,83.94,87.97,73.32,81.64,60.52,70.08,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
FacebookAI/xlm-roberta-large,1.74,999.0,561.0,250.0,512,17896.69,True,False,48.33,63.94,72.74,67.15,57.3,76.82,49.29,43.57,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
microsoft/mdeberta-v3-base,1.74,999.0,279.0,251.0,512,20637.23,True,False,43.38,60.05,72.9,67.41,67.05,83.18,47.97,42.15,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
NbAiLab/nb-roberta-base-scandi,1.75,999.0,278.0,250.0,512,15078.99,True,False,52.08,67.98,73.28,68.37,67.99,83.02,37.27,32.39,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KennethEnevoldsen/dfm-sentence-encoder-medium-3,1.76,999.0,178.0,120.0,512,14050.48,True,False,47.55,64.66,71.21,67.27,68.72,83.85,43.9,38.33,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",1.77,1.4,70554.0,128.0,8190,1672.52,True,False,53.09,68.18,63.1,55.1,40.98,69.1,63.12,51.13,67.76,23.19,85.18,88.91,79.22,85.7,70.19,77.54,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
