model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,1.41@@1.41,70553706496.0,128256.0,131072.0,✓,✗,53.79 ± 1.71 / 68.07 ± 1.33@@53.79452653505474,77.93 ± 0.79 / 70.48 ± 1.29@@77.93042428968812,28.31 ± 1.59 / 60.68 ± 1.01@@28.31372309751365,63.12 ± 0.55 / 34.71 ± 1.12@@63.121585892284074,63.74 ± 0.06 / 15.97 ± 0.67@@63.74162969746976,69.41 ± 0.89 / 77.02 ± 0.66@@69.41494027524631,74.37 ± 1.26 / 80.69 ± 0.94@@74.37202143157798,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.41@@1.41,,256128.0,1048576.0,✓,✗,53.40 ± 2.25 / 66.13 ± 2.22@@53.401643634197406,73.55 ± 1.21 / 60.42 ± 1.48@@73.55443208107971,30.57 ± 4.62 / 60.59 ± 3.03@@30.567053916404564,64.10 ± 1.15 / 32.03 ± 1.63@@64.1040894475511,62.64 ± 0.12 / 12.64 ± 0.26@@62.64039587229491,69.61 ± 2.75 / 77.07 ± 2.05@@69.60982292877739,73.47 ± 2.49 / 79.88 ± 1.93@@73.47039528133922,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.41@@1.41,23572403200.0,131072.0,32768.0,✓,✗,51.95 ± 2.04 / 64.99 ± 1.92@@51.94849855755106,71.31 ± 0.91 / 60.69 ± 1.60@@71.30955738796733,33.10 ± 0.66 / 55.84 ± 0.94@@33.102345484177356,59.94 ± 1.20 / 35.64 ± 0.98@@59.943963126547956,62.95 ± 0.08 / 12.08 ± 0.17@@62.95315410767216,63.71 ± 0.61 / 72.81 ± 0.46@@63.70955762963044,81.70 ± 0.97 / 86.20 ± 0.75@@81.69586593314595,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.42@@1.42,70553706496.0,128256.0,131072.0,✓,✗,53.31 ± 1.30 / 67.48 ± 1.13@@53.313391189189396,76.14 ± 0.94 / 69.80 ± 1.27@@76.1411139612955,30.04 ± 0.98 / 58.32 ± 0.79@@30.037894521432285,55.86 ± 1.09 / 26.33 ± 1.17@@55.86324744781551,63.52 ± 0.08 / 13.83 ± 0.27@@63.52404069912154,70.24 ± 1.04 / 77.70 ± 0.78@@70.2367311504536,79.32 ± 0.93 / 84.45 ± 0.69@@79.31770272089835,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (few-shot, val)</a>",🤔,1.42@@1.42,,256128.0,1048576.0,✓,✗,47.10 ± 7.93 / 61.99 ± 5.62@@47.10069009909141,71.94 ± 15.67 / 68.19 ± 14.72@@71.94153722677001,24.49 ± 13.64 / 59.54 ± 7.16@@24.493871149066464,64.50 ± 1.40 / 31.38 ± 2.16@@64.50005383926097,62.13 ± 0.28 / 11.68 ± 0.39@@62.12929227389395,88.02 ± 1.74 / 91.02 ± 1.30@@88.0159098084301,76.58 ± 17.43 / 82.38 ± 13.07@@76.57749975657269,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,1.43@@1.43,14768307200.0,151936.0,40960.0,✓,✗,47.37 ± 1.77 / 62.19 ± 1.41@@47.37216687562714,78.03 ± 0.70 / 67.96 ± 1.65@@78.0319581267141,32.33 ± 0.76 / 58.27 ± 0.81@@32.32720177235034,64.85 ± 0.49 / 39.00 ± 0.90@@64.85297696101036,62.49 ± 0.08 / 11.15 ± 0.14@@62.487007061281474,74.55 ± 0.95 / 80.93 ± 0.71@@74.54798569456787,66.26 ± 1.32 / 74.57 ± 1.00@@66.25712329441254,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.44@@1.44,27432406640.0,262144.0,,✓,✗,52.65 ± 1.71 / 67.15 ± 1.50@@52.64842415275872,70.92 ± 1.02 / 61.26 ± 2.19@@70.91529110673261,32.89 ± 3.60 / 64.43 ± 2.48@@32.89085815016941,62.29 ± 0.77 / 34.14 ± 1.73@@62.28898599621486,62.81 ± 0.10 / 12.35 ± 0.31@@62.80817517705145,66.30 ± 0.83 / 74.68 ± 0.63@@66.30044723952432,73.83 ± 1.03 / 80.28 ± 0.78@@73.83393779756516,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B (few-shot)</a>,🤔,1.45@@1.45,30532122624.0,151936.0,40960.0,✓,✗,46.95 ± 2.20 / 61.93 ± 1.78@@46.94784212119674,77.85 ± 1.16 / 71.71 ± 1.33@@77.84628321312117,30.87 ± 0.67 / 57.13 ± 0.67@@30.87287364913832,63.19 ± 0.52 / 37.16 ± 1.01@@63.18891381783512,62.57 ± 0.08 / 10.99 ± 0.16@@62.56826436685514,76.55 ± 0.80 / 82.41 ± 0.60@@76.55322862674248,66.46 ± 1.17 / 74.75 ± 0.89@@66.46499514032966,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.45@@1.45,70553706496.0,128256.0,131072.0,✓,✗,49.23 ± 2.22 / 65.00 ± 1.33@@49.22875145298022,75.27 ± 1.28 / 72.24 ± 1.51@@75.27178163837893,33.26 ± 3.89 / 61.59 ± 4.62@@33.25587286299615,68.51 ± 1.81 / 41.56 ± 3.24@@68.50651968437194,63.16 ± 0.38 / 19.10 ± 0.85@@63.161594418488676,63.24 ± 0.99 / 72.28 ± 0.76@@63.238462037708985,59.43 ± 2.01 / 68.21 ± 1.61@@59.428049419615014,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",📝,1.46@@1.46,,200019.0,128000.0,✓,✗,51.12 ± 2.57 / 64.50 ± 2.17@@51.122460641898826,72.49 ± 1.94 / 58.91 ± 3.38@@72.49352698143754,29.24 ± 3.10 / 57.10 ± 1.90@@29.240424338256254,66.40 ± 1.42 / 33.13 ± 2.25@@66.3988695435224,62.94 ± 0.18 / 11.65 ± 0.24@@62.94271455495618,66.24 ± 2.22 / 74.41 ± 1.66@@66.2447767210282,73.40 ± 2.17 / 79.73 ± 1.64@@73.39959564628928,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.49@@1.49,,256128.0,1048576.0,✓,✗,41.77 ± 2.19 / 58.72 ± 1.72@@41.77320990044248,72.37 ± 1.84 / 53.72 ± 1.60@@72.37116824128229,29.28 ± 2.92 / 59.33 ± 1.96@@29.28457482506714,61.69 ± 0.78 / 26.54 ± 0.67@@61.69397824968479,61.67 ± 0.20 / 9.54 ± 0.13@@61.669951606309034,81.52 ± 2.06 / 86.13 ± 1.55@@81.5237062723485,74.38 ± 1.78 / 80.74 ± 1.31@@74.38429278666307,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,1.49@@1.49,,,131072.0,✓,✗,46.37 ± 2.09 / 58.57 ± 1.65@@46.373646498051244,70.30 ± 1.08 / 56.80 ± 1.70@@70.29694607812868,32.90 ± 3.27 / 57.32 ± 2.11@@32.89576975597068,63.07 ± 1.08 / 32.34 ± 1.39@@63.06610719871387,62.45 ± 0.16 / 9.61 ± 0.15@@62.45460017817095,77.63 ± 1.93 / 82.97 ± 1.51@@77.62815073419371,63.46 ± 1.89 / 70.82 ± 1.61@@63.45823231479264,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.50@@1.50,,200019.0,128000.0,✓,✗,40.21 ± 1.99 / 52.87 ± 1.59@@40.212192327924996,68.93 ± 1.72 / 60.45 ± 2.04@@68.93134327319872,31.47 ± 4.18 / 61.50 ± 2.42@@31.473554525731,65.63 ± 1.09 / 31.04 ± 1.42@@65.63336735705424,62.72 ± 0.15 / 11.44 ± 0.18@@62.72060772986151,77.36 ± 1.59 / 82.89 ± 1.20@@77.36162025427721,75.77 ± 1.51 / 81.68 ± 1.12@@75.76814813838982,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.51@@1.51,,,1047576.0,✓,✗,40.41 ± 2.49 / 54.35 ± 1.92@@40.40924529752729,68.69 ± 1.81 / 54.51 ± 2.22@@68.68563664970517,31.72 ± 3.87 / 61.77 ± 2.32@@31.72331912555605,59.74 ± 0.83 / 21.99 ± 0.93@@59.73705248658471,62.75 ± 0.14 / 11.22 ± 0.17@@62.749715003883466,78.33 ± 1.52 / 83.59 ± 1.16@@78.3319685414859,76.33 ± 1.86 / 82.19 ± 1.38@@76.33289122377448,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (few-shot)</a>,🤔,1.51@@1.51,32762123264.0,151936.0,40960.0,✓,✗,47.50 ± 1.70 / 63.73 ± 1.20@@47.503863707826476,72.91 ± 1.45 / 65.84 ± 1.53@@72.90646244357517,36.13 ± 0.90 / 60.97 ± 0.70@@36.125547910640385,51.79 ± 15.82 / 32.76 ± 10.72@@51.78761523875986,62.21 ± 0.10 / 10.28 ± 0.15@@62.207419774495065,70.88 ± 15.45 / 78.01 ± 11.88@@70.8810547222573,70.86 ± 1.01 / 77.98 ± 0.78@@70.86303499563253,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.51@@1.51,27432406640.0,262144.0,,✓,✗,45.76 ± 2.22 / 60.83 ± 2.39@@45.763477371487994,60.36 ± 1.70 / 56.98 ± 1.54@@60.36071422849973,40.39 ± 1.73 / 69.58 ± 1.14@@40.38518654355686,66.26 ± 2.64 / 37.82 ± 4.14@@66.25898883777754,63.16 ± 0.49 / 19.54 ± 0.57@@63.160078410146525,66.56 ± 0.58 / 74.94 ± 0.45@@66.55628219084447,59.16 ± 2.93 / 68.53 ± 2.30@@59.163361993454714,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,1.53@@1.53,32296476672.0,256000.0,8192.0,✗,✗,48.75 ± 1.90 / 65.43 ± 1.41@@48.753732528895846,67.72 ± 0.99 / 58.57 ± 1.36@@67.71697065711393,27.76 ± 2.91 / 62.92 ± 2.09@@27.76384165676806,66.52 ± 0.46 / 38.66 ± 1.01@@66.52080856333347,63.33 ± 0.08 / 14.56 ± 0.46@@63.33045982537442,58.86 ± 0.83 / 69.00 ± 0.62@@58.86079838334615,78.25 ± 0.66 / 83.65 ± 0.49@@78.24642690563113,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
<a href='https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,131072.0,✓,✗,51.12 ± 1.44 / 66.22 ± 1.19@@51.11656925882263,69.99 ± 0.79 / 43.53 ± 1.53@@69.98588818945618,29.25 ± 1.64 / 60.68 ± 0.91@@29.24599779350727,59.40 ± 0.37 / 28.73 ± 0.90@@59.401214409577925,61.55 ± 0.16 / 11.94 ± 0.10@@61.55247575690736,68.17 ± 0.85 / 76.09 ± 0.65@@68.16999452185864,75.98 ± 1.32 / 81.93 ± 1.01@@75.97663460059454,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.54@@1.54,,,131072.0,✓,✗,48.10 ± 2.53 / 63.31 ± 2.07@@48.09949993695341,72.80 ± 1.38 / 63.76 ± 1.78@@72.79707734626732,22.05 ± 5.02 / 58.21 ± 2.76@@22.05217457252365,59.35 ± 0.77 / 24.07 ± 0.80@@59.35228172785596,62.59 ± 0.17 / 10.40 ± 0.21@@62.5920106319245,74.81 ± 1.67 / 80.74 ± 1.26@@74.80933013846993,74.36 ± 1.58 / 80.04 ± 1.25@@74.36419344416159,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.54@@1.54,70553706496.0,128256.0,8192.0,✓,✗,50.45 ± 0.87 / 65.98 ± 0.89@@50.45015354839519,75.20 ± 0.88 / 67.90 ± 0.95@@75.20229989052594,27.24 ± 1.61 / 57.81 ± 0.66@@27.237238748419035,60.16 ± 0.70 / 29.72 ± 1.45@@60.163089295239445,63.74 ± 0.10 / 15.28 ± 0.34@@63.73603761239792,61.17 ± 5.21 / 70.83 ± 3.90@@61.16506774362497,65.83 ± 1.73 / 73.98 ± 1.35@@65.83117459926717,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.55@@1.55,,,200000.0,✓,✗,40.73 ± 1.99 / 54.06 ± 1.48@@40.72608096526468,68.41 ± 1.48 / 46.23 ± 1.78@@68.4064487613614,32.44 ± 3.13 / 57.43 ± 2.09@@32.44156954368044,60.53 ± 1.00 / 27.40 ± 1.26@@60.52581636272911,61.79 ± 0.14 / 9.88 ± 0.17@@61.7891219293233,81.43 ± 1.11 / 86.05 ± 0.84@@81.43396566663046,63.04 ± 1.85 / 72.23 ± 1.43@@63.03771067883861,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B (few-shot)</a>,🤔,1.57@@1.57,8190735360.0,151936.0,40960.0,✓,✗,45.24 ± 2.13 / 61.14 ± 1.70@@45.24225862761463,74.63 ± 1.45 / 59.81 ± 2.94@@74.6290284569142,30.54 ± 1.17 / 57.83 ± 1.02@@30.53687942296812,62.58 ± 0.50 / 35.83 ± 1.07@@62.57716786549744,62.33 ± 0.05 / 10.28 ± 0.10@@62.33392404697952,71.90 ± 1.01 / 78.94 ± 0.75@@71.89632020763742,56.61 ± 1.51 / 67.30 ± 1.14@@56.61080821826465,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.59@@1.59,12187325040.0,262144.0,,✓,✗,47.12 ± 2.19 / 61.63 ± 1.96@@47.118615926852044,68.47 ± 1.54 / 60.01 ± 1.97@@68.46854895814609,33.05 ± 2.27 / 63.45 ± 1.61@@33.05336026078539,62.21 ± 0.48 / 34.65 ± 1.46@@62.20531678483754,62.70 ± 0.15 / 12.25 ± 0.34@@62.702010312787024,56.56 ± 0.81 / 67.32 ± 0.60@@56.560546573414086,65.67 ± 1.05 / 74.13 ± 0.85@@65.67151329996115,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.63@@1.63,,,200000.0,✓,✗,39.43 ± 2.19 / 48.45 ± 1.55@@39.42721660347991,68.62 ± 0.96 / 66.07 ± 1.20@@68.62009142975232,28.34 ± 3.73 / 56.72 ± 2.21@@28.343115422142983,56.11 ± 0.94 / 20.02 ± 1.05@@56.10691422570725,62.31 ± 0.14 / 11.49 ± 0.21@@62.30869464576244,74.59 ± 1.23 / 80.82 ± 0.95@@74.58871315159541,76.47 ± 1.70 / 82.30 ± 1.33@@76.46674844527193,15.4.1@@150401,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.63@@1.63,,256128.0,2097152.0,✓,✗,42.40 ± 2.12 / 55.28 ± 1.85@@42.398920272302085,69.62 ± 1.55 / 56.34 ± 1.72@@69.6200131326419,22.27 ± 4.38 / 57.91 ± 2.43@@22.265705453182754,67.55 ± 1.01 / 35.84 ± 1.65@@67.55158876359562,62.41 ± 0.11 / 11.58 ± 0.19@@62.40962167386896,70.19 ± 1.30 / 77.58 ± 0.96@@70.18962649258133,62.04 ± 1.95 / 70.43 ± 1.41@@62.04467742693951,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (few-shot, val)</a>",🤔,1.64@@1.64,,256128.0,1048576.0,✓,✗,44.09 ± 11.48 / 61.14 ± 7.49@@44.085664131890184,29.87 ± 23.78 / 29.44 ± 23.62@@29.87402302313429,43.89 ± 6.60 / 69.78 ± 4.06@@43.89351630910305,65.54 ± 1.72 / 36.65 ± 1.88@@65.54462988285486,62.54 ± 0.26 / 13.23 ± 0.75@@62.53512916853652,64.35 ± 17.11 / 73.20 ± 12.77@@64.35071161766226,82.19 ± 2.76 / 86.60 ± 2.08@@82.19475435187424,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-2-27b-it'>google/gemma-2-27b-it (few-shot)</a>,📝,1.64@@1.64,27227128320.0,256000.0,8192.0,✓,✗,49.32 ± 2.23 / 63.68 ± 2.01@@49.322059485309346,47.80 ± 1.93 / 41.95 ± 2.24@@47.803476728569514,36.10 ± 2.75 / 63.98 ± 2.51@@36.10156200424259,62.89 ± 0.62 / 34.08 ± 1.65@@62.888081485152114,63.00 ± 0.26 / 13.53 ± 0.75@@62.999206826643785,61.02 ± 0.59 / 70.56 ± 0.46@@61.01807566642854,69.73 ± 0.95 / 77.18 ± 0.73@@69.73402611833144,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.64@@1.64,,,1047576.0,✓,✗,47.91 ± 1.81 / 63.72 ± 1.41@@47.90825694621045,58.05 ± 2.12 / 35.94 ± 1.71@@58.04796117672666,26.26 ± 3.44 / 56.26 ± 2.03@@26.26251462944272,63.98 ± 1.13 / 29.37 ± 1.11@@63.97878935068483,62.81 ± 0.13 / 11.21 ± 0.18@@62.80888834269718,68.26 ± 1.52 / 75.98 ± 1.06@@68.25952873070815,65.97 ± 1.61 / 73.91 ± 1.22@@65.97444007552016,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.65@@1.65,,256128.0,1048576.0,✓,✗,47.71 ± 1.62 / 61.16 ± 1.40@@47.709955092657566,68.75 ± 1.48 / 60.13 ± 1.31@@68.74782594933306,19.90 ± 4.35 / 55.96 ± 2.18@@19.904651837766536,60.66 ± 0.95 / 26.47 ± 1.08@@60.658528081058726,62.64 ± 0.12 / 11.53 ± 0.15@@62.63528859359212,78.30 ± 1.94 / 83.59 ± 1.48@@78.29863926661793,57.28 ± 1.52 / 65.47 ± 1.43@@57.28394793473706,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,1.67@@1.67,,200019.0,128000.0,✓,✗,48.69 ± 2.48 / 60.19 ± 1.89@@48.69410498496366,66.77 ± 1.91 / 34.91 ± 1.56@@66.76655515350889,21.20 ± 4.81 / 57.58 ± 2.54@@21.195572460352857,62.18 ± 0.94 / 28.93 ± 1.33@@62.17688723328032,62.91 ± 0.16 / 11.13 ± 0.18@@62.91431162506343,65.04 ± 1.53 / 73.44 ± 1.23@@65.04447274671404,69.65 ± 2.07 / 76.80 ± 1.61@@69.65341402267448,15.4.1.dev0@@150401,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-mini-beta@high (zero-shot, val)</a>",🤔,1.69@@1.69,,,131072.0,✓,✗,44.96 ± 2.25 / 61.62 ± 1.60@@44.96379307194508,61.55 ± 1.67 / 46.10 ± 1.80@@61.55068113305091,29.53 ± 3.07 / 54.72 ± 2.30@@29.530814148369828,64.05 ± 0.92 / 34.04 ± 1.19@@64.04789433023056,61.98 ± 0.13 / 9.24 ± 0.18@@61.981633374234654,82.35 ± 1.19 / 86.60 ± 0.93@@82.34623534900288,42.74 ± 1.57 / 56.21 ± 1.30@@42.743526471650384,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
