model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version
ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot),1.91,28410968576.0,256000.0,4096,3632.83,📝,✓,✗,40.54 ± 0.72 / 39.96 ± 0.60@@40.537594913502936,76.25 ± 1.39 / 60.31 ± 3.22@@76.2501753703093,77.91 ± 0.47 / 61.81 ± 3.84@@77.90799330851716,59.75 ± 1.66 / 78.91 ± 1.21@@59.747183039485485,47.82 ± 2.00 / 73.51 ± 1.21@@47.82481488522809,69.77 ± 1.17 / 40.99 ± 1.38@@69.77222071459184,64.53 ± 0.08 / 15.13 ± 0.19@@64.53074605859001,47.30 ± 1.00 / 60.77 ± 0.73@@47.30102596885178,79.29 ± 0.80 / 83.40 ± 0.65@@79.2876807644324,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
"gpt-4-1106-preview (zero-shot, val)",1.94,,100256.0,8191,589.23,📝,✓,✗,39.62 ± 1.29 / 38.68 ± 0.94@@39.61938107742748,60.16 ± 3.63 / 49.38 ± 2.48@@60.15725280348334,48.74 ± 2.05 / 40.98 ± 1.83@@48.73819384039068,71.38 ± 2.71 / 85.52 ± 1.38@@71.38243979938598,42.94 ± 3.66 / 71.26 ± 1.76@@42.94384654168774,69.46 ± 0.84 / 36.04 ± 1.53@@69.45827020462164,62.75 ± 0.20 / 10.78 ± 0.13@@62.75234318571166,66.81 ± 2.37 / 75.70 ± 1.74@@66.81209407341554,77.01 ± 3.41 / 81.56 ± 2.69@@77.01382640156933,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen2.5-72B-Instruct (few-shot),1.95,72706203648.0,152064.0,32768,1218.79,📝,✓,✗,39.85 ± 0.65 / 39.69 ± 0.52@@39.84702501889114,72.21 ± 1.25 / 49.58 ± 2.05@@72.20709874153111,70.24 ± 1.23 / 52.09 ± 2.38@@70.24170336145446,63.14 ± 1.27 / 81.41 ± 0.62@@63.14315211250159,43.24 ± 1.56 / 71.36 ± 0.86@@43.24488479341772,73.20 ± 2.14 / 43.41 ± 3.02@@73.19899041091432,62.86 ± 0.09 / 11.19 ± 0.11@@62.86069794208743,51.17 ± 1.04 / 63.76 ± 0.76@@51.166084645784224,78.60 ± 1.12 / 82.75 ± 0.92@@78.5980818602114,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
"152334H/miqu-1-70b-sf (few-shot, val)",1.98,68976648192.0,32000.0,32762,2126.22,🧠,✓,✗,60.58 ± 4.96 / 70.33 ± 4.12@@60.575111253202785,66.75 ± 2.07 / 58.61 ± 3.33@@66.75321995772346,66.81 ± 2.57 / 57.71 ± 3.04@@66.81422725021602,47.53 ± 4.07 / 72.24 ± 2.31@@47.53131396229916,17.14 ± 4.72 / 51.14 ± 4.36@@17.14479373677355,72.51 ± 1.91 / 41.92 ± 3.36@@72.50661488139053,64.64 ± 0.63 / 16.59 ± 1.15@@64.64046364999376,42.21 ± 2.98 / 57.77 ± 2.11@@42.20741850742793,76.31 ± 4.54 / 80.62 ± 3.63@@76.31317190559469,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Meta-Llama-3-70B-instruct (few-shot),1.99,70553706496.0,128256.0,8192,1194.24,📝,✓,✗,38.56 ± 0.72 / 39.86 ± 0.37@@38.560187366747876,76.02 ± 1.19 / 61.86 ± 1.40@@76.02380140354342,76.81 ± 0.90 / 65.69 ± 2.43@@76.81098513781015,50.12 ± 1.44 / 72.84 ± 1.41@@50.123784531168425,35.47 ± 2.76 / 64.85 ± 2.45@@35.473071888449645,71.37 ± 1.06 / 41.84 ± 1.48@@71.37206422905227,64.70 ± 0.14 / 15.45 ± 0.34@@64.70245789096225,54.05 ± 0.77 / 65.75 ± 0.55@@54.050094077191304,77.02 ± 0.73 / 81.55 ± 0.57@@77.01721049654206,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),2.02,12247782400.0,131072.0,1024001,7094.98,📝,✓,✗,60.64 ± 2.52 / 73.91 ± 1.86@@60.638173574689326,70.14 ± 1.60 / 51.03 ± 3.02@@70.1436036423645,68.74 ± 1.21 / 51.48 ± 2.96@@68.7382176163888,35.59 ± 2.29 / 61.96 ± 3.72@@35.59232293151245,29.22 ± 2.86 / 60.98 ± 4.02@@29.221965091839298,76.01 ± 3.10 / 49.87 ± 4.84@@76.01096757354112,64.61 ± 0.40 / 16.10 ± 0.86@@64.61041735528852,36.89 ± 1.24 / 53.40 ± 0.86@@36.88853527438532,62.87 ± 1.21 / 70.14 ± 0.95@@62.87008516752366,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
google/gemma-2-9b-it (few-shot),2.06,9241705984.0,256000.0,4096,2597.9,📝,✓,✗,39.78 ± 0.51 / 39.82 ± 0.50@@39.77677664111815,65.78 ± 1.44 / 43.73 ± 1.40@@65.78121819673808,63.83 ± 1.35 / 45.58 ± 2.34@@63.832094678892126,61.14 ± 1.46 / 80.20 ± 0.80@@61.143608326639345,48.43 ± 2.09 / 73.25 ± 1.33@@48.43406175694695,68.86 ± 1.30 / 38.27 ± 1.36@@68.85639832526394,64.60 ± 0.09 / 15.78 ± 0.22@@64.59687974638655,42.33 ± 1.08 / 57.24 ± 0.79@@42.331214366123206,76.45 ± 0.83 / 81.13 ± 0.66@@76.45294215564185,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
google/gemma-2-9b (few-shot),2.07,9241705984.0,256000.0,4096,919.55,🧠,✓,✗,37.52 ± 0.90 / 38.59 ± 0.78@@37.517347409800294,67.63 ± 2.06 / 50.55 ± 3.30@@67.63454383016351,66.90 ± 1.49 / 52.18 ± 3.03@@66.89966978370504,52.08 ± 2.40 / 73.81 ± 1.89@@52.076709752557605,43.54 ± 2.83 / 70.17 ± 1.87@@43.538407283448024,70.87 ± 4.05 / 45.27 ± 5.51@@70.87404251265791,65.83 ± 0.66 / 20.47 ± 0.83@@65.8260891601094,43.95 ± 0.89 / 58.05 ± 0.67@@43.94758095233747,72.48 ± 1.49 / 77.91 ± 1.21@@72.47856582859967,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/QwQ-32B-Preview (few-shot),2.08,32763876352.0,152064.0,32768,2258.16,📝,✓,✗,38.41 ± 0.87 / 38.78 ± 0.71@@38.40935539218505,75.68 ± 1.44 / 63.54 ± 3.33@@75.67949476702569,75.89 ± 0.88 / 63.84 ± 4.94@@75.88769074495954,56.42 ± 1.37 / 77.77 ± 0.78@@56.42047411442098,39.34 ± 2.27 / 69.48 ± 1.18@@39.34455583893322,71.44 ± 3.05 / 44.35 ± 3.74@@71.4381965610203,62.79 ± 0.40 / 11.74 ± 0.41@@62.78884988831124,43.44 ± 0.72 / 58.02 ± 0.55@@43.443650335266575,72.23 ± 1.67 / 77.51 ± 1.40@@72.2295621342242,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.1,,200019.0,8191,862.54,📝,✓,✗,39.82 ± 1.20 / 37.70 ± 1.08@@39.823925649165204,60.43 ± 2.46 / 37.82 ± 2.68@@60.42874230901063,55.59 ± 2.84 / 32.20 ± 2.11@@55.586681585756615,54.84 ± 2.09 / 74.79 ± 1.33@@54.84165782623247,33.80 ± 3.42 / 62.11 ± 2.19@@33.799386495981786,70.12 ± 0.99 / 36.55 ± 1.71@@70.1202656301464,62.77 ± 0.17 / 10.94 ± 0.12@@62.766605452634394,52.89 ± 2.62 / 65.08 ± 1.83@@52.892261793808835,79.25 ± 4.20 / 82.97 ± 3.64@@79.2514563602542,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,15.2.0.dev0@@150200,15.2.0.dev0@@150200
