model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version
"meta-llama/Llama-2-70b-hf (few-shot, val)",2.11,68976653312.0,32000.0,4094,1891.65,🧠,✓,✗,59.68 ± 3.30 / 70.62 ± 3.08@@59.67906746385634,62.46 ± 4.62 / 60.77 ± 4.36@@62.46455617374501,64.68 ± 3.04 / 61.69 ± 2.31@@64.67868944683299,27.34 ± 12.20 / 50.42 ± 9.24@@27.33802724940014,3.95 ± 4.66 / 36.08 ± 3.27@@3.9545574565438515,78.69 ± 3.09 / 57.44 ± 4.59@@78.68652286631821,66.09 ± 1.05 / 21.12 ± 1.52@@66.0879240144277,45.10 ± 2.71 / 59.18 ± 2.09@@45.104428321619636,59.00 ± 4.17 / 65.16 ± 3.45@@59.00211190029555,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mistral-Small-24B-Instruct-2501 (few-shot),2.14,23572403200.0,131072.0,32768,2350.82,📝,✓,✗,37.19 ± 0.89 / 37.45 ± 0.80@@37.194640347562824,69.51 ± 1.70 / 50.59 ± 2.26@@69.51051360048689,71.76 ± 1.31 / 54.47 ± 2.87@@71.75508748341596,48.12 ± 1.81 / 71.25 ± 1.81@@48.1246884587707,31.37 ± 1.97 / 57.85 ± 2.59@@31.37272837289559,70.87 ± 2.60 / 41.95 ± 3.06@@70.87310682774753,63.20 ± 0.11 / 11.59 ± 0.24@@63.20456412882777,48.67 ± 1.49 / 61.94 ± 1.16@@48.66894296060565,76.61 ± 0.95 / 81.26 ± 0.77@@76.6087969329665,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
timpal0l/sol (few-shot),2.24,10731540480.0,32002.0,4096,3700.95,📝,✗,✗,57.06 ± 1.54 / 71.09 ± 1.17@@57.0581931910908,65.14 ± 1.62 / 52.85 ± 3.03@@65.14121122847969,65.88 ± 1.53 / 52.89 ± 2.29@@65.87891351548755,26.41 ± 3.80 / 51.92 ± 5.30@@26.40777188630721,19.58 ± 1.29 / 53.93 ± 2.90@@19.578444708505103,77.87 ± 1.44 / 51.60 ± 1.97@@77.87254244220347,66.21 ± 0.76 / 20.29 ± 1.10@@66.21380073134787,30.34 ± 0.96 / 47.75 ± 0.87@@30.336823017801862,51.04 ± 1.72 / 59.76 ± 1.40@@51.03676136291154,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mixtral-8x7B-v0.1 (few-shot),2.31,46702792704.0,32000.0,32768,2362.92,🧠,✓,✗,46.68 ± 3.59 / 59.99 ± 4.44@@46.68247283802781,63.92 ± 1.45 / 51.71 ± 3.49@@63.91697552444619,62.15 ± 1.56 / 49.74 ± 3.23@@62.15002132097609,33.38 ± 2.21 / 64.72 ± 1.46@@33.38147299988557,19.99 ± 2.53 / 58.41 ± 1.97@@19.98789637400163,71.91 ± 4.73 / 48.48 ± 6.01@@71.91234724263728,63.04 ± 0.86 / 15.52 ± 1.02@@63.04220965888817,42.00 ± 0.89 / 56.96 ± 0.65@@42.004873020087174,57.92 ± 2.15 / 66.17 ± 1.73@@57.91984123458464,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot),2.31,70553706496.0,128256.0,131072,1207.76,📝,✓,✗,39.87 ± 0.47 / 39.97 ± 0.29@@39.8737459664756,69.21 ± 1.13 / 41.18 ± 1.79@@69.2066917172586,70.45 ± 1.43 / 43.05 ± 2.42@@70.45422021192141,57.80 ± 1.53 / 78.16 ± 0.92@@57.79845660207067,40.31 ± 2.88 / 68.01 ± 2.32@@40.310494981126716,72.01 ± 0.69 / 40.97 ± 1.43@@72.00565041421785,47.52 ± 0.09 / 5.00 ± 0.11@@47.51864344696514,53.33 ± 0.87 / 65.34 ± 0.64@@53.33093529234596,75.79 ± 1.47 / 80.39 ± 1.25@@75.79177299048052,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
CohereForAI/c4ai-command-r-08-2024 (few-shot),2.33,32296476672.0,256000.0,131072,1909.17,📝,✗,✗,35.80 ± 0.54 / 38.56 ± 0.56@@35.79727282043148,73.20 ± 1.45 / 46.13 ± 3.02@@73.1979386910201,72.26 ± 1.32 / 50.60 ± 3.32@@72.2607589512983,36.86 ± 1.57 / 68.01 ± 0.98@@36.85753636260244,23.40 ± 1.98 / 60.51 ± 1.62@@23.40214788750055,70.57 ± 1.28 / 40.32 ± 1.30@@70.57452539618414,63.37 ± 0.27 / 12.90 ± 0.29@@63.369598350982415,40.34 ± 1.21 / 55.11 ± 0.95@@40.34005521893433,67.37 ± 1.31 / 73.70 ± 1.05@@67.37382166371846,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot),2.34,8030326784.0,128264.0,131072,7210.36,📝,✓,✗,37.10 ± 0.43 / 38.91 ± 0.41@@37.09921182485062,67.81 ± 1.52 / 61.18 ± 2.63@@67.80807421770845,67.64 ± 1.40 / 62.03 ± 3.12@@67.6383659078257,30.69 ± 2.32 / 53.94 ± 2.67@@30.685713724300314,20.92 ± 1.76 / 46.14 ± 2.00@@20.91607454173226,71.99 ± 3.64 / 47.79 ± 4.89@@71.99052702086121,65.96 ± 0.20 / 19.91 ± 0.32@@65.96017974283313,35.26 ± 1.28 / 52.41 ± 0.89@@35.264772517323344,64.13 ± 0.65 / 71.20 ± 0.53@@64.13490774330329,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
nvidia/mistral-nemo-minitron-8b-base (few-shot),2.34,8414105600.0,131072.0,8192,1203.56,🧠,✓,✗,55.29 ± 1.82 / 69.90 ± 1.64@@55.29122440029253,64.15 ± 1.20 / 47.04 ± 3.09@@64.1488744124368,62.16 ± 1.91 / 46.60 ± 2.86@@62.16083287884635,32.30 ± 3.70 / 60.88 ± 3.83@@32.295786936979596,22.82 ± 1.34 / 57.53 ± 2.19@@22.817544791767546,71.46 ± 4.64 / 48.01 ± 6.06@@71.45968526954206,60.17 ± 0.83 / 13.31 ± 0.63@@60.1699744274083,31.91 ± 1.24 / 49.30 ± 0.83@@31.910049142436836,55.66 ± 1.74 / 63.80 ± 1.37@@55.66222599682684,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.3.0@@140300,14.1.1@@140101,15.2.0.dev0@@150200,15.2.0.dev0@@150200
speakleash/Bielik-11B-v2.3-Instruct (few-shot),2.4,11168796672.0,32128.0,32768,871.61,📝,✓,✓,36.97 ± 0.56 / 38.68 ± 0.30@@36.96768431651323,70.65 ± 1.22 / 57.40 ± 3.23@@70.65162390430186,68.50 ± 0.85 / 58.27 ± 3.03@@68.50167036280428,31.84 ± 1.93 / 65.44 ± 1.12@@31.84097142542107,17.83 ± 1.68 / 55.12 ± 2.14@@17.834917063362703,76.68 ± 1.73 / 49.90 ± 3.06@@76.6768151241325,62.79 ± 0.09 / 11.30 ± 0.17@@62.79171363989008,31.43 ± 1.14 / 49.32 ± 0.81@@31.4313701253656,64.82 ± 1.11 / 71.81 ± 0.88@@64.81800413191048,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Nexusflow/Starling-LM-7B-beta (few-shot),2.42,7241748480.0,32002.0,4096,1990.47,📝,✗,✗,55.48 ± 1.77 / 69.68 ± 1.45@@55.47736716446031,66.22 ± 2.15 / 48.98 ± 4.65@@66.22438311345974,64.14 ± 1.26 / 49.59 ± 4.31@@64.13950662133897,26.13 ± 1.28 / 56.08 ± 2.05@@26.125051224936346,17.32 ± 0.77 / 54.57 ± 1.49@@17.32232456815289,56.91 ± 4.25 / 21.25 ± 4.83@@56.906963228691566,65.32 ± 0.41 / 18.53 ± 0.65@@65.3181792687974,25.90 ± 0.94 / 45.42 ± 0.67@@25.895951769091486,53.54 ± 1.54 / 62.22 ± 1.33@@53.541809494665635,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,14.3.0@@140300,12.5.2@@120502,15.2.0.dev0@@150200,15.2.0.dev0@@150200
utter-project/EuroLLM-9B (few-shot),2.45,9152319488.0,128000.0,4096,2383.62,🧠,✓,✗,53.15 ± 1.21 / 68.75 ± 1.02@@53.14523626905361,53.28 ± 2.13 / 41.43 ± 3.22@@53.27880958161746,50.73 ± 1.79 / 41.00 ± 2.46@@50.7251076674072,8.49 ± 2.07 / 35.26 ± 1.14@@8.493218376206514,10.83 ± 1.88 / 38.20 ± 1.57@@10.833960616166653,73.16 ± 4.11 / 50.06 ± 5.81@@73.15936970343164,65.29 ± 0.57 / 18.81 ± 0.67@@65.29376525097177,32.72 ± 1.05 / 50.07 ± 0.93@@32.71533361265131,62.46 ± 0.93 / 69.85 ± 0.74@@62.4588330318236,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot),2.46,8030326784.0,128264.0,131072,7205.86,📝,✓,✗,36.16 ± 0.41 / 38.73 ± 0.34@@36.16381490435829,65.37 ± 1.84 / 58.17 ± 2.27@@65.37309518722158,66.25 ± 1.48 / 59.99 ± 2.79@@66.25060396182099,25.14 ± 1.68 / 48.19 ± 1.70@@25.144148673558327,15.68 ± 1.84 / 40.96 ± 1.61@@15.680086392241213,70.39 ± 3.70 / 45.54 ± 4.69@@70.38550432563284,63.94 ± 0.24 / 12.68 ± 0.50@@63.943489215016605,34.79 ± 1.57 / 52.04 ± 1.11@@34.79056436544541,63.73 ± 1.13 / 70.90 ± 0.92@@63.7325683227386,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
allenai/Llama-3.1-Tulu-3-8B (few-shot),2.47,8030326784.0,128264.0,131072,7235.06,📝,✓,✗,36.39 ± 0.46 / 38.80 ± 0.36@@36.38686469807402,64.07 ± 2.08 / 56.49 ± 2.39@@64.0686463494277,65.74 ± 1.47 / 59.55 ± 2.89@@65.73981308178088,25.72 ± 1.50 / 48.72 ± 1.55@@25.72423104238742,16.05 ± 1.71 / 41.49 ± 1.63@@16.049942430790004,66.04 ± 4.49 / 41.49 ± 5.60@@66.04354543124303,64.38 ± 0.36 / 13.81 ± 0.84@@64.37510769974324,35.64 ± 1.24 / 52.64 ± 0.87@@35.642011621932426,63.66 ± 0.92 / 70.83 ± 0.76@@63.65732037571893,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
upstage/SOLAR-10.7B-v1.0 (few-shot),2.48,10731524096.0,32000.0,4096,929.16,🧠,✓,✗,35.57 ± 0.64 / 38.57 ± 0.42@@35.573825248674616,68.29 ± 1.03 / 56.27 ± 2.44@@68.29155709911674,67.07 ± 1.09 / 55.67 ± 2.96@@67.06832251599133,10.56 ± 3.23 / 36.38 ± 1.19@@10.557153068914324,6.27 ± 2.83 / 35.20 ± 1.12@@6.268299082322779,78.25 ± 2.85 / 52.91 ± 4.06@@78.2492255648526,66.15 ± 0.55 / 20.62 ± 0.60@@66.15329496751656,34.18 ± 1.59 / 49.99 ± 1.23@@34.18474022675552,57.51 ± 1.90 / 65.70 ± 1.52@@57.51091800329847,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
allenai/Llama-3.1-Tulu-3.1-8B (few-shot),2.48,8030326784.0,128264.0,131072,3364.57,🧠,✓,✗,36.49 ± 0.47 / 38.46 ± 0.42@@36.48908813366168,64.72 ± 1.69 / 54.76 ± 1.87@@64.72193216579691,66.60 ± 1.50 / 58.38 ± 2.88@@66.60338429126702,26.72 ± 1.56 / 50.34 ± 1.80@@26.723918951570113,17.06 ± 1.93 / 42.77 ± 1.47@@17.056379537049562,66.25 ± 3.48 / 40.19 ± 4.57@@66.2547160033992,64.16 ± 0.28 / 13.30 ± 0.63@@64.15766228572465,35.39 ± 1.14 / 50.04 ± 0.89@@35.38621912397251,61.98 ± 1.38 / 69.19 ± 1.13@@61.98363974631821,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-3.1-8B (few-shot),2.5,8030261248.0,128256.0,131072,1481.56,🧠,✓,✗,34.02 ± 0.93 / 37.19 ± 0.86@@34.01843076696901,65.17 ± 2.02 / 52.91 ± 2.25@@65.16709944547412,60.22 ± 2.29 / 50.51 ± 3.15@@60.21796142939459,32.48 ± 3.31 / 63.48 ± 2.97@@32.47524321502928,18.38 ± 4.77 / 49.87 ± 5.55@@18.378411455184537,73.80 ± 3.41 / 51.07 ± 4.66@@73.80102282289343,63.92 ± 0.75 / 16.60 ± 1.01@@63.91851012594998,32.27 ± 0.87 / 48.52 ± 0.96@@32.2702520040869,56.09 ± 1.03 / 64.42 ± 0.94@@56.0916582810298,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,14.3.0@@140300,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.51,8030261248.0,128256.0,8192,1483.24,📝,✓,✗,34.47 ± 0.44 / 37.96 ± 0.40@@34.46684178610501,66.56 ± 1.70 / 58.47 ± 2.40@@66.56055511951318,68.29 ± 1.47 / 61.22 ± 2.25@@68.2879446541498,28.22 ± 1.37 / 59.51 ± 1.44@@28.22273026280872,18.21 ± 2.21 / 52.84 ± 2.30@@18.213167905272186,73.23 ± 1.29 / 47.34 ± 1.99@@73.23271923869893,63.80 ± 0.09 / 13.37 ± 0.15@@63.79767487058417,32.12 ± 1.10 / 49.46 ± 0.83@@32.12242329808587,58.32 ± 0.76 / 66.49 ± 0.61@@58.3226547681494,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.51,8030261248.0,128256.0,131072,2989.9,📝,✓,✗,35.15 ± 0.39 / 38.06 ± 0.26@@35.154324384044166,64.59 ± 1.73 / 56.74 ± 2.46@@64.58962231183001,66.35 ± 1.33 / 59.93 ± 3.33@@66.35341911331676,27.53 ± 2.14 / 55.39 ± 1.95@@27.52929070053531,14.98 ± 1.98 / 45.84 ± 2.18@@14.982407409352257,69.75 ± 1.62 / 43.16 ± 2.25@@69.75331028987688,64.47 ± 0.16 / 15.10 ± 0.44@@64.46568136583664,32.65 ± 1.24 / 49.97 ± 0.91@@32.64664518359297,61.73 ± 1.16 / 69.32 ± 0.92@@61.72742202911141,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot),2.53,46702792704.0,32000.0,32768,5535.32,📝,✓,✗,36.76 ± 0.69 / 38.81 ± 0.52@@36.75774337590195,55.02 ± 2.74 / 36.31 ± 1.97@@55.01997662150912,57.37 ± 2.34 / 38.25 ± 2.37@@57.36968745204894,30.73 ± 1.86 / 63.33 ± 2.10@@30.72870233936268,18.96 ± 2.45 / 52.64 ± 4.21@@18.957267584539917,70.24 ± 1.75 / 41.01 ± 2.00@@70.2413940794522,61.59 ± 0.17 / 7.66 ± 0.45@@61.59314758493565,38.42 ± 1.43 / 54.23 ± 0.95@@38.41700510692746,59.52 ± 1.41 / 67.54 ± 1.14@@59.52055164895529,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot),2.54,8030261248.0,128256.0,131072,2406.04,📝,✓,✗,35.48 ± 0.66 / 38.13 ± 0.53@@35.48013389790607,62.98 ± 1.86 / 54.16 ± 2.64@@62.98384271113129,64.05 ± 1.29 / 56.67 ± 2.65@@64.05009969633578,32.96 ± 1.50 / 61.11 ± 2.67@@32.9553987758098,20.52 ± 2.02 / 52.17 ± 3.19@@20.518623409688015,69.74 ± 1.77 / 43.39 ± 2.31@@69.74400480664494,63.47 ± 0.08 / 12.53 ± 0.19@@63.47340870182961,29.41 ± 1.27 / 48.07 ± 0.87@@29.41416963907789,56.21 ± 1.28 / 64.64 ± 1.07@@56.21089645733516,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
norallm/normistral-11b-warm (few-shot),2.57,11429893120.0,51200.0,1024000,2500.58,🧠,✓,✗,48.61 ± 2.54 / 65.12 ± 2.50@@48.61484575180456,61.37 ± 1.24 / 57.90 ± 1.46@@61.369259422703706,60.37 ± 1.66 / 56.91 ± 2.36@@60.368967002027674,17.80 ± 3.84 / 53.63 ± 4.61@@17.80208912166339,17.77 ± 2.49 / 56.01 ± 2.54@@17.768174420421225,74.22 ± 3.26 / 52.37 ± 4.85@@74.2161730169392,61.53 ± 1.34 / 13.30 ± 1.57@@61.53328604079433,34.04 ± 1.06 / 49.00 ± 1.17@@34.03733617571423,38.13 ± 1.53 / 49.20 ± 1.32@@38.13191467192384,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Meta-Llama-3-8B (few-shot),2.6,8030261248.0,128256.0,8192,1476.79,🧠,✓,✗,33.07 ± 0.73 / 37.60 ± 0.49@@33.068481238924676,62.89 ± 2.01 / 50.34 ± 1.92@@62.894977418970235,56.18 ± 3.26 / 47.30 ± 2.62@@56.17911929745587,30.73 ± 3.19 / 64.06 ± 2.41@@30.732613729916437,20.57 ± 3.62 / 54.22 ± 5.15@@20.5705685263736,72.56 ± 4.39 / 50.65 ± 5.64@@72.5584756834881,61.95 ± 0.69 / 14.09 ± 0.61@@61.947234728577314,33.10 ± 1.14 / 49.85 ± 1.06@@33.10003660353979,53.62 ± 1.62 / 62.39 ± 1.39@@53.616478105984974,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300,14.1.2@@140102,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/Llama-3-8B (few-shot),2.6,8030261248.0,128256.0,8192,4140.98,🧠,✓,✗,41.84 ± 2.46 / 56.79 ± 2.95@@41.8360754400024,44.53 ± 2.58 / 36.59 ± 1.71@@44.53136790418299,47.02 ± 2.08 / 39.99 ± 2.76@@47.020873722126595,19.97 ± 3.99 / 47.40 ± 4.84@@19.97394695744557,15.61 ± 4.20 / 43.40 ± 4.90@@15.611307565413096,73.43 ± 3.55 / 50.91 ± 4.42@@73.4256043346266,65.29 ± 1.50 / 19.34 ± 1.91@@65.29265425728227,34.93 ± 1.35 / 47.87 ± 1.72@@34.926476633061476,46.46 ± 1.78 / 55.22 ± 1.60@@46.45619483510253,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,15.2.0.dev0@@150200,15.2.0.dev0@@150200
senseable/WestLake-7B-v2 (few-shot),2.61,7241732096.0,32000.0,4096,3612.97,🧠,✗,✗,34.84 ± 0.78 / 37.97 ± 0.80@@34.84455057051229,64.56 ± 1.06 / 50.17 ± 2.83@@64.55836196021745,62.99 ± 1.38 / 50.27 ± 3.46@@62.98890989260484,18.92 ± 1.47 / 54.26 ± 3.08@@18.9190765628475,12.88 ± 1.33 / 51.31 ± 2.24@@12.876017924423286,67.02 ± 1.77 / 36.55 ± 2.06@@67.01742973300944,65.17 ± 0.18 / 17.43 ± 0.33@@65.17287426482653,27.91 ± 1.21 / 46.56 ± 0.75@@27.905031147500452,56.72 ± 1.44 / 65.09 ± 1.26@@56.7162293273382,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/Llama-3-8B-instruct (few-shot),2.61,8030261248.0,128256.0,8192,1472.36,📝,✗,✗,35.30 ± 0.64 / 38.72 ± 0.50@@35.30490523661698,81.96 ± 1.06 / 76.25 ± 1.32@@81.95742243782283,78.42 ± 1.01 / 75.40 ± 0.97@@78.41817589481063,12.11 ± 2.22 / 36.70 ± 1.09@@12.113418463981803,5.94 ± 1.85 / 34.64 ± 0.60@@5.936305977514979,43.62 ± 0.82 / 22.15 ± 0.60@@43.61584829904584,63.15 ± 0.21 / 9.84 ± 0.36@@63.145757584716186,34.72 ± 0.89 / 48.92 ± 1.14@@34.717847946381475,66.65 ± 1.39 / 72.82 ± 1.20@@66.65212862585295,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,15.2.0.dev0@@150200,15.2.0.dev0@@150200
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.61,68976653312.0,32000.0,3841,1979.03,📝,✓,✗,55.12 ± 5.10 / 66.55 ± 5.07@@55.1195493280052,60.21 ± 1.86 / 47.06 ± 3.08@@60.213703417900945,62.99 ± 2.66 / 48.82 ± 5.49@@62.988245112141904,27.12 ± 4.90 / 54.26 ± 6.80@@27.1189109451259,6.82 ± 5.06 / 46.18 ± 4.14@@6.8217834302151195,69.99 ± 2.23 / 38.50 ± 3.93@@69.98709295540228,65.11 ± 0.66 / 17.82 ± 1.21@@65.1134134363383,17.92 ± 4.29 / 38.44 ± 3.31@@17.922502896541168,27.15 ± 5.80 / 38.28 ± 5.78@@27.153575187838037,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.62,8019808256.0,131072.0,32768,1300.24,📝,✓,✗,31.25 ± 1.21 / 33.48 ± 1.18@@31.250041839235816,67.24 ± 1.06 / 45.38 ± 2.20@@67.24448303900756,66.08 ± 1.05 / 47.58 ± 3.27@@66.08443731945482,28.72 ± 2.42 / 58.62 ± 3.68@@28.71911301489842,20.55 ± 3.71 / 54.24 ± 4.15@@20.549873335507936,68.91 ± 2.08 / 40.60 ± 2.39@@68.90654386608881,62.89 ± 0.12 / 11.72 ± 0.18@@62.89173649245641,25.99 ± 1.29 / 44.08 ± 1.12@@25.987753287630028,57.89 ± 1.54 / 65.71 ± 1.26@@57.885262865265084,15.0.0@@150000,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Mabeck/Heidrun-Mistral-7B-chat (few-shot),2.63,7241732096.0,32000.0,4096,1418.7,📝,✗,✗,49.19 ± 1.64 / 63.36 ± 1.52@@49.18579758343295,61.41 ± 1.71 / 52.32 ± 2.63@@61.41328256052109,59.49 ± 1.26 / 49.45 ± 3.31@@59.4929928256158,15.17 ± 2.64 / 50.25 ± 4.51@@15.168333510623475,10.78 ± 1.99 / 50.08 ± 4.20@@10.778857952738743,73.08 ± 2.26 / 48.99 ± 2.91@@73.07560956642062,64.22 ± 0.52 / 16.72 ± 0.66@@64.21887191696442,24.76 ± 1.32 / 43.86 ± 0.76@@24.760941522920803,32.13 ± 2.58 / 45.03 ± 2.00@@32.13045212988691,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,12.5.0@@120500,12.5.0@@120500,15.2.0.dev0@@150200,15.2.0.dev0@@150200
timpal0l/njord-alpha (few-shot),2.64,7241732096.0,32000.0,32768,5431.36,🧠,✓,✗,48.03 ± 1.71 / 65.89 ± 1.68@@48.02886398209007,50.47 ± 2.96 / 43.31 ± 2.54@@50.46511218815735,51.97 ± 3.83 / 42.66 ± 5.03@@51.97465390417608,22.65 ± 3.80 / 51.83 ± 5.03@@22.654902262598327,17.10 ± 4.78 / 49.03 ± 6.45@@17.101735786189984,68.08 ± 4.22 / 44.72 ± 4.47@@68.08294587285796,65.48 ± 1.22 / 19.57 ± 1.57@@65.47502491303021,24.04 ± 1.21 / 38.99 ± 1.40@@24.043352641251975,32.48 ± 1.74 / 42.88 ± 1.97@@32.48049057442903,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,15.2.0.dev0@@150200,15.2.0.dev0@@150200
CohereForAI/c4ai-command-r-v01 (few-shot),2.66,34980831232.0,256000.0,8192,1919.22,📝,✗,✗,35.73 ± 0.66 / 38.06 ± 0.54@@35.726478008399,61.54 ± 2.53 / 42.44 ± 2.12@@61.54172112763315,60.94 ± 1.48 / 43.92 ± 2.09@@60.93512048619733,21.33 ± 2.08 / 52.01 ± 3.05@@21.328466031794374,13.20 ± 1.51 / 52.20 ± 2.53@@13.19772253049241,61.64 ± 1.20 / 32.36 ± 1.99@@61.64134613879988,63.77 ± 0.17 / 13.21 ± 0.37@@63.76993233745451,32.13 ± 0.93 / 49.80 ± 0.73@@32.13409626435033,50.40 ± 2.11 / 59.79 ± 1.75@@50.40071098831207,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.1.1@@140101,15.2.0.dev0@@150200,15.2.0.dev0@@150200
