model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,sentipolc16,multinerd_it,scala_it,squad_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,allocine_version,eltec_version,scala_fr_version,fquad_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.90@@1.90,1.87@@1.87,2.05@@2.05,1.77@@1.77,,,1047576.0,✓,✗,96.23 ± 0.87 / 98.11 ± 0.44@@96.2312678117905,53.77 ± 1.80 / 38.48 ± 1.74@@53.77083872783067,40.55 ± 3.20 / 65.57 ± 1.56@@40.551970638374286,68.57 ± 1.09 / 34.94 ± 1.37@@68.57107848149488,47.45 ± 2.21 / 48.74 ± 1.07@@47.45074496850666,63.35 ± 1.93 / 36.24 ± 1.05@@63.353793215423515,20.80 ± 2.27 / 50.26 ± 1.38@@20.800096124680138,72.82 ± 0.71 / 46.73 ± 0.88@@72.81857301936351,47.91 ± 1.81 / 63.72 ± 1.41@@47.90825694621045,58.05 ± 2.12 / 35.94 ± 1.71@@58.04796117672666,26.26 ± 3.44 / 56.26 ± 2.03@@26.26251462944272,63.98 ± 1.13 / 29.37 ± 1.11@@63.97878935068483,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B (few-shot)</a>,🤔,1.91@@1.91,1.92@@1.92,2.11@@2.11,1.70@@1.70,4022468096.0,151936.0,40960.0,✓,✗,91.59 ± 0.58 / 95.79 ± 0.29@@91.58604920665961,58.53 ± 1.34 / 52.06 ± 1.98@@58.53258220871103,37.51 ± 1.69 / 63.38 ± 1.18@@37.51277126199594,65.43 ± 0.60 / 37.97 ± 0.37@@65.42936084634059,57.85 ± 1.56 / 69.37 ± 1.19@@57.84728211169967,56.37 ± 3.63 / 30.38 ± 1.66@@56.36971746309322,24.52 ± 1.59 / 54.39 ± 0.79@@24.522463256976266,58.88 ± 12.46 / 43.27 ± 9.46@@58.87599110550732,47.57 ± 1.71 / 64.10 ± 1.23@@47.572186805888336,68.30 ± 1.46 / 50.01 ± 1.56@@68.30134847742501,27.77 ± 0.88 / 59.01 ± 0.78@@27.76549510050502,59.56 ± 0.56 / 35.78 ± 1.11@@59.555788640571336,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,1.91@@1.91,1.93@@1.93,1.94@@1.94,1.85@@1.85,,256128.0,1048576.0,✓,✗,90.77 ± 1.29 / 95.34 ± 0.66@@90.76602869026345,57.10 ± 1.68 / 40.34 ± 1.46@@57.104884385518616,38.72 ± 4.21 / 65.23 ± 2.10@@38.716165086090434,63.25 ± 1.12 / 29.28 ± 1.65@@63.24592121220178,59.47 ± 2.94 / 70.82 ± 2.13@@59.46619393944166,60.79 ± 1.77 / 38.90 ± 1.31@@60.78653094478014,25.43 ± 1.74 / 49.83 ± 1.40@@25.430543937462414,69.02 ± 1.03 / 42.67 ± 1.55@@69.0248329287841,43.33 ± 2.25 / 57.09 ± 1.98@@43.333033919492365,62.74 ± 1.23 / 37.61 ± 1.15@@62.73615390659256,26.71 ± 3.42 / 55.93 ± 2.00@@26.710339694751294,57.79 ± 1.22 / 26.34 ± 1.15@@57.788503889467975,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,1.92@@1.92,2.02@@2.02,1.88@@1.88,1.86@@1.86,8030261248.0,128256.0,131072.0,✓,✗,93.78 ± 0.46 / 96.87 ± 0.23@@93.78082706585985,49.06 ± 2.04 / 41.30 ± 2.18@@49.05527170220315,36.78 ± 2.11 / 61.28 ± 2.01@@36.77622103789061,68.38 ± 1.62 / 39.79 ± 1.06@@68.381144500658,62.60 ± 1.11 / 73.84 ± 0.97@@62.603148860090165,61.77 ± 1.84 / 43.87 ± 1.40@@61.77323526677585,24.75 ± 1.93 / 57.13 ± 2.21@@24.750659740286597,68.79 ± 0.77 / 48.02 ± 1.52@@68.79344957367182,43.55 ± 2.04 / 57.79 ± 1.89@@43.549195678042615,63.07 ± 1.39 / 55.02 ± 1.93@@63.07437001440995,22.46 ± 3.28 / 59.51 ± 2.00@@22.462675518038576,62.57 ± 0.74 / 35.36 ± 1.52@@62.565295435098236,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot)</a>,📝,1.95@@1.95,1.92@@1.92,1.91@@1.91,2.01@@2.01,8030326784.0,128264.0,131072.0,✓,✗,93.41 ± 0.55 / 96.67 ± 0.28@@93.41074146786474,48.96 ± 1.83 / 47.23 ± 1.94@@48.96027125164727,43.80 ± 2.23 / 71.09 ± 1.27@@43.80495962314992,69.92 ± 2.32 / 41.07 ± 1.44@@69.92383030704566,41.65 ± 0.93 / 46.02 ± 0.47@@41.64733525384239,63.44 ± 2.61 / 55.16 ± 1.57@@63.43747081985768,32.85 ± 2.23 / 64.55 ± 1.89@@32.84783389360937,69.33 ± 1.13 / 49.75 ± 1.54@@69.32570515645145,45.55 ± 2.25 / 63.34 ± 1.53@@45.54577037103457,60.58 ± 1.31 / 56.93 ± 1.21@@60.57542892481611,16.36 ± 3.48 / 55.55 ± 2.01@@16.362424620986477,63.89 ± 0.70 / 38.19 ± 1.69@@63.88816938902979,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.4.2@@150402,15.5.0.dev0@@150500,15.4.2@@150402,15.5.0.dev0@@150500
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B (few-shot)</a>,📝,1.95@@1.95,1.92@@1.92,1.95@@1.95,1.99@@1.99,8030326784.0,128264.0,131072.0,✓,✗,93.29 ± 0.53 / 96.61 ± 0.27@@93.28618526159497,47.25 ± 1.86 / 45.54 ± 2.04@@47.25091502058797,43.58 ± 2.09 / 70.91 ± 1.16@@43.579676333093154,68.66 ± 2.61 / 40.71 ± 1.61@@68.65616964643839,41.19 ± 0.77 / 45.83 ± 0.45@@41.191325459035774,61.89 ± 2.61 / 52.84 ± 1.50@@61.89021484591852,32.25 ± 2.08 / 63.42 ± 1.87@@32.25357561483923,68.40 ± 1.66 / 49.69 ± 1.73@@68.3970251605448,44.51 ± 2.45 / 62.49 ± 1.62@@44.51266140951154,60.39 ± 1.34 / 55.85 ± 1.33@@60.393104670970246,17.68 ± 3.75 / 56.25 ± 1.96@@17.676443544669272,63.29 ± 0.95 / 39.04 ± 1.30@@63.288425647297075,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,📝,1.96@@1.96,2.02@@2.02,2.00@@2.00,1.87@@1.87,8028033024.0,256000.0,8192.0,✗,✗,95.12 ± 0.49 / 97.56 ± 0.25@@95.11634339614105,49.10 ± 3.13 / 34.00 ± 2.16@@49.10348231396558,32.60 ± 1.47 / 65.66 ± 0.99@@32.59617478175841,69.30 ± 1.02 / 40.25 ± 0.50@@69.29501756558915,60.12 ± 1.09 / 71.84 ± 1.37@@60.12414805661255,65.00 ± 1.40 / 40.91 ± 1.72@@64.99690200914911,20.16 ± 1.92 / 59.64 ± 0.91@@20.160114325018185,69.65 ± 0.43 / 49.60 ± 1.29@@69.6484961429837,49.16 ± 2.09 / 65.02 ± 1.69@@49.15872998781623,59.90 ± 1.25 / 47.48 ± 1.04@@59.89543340320632,17.95 ± 2.44 / 58.06 ± 1.46@@17.945914264149174,65.25 ± 0.85 / 37.39 ± 1.76@@65.2511003366694,15.3.1.dev0@@150301,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,1.96@@1.96,1.87@@1.87,2.06@@2.06,1.97@@1.97,68976653312.0,32000.0,4096.0,✓,✗,93.52 ± 0.58 / 96.71 ± 0.31@@93.52223760679671,58.89 ± 1.59 / 56.87 ± 1.77@@58.89087902760842,31.41 ± 5.04 / 61.79 ± 3.24@@31.412443105641998,75.37 ± 2.26 / 47.23 ± 2.10@@75.37033702680112,56.87 ± 1.59 / 70.67 ± 1.10@@56.86751629884383,73.77 ± 1.34 / 63.44 ± 2.17@@73.76705131919016,12.77 ± 6.40 / 54.55 ± 3.55@@12.772361730992927,72.31 ± 3.74 / 54.32 ± 3.75@@72.3073297599739,38.17 ± 5.92 / 57.91 ± 3.97@@38.1686087379816,66.38 ± 1.74 / 62.00 ± 1.50@@66.38189937136978,16.99 ± 5.24 / 45.54 ± 5.31@@16.991655520600098,68.79 ± 1.82 / 42.37 ± 3.18@@68.79489830161887,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.98@@1.98,1.98@@1.98,2.01@@2.01,1.94@@1.94,,256128.0,1048576.0,✓,✗,91.30 ± 1.45 / 95.50 ± 0.77@@91.30101607684246,56.54 ± 1.74 / 48.19 ± 1.88@@56.53767030733903,34.38 ± 3.50 / 65.22 ± 1.79@@34.3779922618821,66.44 ± 1.15 / 29.89 ± 1.33@@66.43604831552047,58.03 ± 1.72 / 69.03 ± 1.22@@58.02836130244052,59.57 ± 1.38 / 38.24 ± 1.40@@59.57284893517713,20.54 ± 3.35 / 52.33 ± 1.74@@20.536492409712714,69.99 ± 1.01 / 43.91 ± 1.56@@69.98958958555829,46.20 ± 2.03 / 58.54 ± 1.65@@46.195915144117954,56.57 ± 1.82 / 38.23 ± 1.60@@56.5739336011874,23.95 ± 4.83 / 60.76 ± 2.44@@23.95215226429545,60.83 ± 0.97 / 24.38 ± 1.01@@60.83074750397526,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,1.98@@1.98,1.91@@1.91,2.21@@2.21,1.83@@1.83,,200019.0,128000.0,✓,✗,88.50 ± 1.32 / 93.98 ± 0.72@@88.50295398743432,50.74 ± 1.79 / 32.49 ± 1.22@@50.74136601961949,41.36 ± 3.43 / 67.51 ± 1.65@@41.35637358748562,68.91 ± 1.10 / 35.74 ± 1.47@@68.91149307619521,42.58 ± 2.62 / 45.86 ± 1.40@@42.58044784294501,58.71 ± 1.74 / 34.89 ± 1.33@@58.71281315043404,20.87 ± 3.36 / 51.97 ± 1.81@@20.865437654021992,70.43 ± 0.92 / 42.13 ± 1.37@@70.43352817373635,48.69 ± 2.48 / 60.19 ± 1.89@@48.69410498496366,66.77 ± 1.91 / 34.91 ± 1.56@@66.76655515350889,21.20 ± 4.81 / 57.58 ± 2.54@@21.195572460352857,62.18 ± 0.94 / 28.93 ± 1.33@@62.17688723328032,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1.dev0@@150401,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.4.1.dev0@@150401
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,1.99@@1.99,1.80@@1.80,2.03@@2.03,2.14@@2.14,12187325040.0,262144.0,,✓,✗,92.17 ± 1.28 / 95.97 ± 0.69@@92.16885418237807,57.96 ± 2.04 / 55.59 ± 2.18@@57.95817353580662,39.85 ± 2.98 / 68.03 ± 2.12@@39.84670428785203,73.09 ± 3.12 / 45.61 ± 2.03@@73.08750886406625,50.65 ± 2.20 / 65.82 ± 2.09@@50.64702797255294,64.74 ± 1.71 / 53.33 ± 1.51@@64.7355994294348,22.25 ± 1.91 / 52.61 ± 4.07@@22.246528233659944,71.09 ± 5.40 / 55.83 ± 4.58@@71.09259996333927,34.36 ± 2.67 / 55.15 ± 1.95@@34.36168710850874,52.86 ± 2.41 / 48.64 ± 1.85@@52.85703223589826,20.53 ± 6.45 / 52.67 ± 7.31@@20.53184501522649,67.45 ± 1.05 / 43.14 ± 1.99@@67.44878090454054,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,2.00@@2.00,1.93@@1.93,2.18@@2.18,1.89@@1.89,559890946.0,250002.0,512.0,✓,✗,91.79 ± 0.66 / 95.88 ± 0.34@@91.78965504311687,75.33 ± 1.44 / 74.66 ± 1.51@@75.32976121187735,24.57 ± 14.02 / 60.55 ± 7.47@@24.56755213622626,59.55 ± 2.28 / 34.93 ± 2.05@@59.55309740612397,56.84 ± 3.38 / 70.43 ± 2.60@@56.840635263859916,90.74 ± 0.61 / 80.64 ± 0.56@@90.73737088500891,5.82 ± 4.77 / 51.97 ± 2.65@@5.820600788629645,55.11 ± 1.01 / 39.81 ± 1.25@@55.11230889753059,50.03 ± 2.97 / 65.88 ± 3.22@@50.030066753796795,84.40 ± 0.54 / 84.21 ± 0.56@@84.40258789460758,9.06 ± 6.86 / 52.98 ± 4.18@@9.062405314059305,51.46 ± 2.59 / 29.74 ± 1.56@@51.46411531060604,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01 (few-shot)</a>,📝,2.03@@2.03,2.09@@2.09,2.06@@2.06,1.95@@1.95,34980831232.0,256000.0,8192.0,✗,✗,92.32 ± 0.58 / 96.08 ± 0.30@@92.32238149255801,55.95 ± 1.62 / 47.87 ± 2.08@@55.94866827969215,29.35 ± 1.80 / 63.65 ± 1.04@@29.353250336926408,63.35 ± 1.05 / 31.55 ± 2.11@@63.34687680142247,54.27 ± 1.85 / 66.29 ± 1.77@@54.26732300663788,69.33 ± 1.57 / 51.34 ± 2.47@@69.33467993297137,18.93 ± 1.62 / 58.48 ± 1.03@@18.9344032480898,64.67 ± 0.96 / 41.31 ± 2.29@@64.67380054473462,45.06 ± 1.44 / 60.89 ± 1.62@@45.05758158323515,65.38 ± 0.67 / 56.19 ± 1.56@@65.37743697652644,21.77 ± 1.77 / 59.37 ± 0.96@@21.774143676443785,57.50 ± 1.81 / 26.71 ± 2.95@@57.498798528685924,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B (few-shot)</a>,🧠,2.04@@2.04,1.96@@1.96,2.25@@2.25,1.92@@1.92,8829407232.0,64000.0,4096.0,✓,✗,94.15 ± 0.48 / 97.06 ± 0.25@@94.14884997070118,55.17 ± 1.39 / 47.07 ± 1.99@@55.172245394050165,29.19 ± 5.15 / 60.82 ± 5.30@@29.194770079474363,74.01 ± 1.64 / 47.72 ± 0.99@@74.01075787288528,50.88 ± 1.76 / 58.13 ± 2.34@@50.88402290206172,64.89 ± 1.04 / 51.72 ± 1.17@@64.89076516162852,12.15 ± 3.23 / 53.05 ± 3.82@@12.14940522629124,72.45 ± 1.29 / 55.54 ± 1.74@@72.45448451894194,42.81 ± 2.13 / 59.55 ± 1.65@@42.81378301328706,61.37 ± 1.88 / 53.05 ± 1.44@@61.36760453590154,19.50 ± 2.56 / 52.33 ± 3.21@@19.495974208835232,66.85 ± 1.04 / 41.09 ± 2.32@@66.8478022329621,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,2.04@@2.04,1.74@@1.74,2.10@@2.10,2.29@@2.29,,,200000.0,✓,✗,93.14 ± 1.27 / 96.52 ± 0.65@@93.13651461664347,68.93 ± 2.76 / 61.70 ± 2.35@@68.92909405605222,39.07 ± 4.28 / 64.89 ± 2.24@@39.06577887525465,63.35 ± 1.00 / 30.44 ± 1.18@@63.34621849465375,62.13 ± 2.66 / 72.26 ± 2.09@@62.13387795701439,41.45 ± 2.56 / 30.66 ± 1.68@@41.445945835264276,25.51 ± 2.27 / 50.83 ± 1.72@@25.50915436214402,70.17 ± 1.12 / 41.20 ± 1.62@@70.17178386712214,44.57 ± 1.48 / 59.47 ± 1.49@@44.56761079587244,33.01 ± 2.73 / 26.80 ± 1.66@@33.01438196322205,24.94 ± 4.56 / 58.32 ± 2.48@@24.942941879119275,60.53 ± 1.24 / 29.92 ± 1.84@@60.53061694941414,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,2.05@@2.05,2.17@@2.17,2.07@@2.07,1.92@@1.92,9241705984.0,256000.0,8192.0,✓,✗,94.46 ± 0.47 / 97.22 ± 0.24@@94.460853913898,32.12 ± 1.36 / 27.47 ± 1.76@@32.12155845608082,39.48 ± 1.70 / 64.27 ± 1.18@@39.48051491379949,71.07 ± 1.00 / 40.11 ± 0.46@@71.07083194154575,63.90 ± 1.91 / 73.39 ± 1.83@@63.8997900342203,42.05 ± 1.39 / 30.06 ± 1.74@@42.047463186327064,25.39 ± 1.29 / 53.45 ± 0.75@@25.385452013356037,70.49 ± 0.72 / 47.50 ± 1.53@@70.48685882870993,49.85 ± 1.11 / 66.55 ± 0.76@@49.85266470269901,37.01 ± 0.98 / 32.34 ± 0.87@@37.010687060521384,33.78 ± 1.38 / 59.90 ± 1.51@@33.77939703984616,63.58 ± 0.63 / 36.46 ± 1.07@@63.58340385361023,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta (few-shot)</a>,📝,2.05@@2.05,2.02@@2.02,2.03@@2.03,2.09@@2.09,7241748480.0,32002.0,8192.0,✗,✗,93.84 ± 0.48 / 96.91 ± 0.24@@93.84234581481303,52.03 ± 1.51 / 37.86 ± 2.27@@52.028028788610335,31.69 ± 1.59 / 62.45 ± 1.42@@31.692332755442802,71.90 ± 0.58 / 38.13 ± 0.96@@71.90480229198204,54.05 ± 1.06 / 69.30 ± 0.69@@54.04556514237635,67.92 ± 1.50 / 39.37 ± 3.13@@67.92084172198119,18.34 ± 1.84 / 52.20 ± 1.68@@18.336289209099498,68.09 ± 1.30 / 44.41 ± 2.28@@68.08645622524348,46.53 ± 1.37 / 63.33 ± 1.04@@46.534472903780774,61.34 ± 1.74 / 41.78 ± 2.43@@61.343728448033175,16.51 ± 1.81 / 53.16 ± 3.02@@16.509985096552025,56.72 ± 3.91 / 23.10 ± 4.92@@56.719008221259934,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,2.06@@2.06,2.19@@2.19,2.09@@2.09,1.90@@1.90,8030261248.0,128256.0,131072.0,✓,✗,93.55 ± 0.59 / 96.76 ± 0.30@@93.5546986952189,51.78 ± 2.71 / 46.76 ± 3.00@@51.78214978097677,26.04 ± 2.26 / 52.60 ± 2.82@@26.04419069783833,64.96 ± 0.96 / 32.46 ± 0.97@@64.96111291761213,45.18 ± 0.97 / 47.57 ± 0.52@@45.17945356854457,67.95 ± 1.73 / 54.28 ± 2.10@@67.95429298279882,24.92 ± 1.51 / 61.73 ± 1.10@@24.923470044607583,63.90 ± 0.90 / 33.34 ± 2.37@@63.90200904632606,44.85 ± 2.53 / 61.15 ± 2.07@@44.84586409432206,67.97 ± 1.50 / 60.92 ± 1.65@@67.96852626982543,20.78 ± 2.87 / 58.25 ± 1.86@@20.784481464923346,56.93 ± 0.84 / 23.74 ± 2.10@@56.92574793729749,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,2.06@@2.06,2.20@@2.20,2.16@@2.16,1.81@@1.81,27227128320.0,256000.0,8192.0,✓,✗,94.89 ± 0.68 / 97.41 ± 0.36@@94.88893549901748,23.62 ± 1.70 / 25.99 ± 2.15@@23.616625757330787,41.73 ± 2.72 / 69.44 ± 1.44@@41.72621729486073,75.88 ± 2.54 / 48.21 ± 1.80@@75.87586583706887,54.09 ± 3.47 / 67.77 ± 2.92@@54.08861469684325,46.48 ± 2.43 / 41.45 ± 2.22@@46.48302767590848,23.00 ± 3.73 / 52.87 ± 4.69@@23.00133924819054,74.80 ± 4.50 / 59.89 ± 3.88@@74.7981400451246,44.75 ± 3.28 / 61.21 ± 2.99@@44.74891984547914,48.05 ± 2.11 / 45.21 ± 2.03@@48.04943030876423,31.07 ± 2.28 / 64.44 ± 1.46@@31.0652546329857,69.34 ± 1.43 / 44.99 ± 2.75@@69.33581207772684,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.06@@2.06,2.07@@2.07,2.13@@2.13,1.99@@1.99,278220290.0,251000.0,512.0,✓,✗,86.09 ± 0.96 / 93.00 ± 0.49@@86.08816029222822,70.03 ± 1.49 / 69.24 ± 1.46@@70.02803638939768,49.83 ± 5.07 / 74.27 ± 2.41@@49.82771392695269,24.97 ± 9.00 / 13.13 ± 5.39@@24.971800403331503,36.31 ± 9.10 / 54.54 ± 8.71@@36.309432752854114,76.67 ± 1.66 / 69.17 ± 1.02@@76.67305652841166,35.92 ± 4.12 / 66.58 ± 2.49@@35.9187525516077,38.43 ± 2.57 / 26.59 ± 2.02@@38.42538133979257,10.64 ± 9.98 / 29.26 ± 10.01@@10.642647847011776,81.60 ± 0.88 / 82.58 ± 0.65@@81.60414798072983,40.48 ± 7.82 / 68.69 ± 4.29@@40.482809745275716,44.50 ± 1.00 / 23.86 ± 1.00@@44.49787769172561,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
